,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs
0,1.0,1.0,1.6164819261217096,1.2988801243147439,1.0,1.0,0.05,0.97,200.0
1,1.0,1.0,1.6365049408784489,1.3148021839461432,1.0,1.0,0.05,0.99,200.0
2,1.0,1.0,1.0769037678515696,0.8499606400505351,1.0,2.0,0.05,0.97,200.0
3,1.0,1.0,1.2207087143042583,0.9662029395513692,1.0,2.0,0.05,0.99,200.0
4,1.0,1.0,1.0109505287826257,0.7986212911174655,1.0,3.0,0.05,0.97,200.0
5,1.0,1.0,1.1101343378959914,0.8716235623666279,1.0,3.0,0.05,0.99,200.0
6,1.0,1.0,1.4649134320168886,1.188142032305247,2.0,1.0,0.05,0.97,200.0
7,1.0,1.0,1.216443102620629,0.9744482498272755,2.0,1.0,0.05,0.99,200.0
8,1.0,1.0,1.0401431446280156,0.8400262523710688,2.0,2.0,0.05,0.97,200.0
9,1.0,1.0,0.9702483906185382,0.7718189717745039,2.0,2.0,0.05,0.99,200.0
10,1.0,1.0,0.9944905163263132,0.795393137263138,2.0,3.0,0.05,0.97,200.0
11,1.0,1.0,0.9424416599732093,0.7442104829820492,2.0,3.0,0.05,0.99,200.0
12,1.0,1.0,1.326189798210395,1.086998024178167,3.0,1.0,0.05,0.97,200.0
13,1.0,1.0,0.9611692335518819,0.7697594886023087,3.0,1.0,0.05,0.99,200.0
14,1.0,1.0,0.951950260664219,0.7700671926245993,3.0,2.0,0.05,0.97,200.0
15,1.0,1.0,0.8491329681170977,0.6792145466869223,3.0,2.0,0.05,0.99,200.0
16,1.0,1.0,0.8979362305997685,0.7196822778362947,3.0,3.0,0.05,0.97,200.0
17,1.0,1.0,0.8309137111699666,0.6587085775133767,3.0,3.0,0.05,0.99,200.0
18,1.0,1.0,1.0960774518413448,0.8652915875369775,1.0,1.0,0.1,0.97,200.0
19,1.0,1.0,1.0855483906221635,0.857339426808761,1.0,1.0,0.1,0.99,200.0
20,1.0,1.0,0.8568902298118513,0.6741173734296565,1.0,2.0,0.1,0.97,200.0
21,1.0,1.0,0.867764898486849,0.6748591780976062,1.0,2.0,0.1,0.99,200.0
22,1.0,1.0,0.8738547013667787,0.6869723329764615,1.0,3.0,0.1,0.97,200.0
23,1.0,1.0,0.8760281768772027,0.6884085374338204,1.0,3.0,0.1,0.99,200.0
24,1.0,1.0,0.9058454272687573,0.7201662908405486,2.0,1.0,0.1,0.97,200.0
25,1.0,1.0,0.7589355582222707,0.5960853433449587,2.0,1.0,0.1,0.99,200.0
26,1.0,1.0,0.7549165786053285,0.5944453083989676,2.0,2.0,0.1,0.97,200.0
27,1.0,1.0,0.6583987830902069,0.5162925045434626,2.0,2.0,0.1,0.99,200.0
28,1.0,1.0,0.7901260678713089,0.6238349365756916,2.0,3.0,0.1,0.97,200.0
29,1.0,1.0,0.7042664231467907,0.5525065826854936,2.0,3.0,0.1,0.99,200.0
30,1.0,1.0,0.7191436577775343,0.5730559836608768,3.0,1.0,0.1,0.97,200.0
31,1.0,1.0,0.6358180805790679,0.4970241441025225,3.0,1.0,0.1,0.99,200.0
32,1.0,1.0,0.6787368439762093,0.5387058642469384,3.0,2.0,0.1,0.97,200.0
33,1.0,1.0,0.645069393055704,0.5092878898361074,3.0,2.0,0.1,0.99,200.0
34,1.0,1.0,0.7378019098263356,0.5823901894789051,3.0,3.0,0.1,0.97,200.0
35,1.0,1.0,0.655058961203095,0.5120143219278868,3.0,3.0,0.1,0.99,200.0
36,1.0,1.0,1.2866372511075115,1.0196966251024644,1.0,1.0,0.05,0.97,300.0
37,1.0,1.0,1.2789190233596328,1.0158862514434972,1.0,1.0,0.05,0.99,300.0
38,1.0,1.0,0.8986627272735511,0.7091557581253073,1.0,2.0,0.05,0.97,300.0
39,1.0,1.0,0.9306511999103022,0.7301505324313367,1.0,2.0,0.05,0.99,300.0
40,1.0,1.0,0.9179513052123939,0.7268767666843017,1.0,3.0,0.05,0.97,300.0
41,1.0,1.0,0.9362181748569212,0.7342729448624268,1.0,3.0,0.05,0.99,300.0
42,1.0,1.0,1.2442565835624833,1.007298971783438,2.0,1.0,0.05,0.97,300.0
43,1.0,1.0,0.9591298986119867,0.7637713512988156,2.0,1.0,0.05,0.99,300.0
44,1.0,1.0,0.880508896616363,0.7068317912532801,2.0,2.0,0.05,0.97,300.0
45,1.0,1.0,0.7579642411487107,0.5967444580509339,2.0,2.0,0.05,0.99,300.0
46,1.0,1.0,0.9123865655715725,0.728231928445919,2.0,3.0,0.05,0.97,300.0
47,1.0,1.0,0.8096081589754855,0.6386399930638988,2.0,3.0,0.05,0.99,300.0
48,1.0,1.0,1.0335957006047518,0.836212060508317,3.0,1.0,0.05,0.97,300.0
49,1.0,1.0,0.7571446242935449,0.5963225344935029,3.0,1.0,0.05,0.99,300.0
50,1.0,1.0,0.8018025681471111,0.6430076994336358,3.0,2.0,0.05,0.97,300.0
51,1.0,1.0,0.6867017603329724,0.5438368981840387,3.0,2.0,0.05,0.99,300.0
52,1.0,1.0,0.8243929064632333,0.6597730229604182,3.0,3.0,0.05,0.97,300.0
53,1.0,1.0,0.7238859965649814,0.5714515803309802,3.0,3.0,0.05,0.99,300.0
54,1.0,1.0,0.9707716219945906,0.7676211794879948,1.0,1.0,0.1,0.97,300.0
55,1.0,1.0,0.935273501500019,0.739639536129598,1.0,1.0,0.1,0.99,300.0
56,1.0,1.0,0.8137858652356973,0.6404358585258431,1.0,2.0,0.1,0.97,300.0
57,1.0,1.0,0.796706617911742,0.6207054504338654,1.0,2.0,0.1,0.99,300.0
58,1.0,1.0,0.8373151380669466,0.6585964797128653,1.0,3.0,0.1,0.97,300.0
59,1.0,1.0,0.8010475965795578,0.6285585051415402,1.0,3.0,0.1,0.99,300.0
60,1.0,1.0,0.788048210260577,0.6223296305291296,2.0,1.0,0.1,0.97,300.0
61,1.0,1.0,0.6637769886050289,0.5217767401344038,2.0,1.0,0.1,0.99,300.0
62,1.0,1.0,0.7171561562229972,0.5646591800479488,2.0,2.0,0.1,0.97,300.0
63,1.0,1.0,0.6241970419537132,0.4892999333014385,2.0,2.0,0.1,0.99,300.0
64,1.0,1.0,0.7563919518775397,0.5961426104108268,2.0,3.0,0.1,0.97,300.0
65,1.0,1.0,0.6675956829589669,0.5243543079249527,2.0,3.0,0.1,0.99,300.0
66,1.0,1.0,0.7047507982553157,0.5693349116685228,3.0,1.0,0.1,0.97,300.0
67,1.0,1.0,0.5573266890260733,0.4354141143343142,3.0,1.0,0.1,0.99,300.0
68,1.0,1.0,0.6448359709027084,0.5108633430614412,3.0,2.0,0.1,0.97,300.0
69,1.0,1.0,0.6041443162606048,0.47541361827199335,3.0,2.0,0.1,0.99,300.0
70,1.0,1.0,0.7124250694010499,0.5614200192137191,3.0,3.0,0.1,0.97,300.0
71,1.0,1.0,0.6239719579763254,0.4860875464171168,3.0,3.0,0.1,0.99,300.0
72,1.0,2.0,1.8039324194970194,1.468167097841639,1.0,1.0,0.05,0.97,200.0
73,1.0,2.0,1.866855069569463,1.495746360263402,1.0,1.0,0.05,0.99,200.0
74,1.0,2.0,1.1165389560088046,0.8714811747919244,1.0,2.0,0.05,0.97,200.0
75,1.0,2.0,1.3572805349471941,1.0659434906832566,1.0,2.0,0.05,0.99,200.0
76,1.0,2.0,1.0009402933906903,0.7778942520742199,1.0,3.0,0.05,0.97,200.0
77,1.0,2.0,1.1463997957263106,0.8909519520447667,1.0,3.0,0.05,0.99,200.0
78,1.0,2.0,1.6670205281859456,1.3380806175709121,2.0,1.0,0.05,0.97,200.0
79,1.0,2.0,1.8085241257194056,1.4429889281871113,2.0,1.0,0.05,0.99,200.0
