,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.523215106481212,4.793007683167687
1,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.414819008512523,4.753615506130513
2,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.849775422382549,5.053150520842647
3,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.798060055059814,5.004079791735489
4,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.602345315976197,4.909085686951836
5,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.482873340092829,4.845486276990609
6,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.923776323682986,5.090009216462402
7,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.716231306400799,4.969306221901283
8,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.48915598500984,4.789390573753069
9,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.385541492035183,4.76655839412279
10,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.9272489065151115,5.092472543241345
11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.750637280139798,4.970030390877928
12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.5717349976497665,4.919563642667614
13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.470475267082653,4.837488755322957
14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.867728329957698,5.049986390210569
15,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.631951811146204,4.937191878000793
16,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.464208424425665,4.759423585536881
17,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.355718432684651,4.706034411963389
18,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.668719705657552,4.8842535143633325
19,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.5325093047647,4.807692648456616
20,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.548752273763032,4.870762799347778
21,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.436472585571271,4.7910682265201645
22,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.729695148219318,4.956873019507499
23,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.560324042390957,4.872334033071681
24,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.429612576798759,4.763273112349316
25,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.3509087369803945,4.725918041312697
26,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.668821572602367,4.908256164872157
27,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.4674230482620825,4.789422895982713
28,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.553370470520937,4.889617027789028
29,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.541297967645808,4.800098237036434
30,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.6684522770821575,4.950628385712822
31,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.512208566207752,4.905493326877658
32,2,LSTransferTreeBoost,0.05,1,1,0.01,0.5,6.969174628508304,4.811566491208155
33,2,LSTransferTreeBoost,0.05,1,1,0.01,0.9,6.944306995083072,4.81450220187468
34,2,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.271847023292246,4.975234100783785
35,2,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.156927651942129,4.905430132923409
36,2,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.0748229296850145,4.956214415999426
37,2,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.003824414955517,4.897491458031712
38,2,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.278296483900979,5.071015794907326
39,2,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.165713783288082,5.018789314005091
40,2,LSTransferTreeBoost,0.05,2,1,0.01,0.5,6.971407738860095,4.775505775575332
41,2,LSTransferTreeBoost,0.05,2,1,0.01,0.9,6.926485475686999,4.791561435501442
42,2,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.213249733387359,4.919751033992547
43,2,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.15937043626047,4.836673124422498
44,2,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.047535101996348,4.904001771920739
45,2,LSTransferTreeBoost,0.05,2,2,0.01,0.9,6.946227786632906,4.84693597451242
46,2,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.254025112918513,5.0278368035914385
47,2,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.120420483945171,4.946724148636204
48,2,LSTransferTreeBoost,0.1,1,1,0.01,0.5,6.9492500486182776,4.819372237401481
