,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,68.37720555289853,46.68536227650596
1,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,67.83966357573348,46.21316473217113
2,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,68.64597533292903,47.06582249550297
3,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,68.70886336008728,47.05323698857156
4,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,69.0824488608046,47.336692666737434
5,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,69.10767644315102,47.53591163691177
6,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,69.5341721957358,47.4576910672445
7,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,69.42160202294917,47.506164534690534
8,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,68.23913909639302,46.6939886282047
9,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,67.90527388691386,46.65021540841801
10,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,68.67415262627082,47.16461557595732
11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,68.45929221887998,46.91801357798935
12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,69.14402273604011,47.6679879868009
13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,68.76671982249354,47.21858721675139
14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,69.05181577342587,47.409910596928626
15,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,68.84749606240571,47.162066657682715
16,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,68.34196495980191,46.61187957751392
17,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,67.78784623343294,46.264387122266115
18,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,68.57649322850882,47.027349334806736
19,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,68.08467164079731,46.41156907452383
20,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,69.1828539951169,47.58052308417846
21,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,68.59013831160773,47.58148890813213
22,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,69.58414664192907,47.93350737267712
23,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,69.12161329151624,47.25594738830291
24,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,68.3475071355628,46.88369241025401
25,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,68.23601883361599,46.9996754536904
26,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,68.36744668838305,46.78407512152546
27,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,68.1885775324829,46.41548755314821
28,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,69.3177866614652,47.771858521452344
29,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,68.64355120876904,47.69268267973902
30,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,69.14357229001759,48.01868007567656
31,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,68.88896499140726,47.403440726138065
32,2,LSTransferTreeBoost,0.05,1,1,0.01,0.5,76.54117757461212,53.33907748711583
33,2,LSTransferTreeBoost,0.05,1,1,0.01,0.9,76.1787635428731,53.040037838707
34,2,LSTransferTreeBoost,0.05,1,1,0.05,0.5,76.00911174336728,52.699034150403136
35,2,LSTransferTreeBoost,0.05,1,1,0.05,0.9,76.39400512877158,52.818979236075215
36,2,LSTransferTreeBoost,0.05,1,2,0.01,0.5,76.87570215985718,53.875371917430535
37,2,LSTransferTreeBoost,0.05,1,2,0.01,0.9,76.37068195235288,53.99498114946589
38,2,LSTransferTreeBoost,0.05,1,2,0.05,0.5,78.11397797711265,53.715060369036536
39,2,LSTransferTreeBoost,0.05,1,2,0.05,0.9,77.61483014108238,53.736281923853646
40,2,LSTransferTreeBoost,0.05,2,1,0.01,0.5,75.84258159564943,52.651112246417384
41,2,LSTransferTreeBoost,0.05,2,1,0.01,0.9,75.37339161737074,52.268928174216846
