,seed,rmse,mae,target_tree_size,v,epochs,method
0,1,75.44379699538585,55.26585106804792,1,0.005,1000,Baseline (XGBoost)
1,1,78.09106375172006,55.44326119820275,2,0.005,1000,Baseline (XGBoost)
2,1,82.07122880143022,56.3773742716579,3,0.005,1000,Baseline (XGBoost)
3,1,82.45400355527386,56.89793487111604,4,0.005,1000,Baseline (XGBoost)
4,1,83.49776452389393,58.25494517273387,5,0.005,1000,Baseline (XGBoost)
5,1,74.49754905034347,53.76530318968099,1,0.01,1000,Baseline (XGBoost)
6,1,78.07576336651873,55.339590250856695,2,0.01,1000,Baseline (XGBoost)
7,1,82.09579870157707,56.32763995103488,3,0.01,1000,Baseline (XGBoost)
8,1,82.55600325271193,57.07507080931672,4,0.01,1000,Baseline (XGBoost)
9,1,83.4128112528301,58.276767368015385,5,0.01,1000,Baseline (XGBoost)
10,1,74.48233405359831,53.71835580840727,1,0.02,1000,Baseline (XGBoost)
11,1,77.68117429091686,54.69801559944614,2,0.02,1000,Baseline (XGBoost)
12,1,82.3402393818177,56.51508304377775,3,0.02,1000,Baseline (XGBoost)
13,1,82.18119022414018,56.520410065350106,4,0.02,1000,Baseline (XGBoost)
14,1,83.43330164455634,58.03207133030329,5,0.02,1000,Baseline (XGBoost)
15,1,74.39598712958032,53.56773225013672,1,0.03,1000,Baseline (XGBoost)
16,1,77.66049881001562,54.649053355402366,2,0.03,1000,Baseline (XGBoost)
17,1,82.13378650940908,56.196197608305425,3,0.03,1000,Baseline (XGBoost)
18,1,82.71957594531686,57.0420388276235,4,0.03,1000,Baseline (XGBoost)
19,1,83.28336077936494,58.157598875331914,5,0.03,1000,Baseline (XGBoost)
20,1,74.5644311022927,53.86174112943075,1,0.05,1000,Baseline (XGBoost)
21,1,78.13579384775615,55.00395912953993,2,0.05,1000,Baseline (XGBoost)
22,1,81.87010351284825,55.90740511234617,3,0.05,1000,Baseline (XGBoost)
23,1,81.87728254387515,56.42171409679843,4,0.05,1000,Baseline (XGBoost)
24,1,83.01315480156771,57.441467864399584,5,0.05,1000,Baseline (XGBoost)
25,1,74.23161362597233,53.55852292165117,1,0.08,1000,Baseline (XGBoost)
26,1,78.21811171636068,55.072997360831074,2,0.08,1000,Baseline (XGBoost)
27,1,82.02326531772164,55.84124628442402,3,0.08,1000,Baseline (XGBoost)
28,1,82.6722175851308,56.98780849540614,4,0.08,1000,Baseline (XGBoost)
29,1,82.31335438143238,57.16710121285192,5,0.08,1000,Baseline (XGBoost)
30,1,74.14412005997406,53.50783201651857,1,0.1,1000,Baseline (XGBoost)
31,1,77.39747693652218,54.29691764433011,2,0.1,1000,Baseline (XGBoost)
32,1,81.8069390448058,56.19798163614117,3,0.1,1000,Baseline (XGBoost)
33,1,82.61706088260067,57.027070240665985,4,0.1,1000,Baseline (XGBoost)
34,1,82.0290932676864,57.064123025056595,5,0.1,1000,Baseline (XGBoost)
35,1,74.99128317033359,54.129115768531996,1,0.12,1000,Baseline (XGBoost)
36,1,78.46344514034476,55.251547279201425,2,0.12,1000,Baseline (XGBoost)
37,1,81.66061358923086,55.58105426578149,3,0.12,1000,Baseline (XGBoost)
38,1,82.28651592199128,56.90003140346283,4,0.12,1000,Baseline (XGBoost)
39,1,81.9750888378187,57.11301107943595,5,0.12,1000,Baseline (XGBoost)
40,1,75.24972468450166,54.14189611270421,1,0.15,1000,Baseline (XGBoost)
41,1,77.1788407229195,54.250099929927764,2,0.15,1000,Baseline (XGBoost)
42,1,82.88345506063919,56.85050188827726,3,0.15,1000,Baseline (XGBoost)
43,1,82.23506254573736,56.40390111097438,4,0.15,1000,Baseline (XGBoost)
44,1,82.28177252802477,56.94203153557902,5,0.15,1000,Baseline (XGBoost)
45,2,85.7277338411813,60.79395482285294,1,0.005,1000,Baseline (XGBoost)
46,2,86.17969392930979,61.56776064027942,2,0.005,1000,Baseline (XGBoost)
47,2,85.55973912228572,60.111365323773846,3,0.005,1000,Baseline (XGBoost)
48,2,87.07560258563879,59.94849868458755,4,0.005,1000,Baseline (XGBoost)
49,2,89.79966031367022,64.11928354375321,5,0.005,1000,Baseline (XGBoost)
50,2,85.19763408475264,59.664973768649055,1,0.01,1000,Baseline (XGBoost)
51,2,85.65994878656534,60.4861259756255,2,0.01,1000,Baseline (XGBoost)
52,2,85.56397958176821,60.082469150627844,3,0.01,1000,Baseline (XGBoost)
53,2,87.13776896665209,59.893615419357175,4,0.01,1000,Baseline (XGBoost)
54,2,89.55931436281715,63.58000191868464,5,0.01,1000,Baseline (XGBoost)
55,2,85.14998227669021,59.59526079441906,1,0.02,1000,Baseline (XGBoost)
56,2,85.4515477608331,60.25359627364328,2,0.02,1000,Baseline (XGBoost)
57,2,85.30616145424764,59.520731658556414,3,0.02,1000,Baseline (XGBoost)
58,2,87.4166319299596,59.774143727650696,4,0.02,1000,Baseline (XGBoost)
59,2,89.53457512956102,63.294052286511935,5,0.02,1000,Baseline (XGBoost)
60,2,85.32636390178092,60.03409852735249,1,0.03,1000,Baseline (XGBoost)
61,2,85.6717353977423,60.30359737932667,2,0.03,1000,Baseline (XGBoost)
62,2,85.33817279776474,59.67995983936891,3,0.03,1000,Baseline (XGBoost)
63,2,87.45883247668881,60.67658987791763,4,0.03,1000,Baseline (XGBoost)
64,2,89.50110611659791,63.141761606984794,5,0.03,1000,Baseline (XGBoost)
65,2,85.05568383520911,59.20882252768284,1,0.05,1000,Baseline (XGBoost)
66,2,85.2099412842787,59.551154873622735,2,0.05,1000,Baseline (XGBoost)
67,2,84.93544594552633,58.99663399277631,3,0.05,1000,Baseline (XGBoost)
68,2,88.03743287197472,60.663889684328915,4,0.05,1000,Baseline (XGBoost)
69,2,89.6179221685339,62.64112042269622,5,0.05,1000,Baseline (XGBoost)
70,2,85.13794297778765,59.36707322590858,1,0.08,1000,Baseline (XGBoost)
71,2,85.7430402650945,59.72361386893642,2,0.08,1000,Baseline (XGBoost)
72,2,84.87160669198305,58.49095595079347,3,0.08,1000,Baseline (XGBoost)
73,2,88.31018023354399,60.6898460078209,4,0.08,1000,Baseline (XGBoost)
74,2,89.6909297226989,62.12804029883804,5,0.08,1000,Baseline (XGBoost)
75,2,84.87182397167837,59.186509985822774,1,0.1,1000,Baseline (XGBoost)
76,2,84.71532093208752,58.93784836387905,2,0.1,1000,Baseline (XGBoost)
77,2,85.22384489435174,59.45522476330329,3,0.1,1000,Baseline (XGBoost)
78,2,87.97910254638708,60.318652360919316,4,0.1,1000,Baseline (XGBoost)
79,2,89.80963339471717,61.73634241075352,5,0.1,1000,Baseline (XGBoost)
