,seed,method,v,target_tree_size,rmse,mae
0,1,xgboost,0.005,1,74.4416844106966,53.972759446517216
1,1,xgboost_naive_transfer,0.005,1,74.54758328943292,55.99813741659845
2,1,xgboost,0.005,2,74.20619375015978,53.03447337038473
3,1,xgboost_naive_transfer,0.005,2,73.89634606273883,55.262452351638245
4,1,xgboost,0.005,3,78.75665938999158,54.88572083804863
5,1,xgboost_naive_transfer,0.005,3,73.42416939807514,55.03857221872297
6,1,xgboost,0.005,4,79.74781087665919,55.63175359505447
7,1,xgboost_naive_transfer,0.005,4,73.6704487698813,55.426403034403364
8,1,xgboost,0.005,5,83.10209154409178,56.856411838520174
9,1,xgboost_naive_transfer,0.005,5,74.71383731766318,55.84651286122085
10,1,xgboost,0.005,6,84.42514259836997,59.035697736033356
11,1,xgboost_naive_transfer,0.005,6,75.54042802886305,56.26340593410694
12,1,xgboost,0.005,7,86.07861872933016,60.0970381097877
13,1,xgboost_naive_transfer,0.005,7,77.02377418984098,57.25537724625026
14,1,xgboost,0.01,1,73.78510960103048,52.723051592155315
15,1,xgboost_naive_transfer,0.01,1,74.73830941949144,55.91755494554923
16,1,xgboost,0.01,2,74.22935955898,53.002124185195235
17,1,xgboost_naive_transfer,0.01,2,73.94510984368259,55.241461346886936
18,1,xgboost,0.01,3,78.79278457468372,54.93092857883495
19,1,xgboost_naive_transfer,0.01,3,73.42695262432095,54.999989230455434
20,1,xgboost,0.01,4,79.60239461848656,55.5670965347393
21,1,xgboost_naive_transfer,0.01,4,73.70376818820824,55.42102985834595
22,1,xgboost,0.01,5,83.28845135310173,56.96256122802107
23,1,xgboost_naive_transfer,0.01,5,74.62796292787381,55.826577874808706
24,1,xgboost,0.01,6,84.28476067725204,58.65420080108705
25,1,xgboost_naive_transfer,0.01,6,75.62071724692674,56.30763756310457
26,1,xgboost,0.01,7,86.12190775586113,60.2003068472687
27,1,xgboost_naive_transfer,0.01,7,77.01947055033214,57.21376795037269
28,1,xgboost,0.02,1,73.79123178563569,52.721954241995206
29,1,xgboost_naive_transfer,0.02,1,74.77645222494151,55.950804817010756
30,1,xgboost,0.02,2,74.36047863414852,53.020780207574504
31,1,xgboost_naive_transfer,0.02,2,74.13703924706154,55.26078930131712
32,1,xgboost,0.02,3,78.9823072146365,55.11271781741248
33,1,xgboost_naive_transfer,0.02,3,73.49751269177061,55.04620705183258
34,1,xgboost,0.02,4,79.87128074590763,55.66041667607591
35,1,xgboost_naive_transfer,0.02,4,73.8642409748543,55.45988787118322
36,1,xgboost,0.02,5,83.04130743812753,56.73388663114653
