,seed,rmse,mae,target_tree_size,v,epochs,method
0,1,90.50780692023707,59.922896375914455,1,0.005,1000,Baseline (XGBoost)
1,1,76.34949059019124,53.23929081079987,2,0.005,1000,Baseline (XGBoost)
2,1,74.1832506842689,51.96652762581265,3,0.005,1000,Baseline (XGBoost)
3,1,73.29232304366425,51.60017418738056,4,0.005,1000,Baseline (XGBoost)
4,1,71.90505417026812,50.540116473775285,5,0.005,1000,Baseline (XGBoost)
5,1,75.65558621483765,52.96065989858187,1,0.01,1000,Baseline (XGBoost)
6,1,76.22865086278574,53.186197125651184,2,0.01,1000,Baseline (XGBoost)
7,1,74.67511619332238,52.23224685841094,3,0.01,1000,Baseline (XGBoost)
8,1,72.66762501614829,51.101317380925884,4,0.01,1000,Baseline (XGBoost)
9,1,71.90176896313243,50.68779771629933,5,0.01,1000,Baseline (XGBoost)
10,1,75.47720670596875,52.99114976571093,1,0.02,1000,Baseline (XGBoost)
11,1,76.43702346102913,53.24978872305394,2,0.02,1000,Baseline (XGBoost)
12,1,74.24616085681858,52.093458775827465,3,0.02,1000,Baseline (XGBoost)
13,1,72.80963065366703,51.13573298375738,4,0.02,1000,Baseline (XGBoost)
14,1,71.74628124814626,50.355642380976796,5,0.02,1000,Baseline (XGBoost)
15,1,75.51201900859466,52.94797004973541,1,0.03,1000,Baseline (XGBoost)
16,1,75.9225885391364,53.19125646959424,2,0.03,1000,Baseline (XGBoost)
17,1,74.11065602568158,52.02139326914147,3,0.03,1000,Baseline (XGBoost)
18,1,72.33947661505398,50.46986691234187,4,0.03,1000,Baseline (XGBoost)
19,1,71.38458415695118,49.91679446838383,5,0.03,1000,Baseline (XGBoost)
20,1,75.65137631629328,53.11797600287339,1,0.05,1000,Baseline (XGBoost)
21,1,75.54461533047376,53.060442105186155,2,0.05,1000,Baseline (XGBoost)
22,1,72.18940358113315,50.64557499894932,3,0.05,1000,Baseline (XGBoost)
23,1,72.88723318467228,51.25556017062804,4,0.05,1000,Baseline (XGBoost)
24,1,71.40875097833725,49.96255303112086,5,0.05,1000,Baseline (XGBoost)
25,1,75.65131237217017,53.177986717117875,1,0.08,1000,Baseline (XGBoost)
26,1,73.69323393573215,51.92558672461486,2,0.08,1000,Baseline (XGBoost)
27,1,71.60252768371774,50.22825882235746,3,0.08,1000,Baseline (XGBoost)
28,1,71.19077771318531,49.80176489619316,4,0.08,1000,Baseline (XGBoost)
29,1,71.53296210337896,49.986165081481765,5,0.08,1000,Baseline (XGBoost)
30,1,75.79456578117585,53.53996162622133,1,0.1,1000,Baseline (XGBoost)
31,1,76.61563769128715,53.73453550971634,2,0.1,1000,Baseline (XGBoost)
32,1,72.88507902183967,51.04248708615737,3,0.1,1000,Baseline (XGBoost)
33,1,70.37371098056238,48.893281779053154,4,0.1,1000,Baseline (XGBoost)
34,1,72.44319822575538,50.48643263739158,5,0.1,1000,Baseline (XGBoost)
35,1,75.627230823796,53.3486019119097,1,0.12,1000,Baseline (XGBoost)
36,1,75.46463537983526,52.96848110339316,2,0.12,1000,Baseline (XGBoost)
37,1,71.26658749878119,49.888954790948475,3,0.12,1000,Baseline (XGBoost)
38,1,70.38127640341101,49.11110189884958,4,0.12,1000,Baseline (XGBoost)
39,1,74.03159641582212,52.18977422880686,5,0.12,1000,Baseline (XGBoost)
40,1,76.5182979632124,54.13240378152195,1,0.15,1000,Baseline (XGBoost)
41,1,72.46557373662144,50.89907802272301,2,0.15,1000,Baseline (XGBoost)
42,1,71.20621137410181,49.74656683315584,3,0.15,1000,Baseline (XGBoost)
43,1,71.91819155114378,50.20259977383487,4,0.15,1000,Baseline (XGBoost)
44,1,72.54356948527534,50.33394766782526,5,0.15,1000,Baseline (XGBoost)
45,2,96.56388380172196,62.15780038388922,1,0.005,1000,Baseline (XGBoost)
46,2,83.73940970183193,56.21660077721551,2,0.005,1000,Baseline (XGBoost)
47,2,79.09053683423038,53.61365499534689,3,0.005,1000,Baseline (XGBoost)
48,2,77.36212226193464,52.67742923548366,4,0.005,1000,Baseline (XGBoost)
49,2,76.70764366081316,51.549005522129185,5,0.005,1000,Baseline (XGBoost)
50,2,82.15833805278977,55.936878168686675,1,0.01,1000,Baseline (XGBoost)
51,2,83.93157385627136,56.359713367577456,2,0.01,1000,Baseline (XGBoost)
52,2,79.05881649767485,53.884211811035364,3,0.01,1000,Baseline (XGBoost)
53,2,77.05495977920684,52.571251844685605,4,0.01,1000,Baseline (XGBoost)
54,2,77.1735568930533,51.85135793742708,5,0.01,1000,Baseline (XGBoost)
55,2,82.1090852277343,55.88873974212901,1,0.02,1000,Baseline (XGBoost)
56,2,83.94313834764472,56.37789751233616,2,0.02,1000,Baseline (XGBoost)
57,2,78.20692322534585,53.1999846764824,3,0.02,1000,Baseline (XGBoost)
58,2,77.32338003399481,52.943865574516714,4,0.02,1000,Baseline (XGBoost)
59,2,76.5116491904905,51.717103913137635,5,0.02,1000,Baseline (XGBoost)
60,2,81.80181319631743,56.02729611602351,1,0.03,1000,Baseline (XGBoost)
61,2,83.5340384461722,56.322408621139886,2,0.03,1000,Baseline (XGBoost)
62,2,78.94084961139792,53.7193200331412,3,0.03,1000,Baseline (XGBoost)
63,2,76.65973840216863,51.51401336385841,4,0.03,1000,Baseline (XGBoost)
64,2,76.08215415313522,50.9675469881787,5,0.03,1000,Baseline (XGBoost)
65,2,81.81552420049009,55.97066097668622,1,0.05,1000,Baseline (XGBoost)
66,2,78.94581449251015,53.65060053146822,2,0.05,1000,Baseline (XGBoost)
67,2,75.2278443781864,50.54011704736861,3,0.05,1000,Baseline (XGBoost)
