,seed,rmse,mae,target_tree_size,v,epochs,method
0,1,70.92581118208842,50.554202895032894,1,0.005,1000,Baseline (XGBoost)
1,1,68.45839852610588,48.04137653126236,2,0.005,1000,Baseline (XGBoost)
2,1,68.89450534507455,47.56789278326335,3,0.005,1000,Baseline (XGBoost)
3,1,70.2865628599259,48.46507080767919,4,0.005,1000,Baseline (XGBoost)
4,1,71.12472818839723,49.06314735387344,5,0.005,1000,Baseline (XGBoost)
5,1,68.89776246305361,48.36893700335143,1,0.01,1000,Baseline (XGBoost)
6,1,68.21353393844409,47.75879431033166,2,0.01,1000,Baseline (XGBoost)
7,1,68.84036714866068,47.54181557132076,3,0.01,1000,Baseline (XGBoost)
8,1,69.96430275729011,48.219563179275106,4,0.01,1000,Baseline (XGBoost)
9,1,70.87917788759236,49.0028198037444,5,0.01,1000,Baseline (XGBoost)
10,1,68.74886687225464,48.22418753333914,1,0.02,1000,Baseline (XGBoost)
11,1,67.94088535984083,47.44991216819292,2,0.02,1000,Baseline (XGBoost)
12,1,68.83349600668225,47.54105440146315,3,0.02,1000,Baseline (XGBoost)
13,1,70.88786534850941,48.84343047392289,4,0.02,1000,Baseline (XGBoost)
14,1,71.2012591312089,49.218133694877125,5,0.02,1000,Baseline (XGBoost)
15,1,68.72506524428312,48.1635670193405,1,0.03,1000,Baseline (XGBoost)
16,1,68.44733328096443,48.10957291415511,2,0.03,1000,Baseline (XGBoost)
17,1,68.94875843346782,47.603161318977435,3,0.03,1000,Baseline (XGBoost)
18,1,70.3796347996957,48.431878429118555,4,0.03,1000,Baseline (XGBoost)
19,1,71.10017127133132,49.28705342972713,5,0.03,1000,Baseline (XGBoost)
20,1,68.69417509389582,48.08394899468729,1,0.05,1000,Baseline (XGBoost)
21,1,67.8875257851504,47.38751450223166,2,0.05,1000,Baseline (XGBoost)
22,1,68.60556903636595,47.441188430163315,3,0.05,1000,Baseline (XGBoost)
23,1,69.80138317592143,48.13093681091081,4,0.05,1000,Baseline (XGBoost)
24,1,70.89264498954105,48.81103721635061,5,0.05,1000,Baseline (XGBoost)
25,1,68.81846658631453,48.188707697416014,1,0.08,1000,Baseline (XGBoost)
26,1,67.85484812564921,47.24654891314135,2,0.08,1000,Baseline (XGBoost)
27,1,68.15825080803019,47.41940198155005,3,0.08,1000,Baseline (XGBoost)
28,1,69.94691493555172,48.357766329134286,4,0.08,1000,Baseline (XGBoost)
29,1,71.40029484078875,49.1890330324144,5,0.08,1000,Baseline (XGBoost)
30,1,68.75105754302076,48.004503769915175,1,0.1,1000,Baseline (XGBoost)
31,1,68.02552884393207,47.19573494337497,2,0.1,1000,Baseline (XGBoost)
32,1,68.81076762058994,47.42521177771038,3,0.1,1000,Baseline (XGBoost)
33,1,70.58197822082568,48.72878659229881,4,0.1,1000,Baseline (XGBoost)
34,1,71.73633798078023,49.023800737848255,5,0.1,1000,Baseline (XGBoost)
35,1,68.93677647939955,48.30784344154624,1,0.12,1000,Baseline (XGBoost)
36,1,67.85403983553779,47.258493774609356,2,0.12,1000,Baseline (XGBoost)
37,1,68.39930748847954,47.35969427913801,3,0.12,1000,Baseline (XGBoost)
38,1,70.00080270779644,48.11835127010213,4,0.12,1000,Baseline (XGBoost)
39,1,72.01246112784774,49.89465065009254,5,0.12,1000,Baseline (XGBoost)
40,1,69.50927761149599,48.51934063739607,1,0.15,1000,Baseline (XGBoost)
41,1,68.296248751716,47.552626731563535,2,0.15,1000,Baseline (XGBoost)
42,1,69.18820242717746,48.00835324026755,3,0.15,1000,Baseline (XGBoost)
43,1,70.85575800516088,48.55819125062229,4,0.15,1000,Baseline (XGBoost)
44,1,71.86100873764485,49.87414086035117,5,0.15,1000,Baseline (XGBoost)
45,2,76.6768627677464,55.68590625246353,1,0.005,1000,Baseline (XGBoost)
46,2,76.87374614485465,55.02350812682412,2,0.005,1000,Baseline (XGBoost)
47,2,75.84418787609663,53.59485015937621,3,0.005,1000,Baseline (XGBoost)
