,level_0,index,Plot,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imax,imean,isd,iskew,ikurt,ipground,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,p1th,p2th,p3th,p4th,p5th,pground,n,area,l_1,l_2,t_3,t_4,fid,X,Y,ID,Dubulti_2,IDENTIF,LAND_USE,SITE_TYPE,PLOT_AREA,DOMINANT_SPECIE,DOMINANT_SPECIE_AGE,BONIT,1ST_FLOR_TREE_NUMBER,2ND_FLOR_TREE_NUMBER,3RD_FLOR_TREE_NUMBER,Dgv,Hgv,1ST_FLOR_BASAL_AREA_1_ST,2ND_FLOR_BASAL_AREA_1_ST,3RD_FLOR_BASAL_AREA_1_ST,Volume,1ST_FL_VOLUME,2ND_FL_VOLUME,3RD_FL_VOLUME,VOLUME_PINE,VOLUME_SPRUCE,VOLUME_BIRCH,VOLUME_ASPEN,VOLUME_BLACK_ALDER,VOLUME_WHITE_ALDER,VOLUME_OAK,VOLUME_ASH,VOLUME_OTHER,CelsAtt,X_nom,Y_nom,X_mer,Y_mer,Korigets,Z_mer,DATE1,COMPANY,LIDAR_SCANNER,SCANNING YEAR,NFI_YEAR,DIFF,LIDAR_PATH
0,0,0,2434251134,21.14,3.89903364533266,4.85755020614235,1.22316426310816,3.53203061068788,,35.4414368833797,46.5216291424235,0.0,0.0,0.0,0.03,0.09,0.16,0.252,0.44,0.92,1.58,2.22,2.93,4.03,5.43,6.98000000000001,8.26,10.06,11.488,13.768,43.5649735119975,57.7438454347149,66.8432533499533,76.1919601121845,83.7955749454659,91.7419756933624,95.2321595512621,97.5693362418199,99.407915238392,210823,215,53.3324057677713,41.4446585383645,1.15816757856599,3.52682218598988,26.891278465822,27.0890747214488,45.353210987416,69.7011236914378,81.8425883323926,93.7264909426391,64.1032127498103,28.0799392866178,6.7543637743486,0.986592461421705,0.0758917278016696,18.6440677966102,3953,629.758799999328,3.89903364533266,2.50334395621221,0.378458632483931,0.0624354262404739,1,645149,180625,1902527,1,2434251134,62,5,500,8,31,1,240,300,100,16.9548866648581,17.2138023545105,6.00458887065924,5.93724883212955,0.430084034276443,88.4030112425291,51.3843475501148,35.5428993055506,1.47576438686372,0.0,0.0,0.0,51.7944027170526,8.36224083413591,0.0,0.0,0.0,28.2463676913407,190.0,645150,180625,645149.470386,180624.644133,1.0,163.546713103,20.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, #SN 9997895, rotated polygon",2017,2018,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2434/2434-25-11.las
1,1,1,2434255331,22.75,11.171600673968,5.83753898554446,-0.779334534774939,2.56651561841913,,63.5046335299073,84.5155855096883,0.0,0.0,0.623000000000004,6.16,8.22,9.68,10.799,11.77,12.45,12.98,13.44,13.93,14.4,14.778,15.145,15.652,16.34,17.13,18.34,4.85860694628962,6.73752135130006,11.8048965648131,18.5993547162649,29.7969254127918,51.8124881381666,79.8064148794838,93.7938887834504,98.2729170620611,253510,215,42.7144060657119,27.7717322702982,1.23629868199339,5.24654263491348,11.1987692793184,11.3214468857244,24.856218689598,41.2674056250247,63.2728491972703,87.645063311112,48.7615838247683,32.2325189553496,14.5240101095198,3.8921651221567,0.539174389216512,11.0362257792755,5935,632.522099998245,11.1716006739679,3.18495107684104,-0.201396932372374,0.0923067747503172,2,647125,184850,1873982,1,2434255331,10,5,500,1,121,4,400,1180,400,50.5873996169007,17.475,40.132228229393,10.2876792149309,0.196349540849362,379.735446991455,330.931603569771,48.1891708134757,0.614672608208688,124.117229989593,0.0,60.1822538077873,0.0,0.0,0.0,24.3291502699229,0.0,171.106812924152,235.0,647125,184850,,,,,21.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2434/2434-25-53.las
2,2,2,2434443431,28.44,13.0488379805921,8.1140623784264,-0.568959885262525,2.02804000445855,,64.1690210047906,77.2018179584818,0.0,0.0,0.0,0.07,6.68,11.14,12.83,13.83,14.7,15.45,16.11,16.75,17.43,18.12,18.92,19.83,20.87,22.0,23.6,9.40938042848871,10.9004053271569,13.2165605095541,18.1239143022582,31.629994209612,55.5877243775333,77.0411117544875,91.8210770121598,98.4221192819919,428948,321,52.689841542808,46.7732675413877,2.19948330641577,8.44961747370502,24.3381482137695,25.0787974299915,43.1024273338493,57.3127745087983,74.174725141509,90.9807249363559,49.6990541702494,33.0917577693158,13.3767350448348,3.25512836260902,0.479056626950006,14.6910698931335,8141,633.528499998448,13.048837980592,4.47238642543114,-0.143999331801949,0.0236147313731175,3,643125,192850,1873985,1,2434443431,10,5,500,3,48,11,1100,0,0,21.2085115351941,22.0149975833604,41.7480278709506,0.0,0.0,477.629625548947,477.629625548947,0.0,0.0,0.0,415.937301859429,61.6923236895189,0.0,0.0,0.0,0.0,0.0,0.0,320.0,643125,192850,,,,,15.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, #SN 9997895, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2434/2434-44-34.las
3,3,3,2434443432,23.5,7.5319178440607,6.65931835263951,0.211701530859937,1.49214548601358,0.82314649349668,47.9068550497122,64.2072213500785,0.0,0.0,0.0,0.1,0.33,0.863,1.88,3.054,4.7325,7.07,8.93,10.436,11.72,12.874,14.06,15.028,15.7685,16.529,17.4,26.1838440111421,34.942742185082,40.8542246982358,48.2203652120087,58.8053234292789,70.6282884555865,87.5889817393996,98.1120396162179,99.7523986381925,111272,496,29.1135531135531,24.5788963441857,4.71783060311229,51.3829130510706,19.8100150981379,19.8100150981379,43.3271622690344,60.078905744482,73.1702494787548,89.5607160831117,65.5677655677656,27.3940345368917,6.01779173207745,0.941915227629513,0.0784929356357928,15.4369440083726,3822,632.019199997777,7.5319178440607,3.75571537241313,0.0970971194949806,-0.103645195917823,4,643350,192875,1873988,1,2434443432,10,15,500,4,32,1,1240,100,0,12.365247868066,17.1079058245633,14.8907721868972,0.321699087727595,0.0,124.282197500136,122.245761083568,2.036436416568,0.0,0.0,0.0,124.282197500136,0.0,0.0,0.0,0.0,0.0,0.0,345.0,643350,192875,,,,,21.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2434/2434-44-34.las
4,4,4,2434443433,29.58,8.54788699360341,9.65843477855136,0.60718422257823,1.77941473113371,,42.6865671641791,50.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.72,1.28,2.0,5.79800000000001,10.39,13.3785,15.6,17.59,19.542,21.5265,23.473,25.4255,37.1509971509971,40.0,43.3048433048433,49.1737891737892,57.5213675213675,67.008547008547,76.9515669515669,87.3219373219373,96.2393162393162,308500,315,65.7782515991471,51.4160233815051,0.883761890281736,2.63386520489148,40.4291734197731,41.8298217179903,50.6275526742301,71.639546191248,81.8314424635332,93.9951377633711,59.5095948827292,29.680170575693,8.35820895522388,2.00426439232409,0.383795309168444,24.2004264392324,4690,632.773399999942,8.54788699360341,5.19132307887489,0.268553167683061,-0.0721928537933716,5,643375,192650,1873991,1,2434443433,10,5,500,3,52,11,180,40,0,31.880939222587,26.8437892626411,14.2309906057535,1.00659770213671,0.0,192.103019089411,182.870962085586,9.23205700382508,0.0,0.0,145.564875452106,41.9133718493009,0.0,0.0,0.0,4.62477178800443,0.0,0.0,195.0,643375,192650,,,,,15.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, #SN 9997895, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2434/2434-44-34.las
5,5,5,2434443434,26.65,10.9000568598679,7.64043620226749,-0.130458060649086,1.72167958160105,,54.6404988994864,77.3844460748349,0.0,0.0,0.0,0.594000000000001,3.165,5.466,7.5785,9.294,10.8395,12.055,13.2505,14.4,15.32,16.39,17.35,18.228,19.3,20.499,22.1545,10.1603119584055,16.9627383015598,24.6100519930676,34.2504332755633,47.1403812824957,62.4350086655113,78.8994800693241,91.2694974003466,98.5918544194108,249402,301,45.7450476889215,38.8976700029917,2.19916162008407,8.66518913773047,24.6080624854652,25.2896929455257,43.0269203935814,59.0123575592818,75.3293878958469,91.3649449483164,48.8628026412326,32.3184152604549,14.2333088774762,3.66837857666911,0.82538517975055,14.9486426999266,5452,632.267999998744,10.9000568598679,4.37099074856593,-0.0290336059108118,-0.0309184921512694,6,643150,192625,1873994,1,2434443434,10,5,500,3,50,11,620,60,0,22.1074474050993,21.8672048080587,23.8012243063841,1.23775608958784,0.0,269.636190236821,261.050177592827,8.58601264399457,0.0,0.0,226.659409711965,40.6897644824287,0.0,0.0,0.0,0.0,0.0,2.28701604242709,360.0,643150,192625,,,,,21.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2434/2434-44-34.las
6,6,6,2443132434,16.52,5.07245690550363,4.39221382682375,0.221418751255575,1.79071362352434,,52.3364485981308,63.6344755970924,0.0,0.0,0.03,0.07,0.1,0.15,1.246,3.296,4.59,5.46,6.2,6.84,7.40100000000001,7.96,8.54,9.212,9.99800000000001,10.986,12.35,25.4624069180879,30.6749939947153,38.8181599807831,51.4052366082152,68.4122027384098,82.2243574345424,90.9200096084554,96.7811674273361,99.6156617823685,189655,154,39.3883696780893,28.1669224277168,1.41932921359333,4.39863854385633,19.1589992354538,19.5228177480161,44.4333131211937,60.1123091930084,76.0343782130711,92.395138541035,53.6033229491173,32.7725856697819,12.0664589823468,1.45379023883697,0.103842159916926,13.3333333333333,4815,631.516499999502,5.07245690550363,2.47662240410778,0.0949974339190422,-0.0566702353797814,8,663150,176625,1879876,1,2443132434,62,5,500,6,14,11,900,1200,0,9.4958214494587,10.0366024857521,6.62321558804088,1.25318130951697,0.0,42.9622432027357,38.0763052403804,4.88593796235535,0.0,0.0,0.0,15.5236347799205,2.60251300486412,24.8360954179511,0.0,0.0,0.0,0.0,400.0,663150,176625,,,,,25.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2443/2443-13-24.las
7,7,7,2443221334,19.77,5.69879484212267,5.34689133764538,0.404238953269217,1.76402260490317,0.820405897942161,45.9414779302364,60.7869069267648,0.0,0.0,0.01,0.06,0.11,0.33,1.24,2.15,3.22,4.41,6.044,7.43,8.61400000000001,9.64,10.65,11.56,12.45,13.21,14.18,28.3883495145631,39.7087378640777,46.7961165048544,55.2038834951456,66.3106796116505,78.5631067961165,92.9126213592233,97.6699029126214,99.0679611650485,218520,624,36.1249793354273,33.5750745970404,5.60747478116859,64.9697819307151,25.3647263408384,25.4132344865459,48.5928061504668,64.1236500091525,77.9200988467875,92.0455793520044,44.80079351959,35.5761282856671,15.5562902959167,3.68655976194412,0.380228136882129,14.7958340221524,6049,628.752600000585,5.69879484212265,2.99604860679233,0.155476515492219,-0.0739125153013953,9,657150,180625,1874011,1,2443221334,10,10,500,9,28,2,780,200,800,15.6610983012048,14.5057099082736,20.2460723958758,1.94935824155247,0.35091589940598,154.720922204841,147.550023724751,6.26273459093212,0.908163889158045,0.0,0.0,29.5448283549697,0.0,15.8815107367548,80.8490962590147,0.0,0.0,28.4454868541015,75.0,657150,180625,,,,,16.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, #SN 9997895, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2443/2443-22-13.las
8,9,9,2443245332,19.63,8.46646820027064,4.59166565200332,-0.462241335398778,2.49944461280016,0.879023456976459,56.5822540112121,84.7670597332302,0.0,0.0420000000000005,1.758,5.01,6.17,6.84,7.55,8.1,8.64,9.14,9.64,10.14,10.64,11.18,11.69,12.32,12.97,13.87,15.12,7.09745762711864,9.44915254237288,15.8898305084746,31.9279661016949,52.7330508474576,73.3474576271186,88.4745762711865,96.3983050847458,99.364406779661,187598,209,36.2648366518461,22.3948223743275,2.27306874515868,11.1681606624563,11.2218680369727,13.9601701510677,33.6234927877696,52.4232667725669,72.0263542255248,90.6283649079414,61.376377343901,29.4219988401315,7.98376184032476,1.1598685482312,0.05799342741156,8.73767639667504,5173,629.505600001286,8.46646820027061,2.57066161993778,-0.107027906647344,0.0980814979431422,11,667350,184875,1874017,1,2443245332,10,24,500,3,32,11,2020,800,0,13.1688869436006,14.6968899924022,26.5142251822079,2.9432010775156,0.0,236.779009152711,218.686659234831,18.0923499178798,0.0,0.0,234.379061474355,2.39994767835548,0.0,0.0,0.0,0.0,0.0,0.0,275.0,667350,184875,,,,,16.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, #SN 9997895, rotated polygon",2017,2016,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2443/2443-24-53.las
9,10,10,2443334234,22.34,7.26619769357496,5.85702441697595,0.327762972895779,2.04333752382091,,47.4629324546952,72.4876441515651,0.0,0.0,0.06,0.26,1.46,2.61,3.77,4.74,5.54,6.66,7.92,9.35,10.49,11.4,12.1775,12.932,13.69,14.612,17.0355,18.6833738544979,30.1477463998504,43.5945389938283,53.0951935664859,64.3164391247428,81.092201234337,91.9581073499158,95.2683747896017,97.9801757995137,205890,226,33.9192751235585,26.7495553659726,2.4237293062333,10.2551939704779,20.0373986109087,20.2627616688523,44.5776871144786,62.6485016270824,78.2165233862742,93.3556753606295,43.0807248764415,34.332784184514,16.6886326194399,5.02471169686985,0.757825370675453,11.7957166392092,6070,629.006000001548,7.26619769357493,3.33167180119454,0.0919743684575758,-0.0182696487560086,12,661152,188622,1902591,1,2443334234,10,21,500,16,46,11,400,300,400,33.6247676571898,26.225,18.1375139466026,1.46947996371663,0.342119439975928,177.049711269928,171.94558177483,3.8703724809612,1.23375701413652,0.0,0.0,0.0,0.0,7.82208167457051,45.1525495721312,0.0,6.72022363009164,117.354856393134,230.0,661150,188625,661152.077265,188621.967848,1.0,170.003031794,16.05.2017.,MGGP Aero Sp. z o.o.,"Riegl LMS Q680i, #SN 9998174, #SN 9997895, rotated polygon",2017,2018,True,https://s3.storage.pub.lvdc.gov.lv/lgia-opendata/las/2443/2443-33-42.las
