,Description,radius,datum,east,north,ForestClass,Biomassa_above,Biomassa_below,Basal_area,Basal_Area_Pine,Basal_Area_Spruce,Basal_Area_Contorta,Basal_Area_Decideous,Volume,Volume_Pine,Volume_Spruce,Volume_Contorta,Volume_Decideous,Dgv,Hgv,Mean_Age_basal_area_weighted,ScanDatum,leaveson,scanner_type,Plot,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imax,imean,isd,iskew,ikurt,ipground,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,p1th,p2th,p3th,p4th,p5th,pground,n,area,l_1,l_2,t_3,t_4,raster_image_path,north_processed,east_processed,area_code,gh,mahalanobi
87,201815141060,10,2018-09-25,634600,7155900,42,35.0934396933828,13.2554060583074,8.75619717105902,0.0,3.182,0.0,5.57419717105902,47.626632943784,0.0,19.636,0.0,27.990632943784,16.02,11.7,99.7,2021-07-09,2,1,201815141060,19.29,4.59629782833506,4.53073857961789,0.7116076392153,2.60590825018731,0.782843132170762,45.1913133402275,59.1520165460186,0.01,0.05,0.07,0.1,0.12,0.15,0.302,1.84,2.931,3.72,4.603,5.396,6.31,7.092,7.94,8.982,9.851,10.854,12.598,37.6086956521739,48.9130434782609,60.8695652173913,72.3913043478261,83.1521739130435,92.0652173913043,96.4130434782609,97.8260869565217,99.5652173913043,1697492,5310,1755.4208893485,1195.94243254633,1.17112614322793,3.16262457122965,56.3992054159902,18.4042104469417,50.3860990213798,66.8876789993708,79.3690338452258,92.8491562846835,42.8128231644261,26.9906928645295,17.7869700103413,8.68665977249224,3.72285418821096,34.5398138572906,967,382.9224,4.59629782833506,2.49917218521778,0.215160749306691,-0.0109997625931664,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815141060.tif,7155900,634600,4,5.554371105762546e-05,1.8796422382935245
88,201815141120,10,2018-09-25,635200,7155900,41,116.065283244939,41.4127210067096,28.9173721063325,0.0,26.04,0.0,2.8773721063325,181.267290743328,0.0,168.816,0.0,12.451290743328,16.46,12.76,102.6,2021-07-09,2,1,201815141120,19.11,4.96834728033473,4.52370945279441,0.601190881981113,2.39936522785505,0.820969148748015,45.0836820083682,64.8535564853556,0.0,0.05,0.08,0.13,0.19,0.485,1.9275,2.92,3.6,4.24,4.9725,5.77000000000001,6.565,7.485,8.2825,9.34,10.29,11.395,13.145,31.1184939091916,43.8538205980066,57.5858250276855,69.9889258028793,80.2879291251384,89.7009966777409,95.2380952380952,98.5603543743079,99.4462901439646,1511837,4969,1581.41945606695,1073.64479330782,1.42506342272948,4.18684828938433,46.2614686636192,18.2577222279915,47.9934014050457,61.9861797270473,76.422921254077,92.2036568757082,44.4560669456067,30.4393305439331,16.8410041841004,6.48535564853557,1.77824267782427,28.6610878661088,956,389.4592,4.96834728033473,2.53255107450328,0.176622020828673,-0.0026932331154528,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815141120.tif,7155900,635200,4,4.888134608100134e-05,1.5053395098017832
89,201815142060,10,2018-09-25,635200,7155300,31,40.4642148226858,14.967116069159,13.1133874711356,0.0,0.0,9.428,3.6853874711356,71.5283606548199,0.0,0.0,59.098,12.4303606548199,14.7,10.42,37.9,2021-07-09,2,1,201815142060,12.29,4.18776801405975,3.06110317068813,0.196988495847072,2.20780876221452,0.863585472267443,52.0210896309315,73.1985940246046,0.0,0.03,0.09,0.2,1.5125,2.461,2.98,3.528,3.9265,4.365,4.66,4.992,5.39,5.779,6.3,6.77,7.4145,8.41900000000001,9.5115,18.2425978987584,23.9732569245463,36.676217765043,55.1098376313276,71.3467048710602,83.5721107927412,89.8758357211079,95.8930276981853,99.3314231136581,1480790,4470,1301.22144112478,636.039710871487,0.89775780264188,3.40345616455845,18.2353338420708,8.53199981091174,24.5748553137177,45.7689476563186,70.0305917787127,90.20232443493,36.9068541300527,31.8101933216169,19.8594024604569,8.34797891036907,3.07557117750439,21.2653778558875,1138,385.1316,4.18776801405976,1.74147591865252,0.05015105816413,0.0362338880421043,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815142060.tif,7155300,635200,4,4.746225625942725e-05,0.3818056459779968
90,201815142120,10,2018-09-25,635200,7154700,31,47.6187970596323,17.2255416570465,14.319335937162,0.0,12.416,0.0,1.903335937162,58.7854710013105,0.0,52.904,0.0,5.88147100131049,10.92,7.72,36.2,2021-07-09,2,1,201815142120,9.24,2.18678571428571,2.23502414345925,0.832932682214417,2.80027815446221,0.767056123638673,45.0,47.3809523809524,0.0,0.0390000000000001,0.06,0.09,0.12,0.16,0.2165,0.346,1.3265,1.795,2.1735,2.472,2.93,3.29,3.6925,4.05,4.6415,5.55,6.5525,38.9100126742712,47.7820025348542,60.5830164765526,73.510773130545,83.7769328263625,89.3536121673004,94.4233206590621,97.3384030418251,99.3662864385298,1558508,5236,1855.36666666667,1129.58653455786,1.02931689060707,3.091173312418,55.8917246494724,12.2368316364112,44.8998016051249,62.8038482959343,76.6491413582734,92.981620883563,48.9285714285714,33.5714285714286,13.2142857142857,3.33333333333333,0.952380952380952,39.8809523809524,840,390.4575,2.18678571428571,1.2180100459731,0.250577289708751,0.0105115961793078,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815142120.tif,7154700,635200,4,1.1870327261714396e-05,0.6779921341359588
91,201815143120,10,2018-09-25,634100,7154700,31,71.2207433690252,26.83780136248,21.7690428927141,0.0,0.0,13.784,7.9850428927141,108.88895402115,0.0,0.0,76.236,32.65295402115,19.94,10.1,41.0,2021-07-09,2,1,201815143120,11.92,4.333,3.29075119862488,0.037481262166459,1.74653169962375,0.894016973365054,51.3793103448276,70.5172413793103,0.0,0.0,0.01,0.09,0.22,2.08,2.71,3.352,3.93,4.475,5.09,5.672,6.2335,6.61,7.1325,7.52,8.1215,8.57,9.3615,15.4773869346734,21.608040201005,32.7638190954774,44.0201005025126,56.78391959799,71.2562814070352,85.2261306532663,94.9748743718593,99.1959798994975,1637342,4696,1411.50172413793,807.705897104822,1.46210992622366,5.43163502271409,32.320126155684,17.6991123418321,36.8865514962665,51.8812807586931,69.1690557012524,89.6199450084344,38.1896551724138,31.6379310344828,19.1379310344828,8.62068965517241,2.41379310344828,24.2241379310345,1160,392.4325,4.333,1.88172665198893,0.0253148840816703,-0.038536553476007,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815143120.tif,7154700,634100,4,4.5121489795551296e-05,0.6000253096966696
92,201815144060,10,2018-09-25,634000,7155300,31,86.8313259531136,32.5405879750778,25.9408736460062,0.0,2.564,11.308,12.0688736460062,141.212139588805,0.0,15.398,74.948,50.866139588805,14.56,10.84,39.7,2021-07-09,2,1,201815144060,14.79,4.58211089494163,3.98443262328057,0.352023892574457,1.98326284658161,0.855714462442439,49.7081712062257,64.7859922178988,0.0,0.0,0.0,0.04,0.12,0.31,1.9025,2.796,3.8015,4.53,5.107,5.812,6.37,7.04,7.6925,8.456,9.0295,10.09,11.516,19.9766355140187,29.088785046729,39.9532710280374,52.803738317757,66.588785046729,79.7897196261682,89.018691588785,95.4439252336448,98.9485981308411,1489096,4607,1448.53696498054,894.079706466063,1.32524536890504,4.14706808500019,40.4807346201991,23.6738934225866,43.5929584123522,58.2228412405916,74.5144033695611,91.2515378457803,40.4669260700389,28.4046692607004,19.2607003891051,8.07392996108949,3.79377431906615,28.3073929961089,1028,388.6812,4.58211089494163,2.25381373158192,0.120506634467014,-0.032734024131397,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815144060.tif,7155300,634000,4,5.470832861507449e-05,1.4176918845380835
93,201815171060,10,2018-06-03,669600,7156400,31,84.803671794426,27.571861865232,22.8161299404563,19.394,1.826,0.0,1.5961299404563,160.009285775546,139.808,11.824,0.0,8.37728577554601,18.14,14.2,58.4,2021-07-10,2,1,201815171060,15.79,5.66236720554273,4.87979877904445,0.146440150761497,1.6274957624375,0.837988612528514,52.6558891454965,63.5103926096998,0.0,0.0,0.0,0.04,0.1,0.195,1.2075,3.53,4.92,6.405,6.9875,7.77,8.41,9.03,9.7,10.59,11.2625,12.295,13.2875,23.1086657496561,27.7854195323246,33.4250343878955,39.6148555708391,53.6451169188446,68.6382393397524,80.7427785419532,90.0962861072902,96.9738651994498,1385399,5419,1599.76789838337,1170.84785067026,1.56298731415458,4.3445274496911,53.4539869019683,24.4370755284218,48.8147457880365,65.4113363731315,77.869119293431,92.0865396900099,41.9168591224018,29.7921478060046,18.2448036951501,7.04387990762125,3.00230946882217,32.1016166281755,866,383.572,5.66236720554273,2.7554532432685,0.0794831655205672,-0.0772854391603232,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815171060.tif,7156400,669600,4,6.251231844703458e-05,0.6309576858838611
94,201815172060,10,2018-06-03,670200,7155800,22,8.08223923708264,3.78644959577066,3.81817581652021,1.6,0.094,0.0,2.12417581652021,10.2890407514921,4.732,0.288,0.0,5.2690407514921,6.24,3.76,16.6,2021-07-10,2,1,201815172060,7.5,0.790905587668593,1.23001779374218,2.12786100180894,7.99413137691214,0.472734804706503,30.0578034682081,15.7996146435453,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.11,0.17,0.21,0.24,0.298000000000001,0.387,0.802,1.235,1.574,2.12,2.57,3.337,56.8306010928962,71.0382513661202,82.2404371584699,91.5300546448087,94.5355191256831,97.5409836065574,98.6338797814208,99.1803278688525,100.0,1484058,4980,2859.45664739884,1294.75864745645,-0.289130315585651,1.61691786973612,80.8199544761728,35.9339729309771,38.5669562779891,62.5918259259409,84.8989729511919,95.4551641512663,75.5298651252408,21.1946050096339,3.08285163776493,0.192678227360308,0.0,65.8959537572254,519,389.6595,0.790905587668595,0.562832072369644,0.513195669307301,0.203715801248131,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815172060.tif,7155800,670200,4,3.336682557662784e-07,0.4875947285237595
95,201815173060,10,2018-06-03,669700,7155100,42,72.2445649161796,28.5622467582125,18.9092827075088,17.772,0.746,0.0,0.391282707508803,154.736058310287,147.988,3.66,0.0,3.08805831028701,35.26,17.56,196.4,2021-07-10,2,1,201815173060,20.46,7.21220090293454,6.14532596334406,0.0950452195340796,1.56080737911577,0.814697994804992,52.3702031602709,64.5598194130926,0.0,0.0,0.05,0.1,0.1425,0.22,1.5075,4.51,6.5925,7.955,9.2575,10.18,10.9725,11.745,12.61,13.3,14.2125,15.135,16.4375,27.700127064803,32.1473951715375,36.4675984752224,44.853875476493,55.2731893265565,68.9961880559085,83.7357052096569,94.28208386277,98.0940279542567,1411373,5086,1592.97178329571,1076.87727468809,1.39524421733892,3.90395586203285,50.2540434031259,16.5345376452575,47.388960962127,64.3989221842844,76.9547809119205,91.4313934020277,41.5349887133183,30.4740406320542,17.7200902934537,7.44920993227991,2.82167042889391,30.9255079006772,886,395.6096,7.21220090293453,3.46671646835266,0.0630159136397862,-0.0896454076750548,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815173060.tif,7155100,669700,4,7.988235025401254e-05,0.6323220497290988
98,201815181120,10,2018-07-09,662800,7171200,23,45.7363970644978,21.5773998052502,19.1153982898086,7.714,2.068,0.0,9.3333982898086,70.7734539202138,30.508,7.174,0.0,33.0914539202138,7.48,5.3,20.2,2021-07-10,2,1,201815181120,7.88,1.85711711711712,1.92693735097041,0.562204296017988,1.99447373892326,0.743208842557904,46.0746460746461,45.1737451737452,0.0,0.0,0.0,0.0220000000000002,0.06,0.1,0.15,0.21,0.302,1.37,2.01,2.466,2.81,3.142,3.48,3.85,4.19,4.664,5.17,36.6614664586583,41.3416536661466,50.390015600624,63.9625585023401,77.5351014040562,88.7675507020281,96.7238689547582,99.0639625585023,99.8439937597504,1446555,5152,1861.71814671815,1093.80892081303,1.00405414130502,2.93164303764299,56.9809651205796,23.530042065459,42.806184348331,66.5624881183225,79.3864042500976,93.4408301101583,51.0939510939511,36.5508365508366,10.8108108108108,1.41570141570142,0.128700128700129,41.5701415701416,777,387.0676,1.85711711711712,1.05617478671602,0.222488577260708,-0.0594193714343681,Image_data/ALS_raster_metrics_plot_center_cut_90x90/201815181120.tif,7171200,662800,4,4.564521503040965e-06,1.4421504649466543
