,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,11,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.6147379783914373,1.3084149398200018
1,11,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.5173906283209428,1.2181778687307705
2,11,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.089621257622774,1.692961250663035
3,11,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.99524378666841,1.6258793601391517
4,11,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.6465481542025098,1.3358990283185812
5,11,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.637817241126251,1.3140673047902751
6,11,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.7951431859476623,1.4504005105675728
7,11,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.7773521317496117,1.4400008877697603
8,11,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.517058989816384,1.2124901075152683
9,11,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.3401580237163513,1.0643170949826384
10,11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.013747207252376,1.6412398525944254
11,11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.8629772912582832,1.5143370215344483
12,11,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.5630638255912321,1.2544447927303368
13,11,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.413038117490104,1.1236224942188495
14,11,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.7489119243847795,1.4124455481744713
15,11,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.738644829346931,1.4140508114658217
16,11,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.5605426652918977,1.2561060087055094
17,11,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.4404155516903874,1.1511634260466503
18,11,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.889798514954712,1.5458491464296849
19,11,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.786980686065723,1.4531574537944159
20,11,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.6140713479753575,1.3038149132403174
21,11,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.54877279010525,1.2424653682193056
22,11,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.7458388945613583,1.4215176078006218
23,11,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.7160334440017446,1.394602821216621
24,11,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.3614313753788831,1.086931667799364
25,11,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.3631802993911466,1.0807183164112444
26,11,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.728562808597964,1.4017280103804846
27,11,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.7306901650974853,1.4127413215741689
28,11,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.5267968253232642,1.213572315333933
29,11,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.326559439672588,1.0480997173911357
30,11,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.7416149858762968,1.4115751136205894
31,11,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.7446616236873524,1.4251510999665848
32,12,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.6631191688103513,1.3049476620362652
33,12,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,3.940167445245868,3.24411732342752
34,12,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.6646199729896798,1.3085540625104302
35,12,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.6800778576192605,1.3194770469756523
36,12,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.6878553005769525,1.3229026597455324
37,12,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.6844243172446443,1.3200674693790853
38,12,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.6922973904132887,1.325078016044882
39,12,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.6957995646535555,1.3363980616803435
40,12,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.4663401441293638,1.1441608877639124
41,12,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.5277530972430182,1.2117565603971905
42,12,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.6237491403489146,1.2845655426648608
43,12,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.264006238188924,1.8561556626726454
44,12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.5867768479477493,1.2664727111484935
45,12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.578176486172412,1.253592244832218
46,12,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.0318576066769616,1.6666249675024987
47,12,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.213575452311425,1.8194175896372942
48,12,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.578761606954401,1.2391367498049497
49,12,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,3.97442332182477,3.2744652296788215
50,12,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.6447516397648188,1.2936859350984968
51,12,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.1545038875343767,1.7514478963155071
52,12,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.6831937267905293,1.3128797128546752
53,12,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.619510139443533,1.266086782521968
54,12,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.6580848832124395,1.3009057309434633
55,12,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.9376598014430968,1.568102467576652
56,12,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.4323683292512788,1.1235092822588406
57,12,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.5236207867915312,1.2004804624514172
58,12,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,2.1268665514794427,1.7449923557180782
59,12,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.5643568711679539,1.2355220044289053
60,12,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.5349737066681928,1.208237255127698
61,12,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.5335897253880681,1.2145692141196787
62,12,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,2.140415314791882,1.7647095130062385
63,12,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.6383755630719252,1.315482562846254
64,13,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.8096981129082654,1.4373039693443619
65,13,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.7035905146458943,1.351846904664626
66,13,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.7801329830165615,1.416087455740765
67,13,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.8453465549142603,1.4702494765714964
68,13,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.8459496684050287,1.4645682040067987
69,13,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.7694967644739221,1.3976200061833195
70,13,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.870049775183961,1.4842718167478972
71,13,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.84030274835571,1.461811707549643
72,13,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.6163981962750504,1.2941698551667469
73,13,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.5526341921745048,1.2367743222614933
74,13,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.8388497753895643,1.4763386720759817
75,13,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.7633797996967542,1.423451937733883
76,13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.7525457162707017,1.3959449531901884
77,13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.6875897267932982,1.3375963022731538
78,13,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.8337921151169752,1.4574147853032773
79,13,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.811823676625333,1.432422801941837
80,13,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.788805739718941,1.4193610453607197
81,13,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.6388450368149294,1.2979671621121738
82,13,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.7527275200466719,1.3928291561465187
83,13,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.814086959983535,1.442966078573935
84,13,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.8150927965240085,1.4367757005657311
85,13,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.732810395364625,1.371235614413759
86,13,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.8494483715873937,1.4669592194335435
87,13,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.857941838552053,1.472766005401458
88,13,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.5300163389602985,1.2217501701776106
89,13,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.4798645333928493,1.1814691314193693
90,13,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.6491214010900372,1.331412718321585
91,13,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,1.6256335113887581,1.304121007802094
92,13,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,1.7166515390329204,1.3667065402974417
93,13,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,1.614966612503526,1.2857821638461004
94,13,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,1.823918936799868,1.4416850204054599
95,13,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,1.7936365069903992,1.4138321223814148
96,14,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.455066846938142,1.147721166082991
97,14,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.410916222835386,1.1160014480193685
98,14,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.1801059815072312,1.745549438466643
99,14,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.1748280079458646,1.7416746904707239
100,14,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.5934010597536035,1.2664617678462657
101,14,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.5860070477699668,1.2631290431882698
102,14,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.6282884364085919,1.28870516802956
103,14,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.604203345509225,1.2715779804291765
104,14,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.4127487416089506,1.1182636738304865
105,14,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.3816716328753227,1.0920039826394197
106,14,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.2595531319156397,1.7628393494520824
107,14,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.1446947316952896,1.6675608105360236
108,14,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.5712905175595329,1.2473905817862974
109,14,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.5243185466615417,1.2013652924900746
110,14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.5782842695336403,1.2551545472857406
111,14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.591231498140573,1.2623503617475027
112,14,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.463639600710338,1.1567061588068677
113,14,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.3965662360820017,1.105129580983487
