,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,75.890763696349,54.50040379001278
1,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,75.52889703302401,53.96716416574549
2,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,76.22008278409521,54.65597000051209
3,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,76.240911772611,54.75983367782018
4,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,76.52056455421916,54.73984291654699
5,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,76.63205573443172,54.8937029897628
6,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,76.49620152172118,54.61990266041123
7,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,76.55320500423555,54.71077056217017
8,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,74.21796501260724,52.994560434025814
9,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,73.83356889824309,52.73041047130244
10,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,76.0287659812774,56.11999459392446
11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,75.12199219120382,54.61274843592259
12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,76.09062384916668,54.18354224024211
13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,76.14868479140267,54.027182972170785
14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,76.53788077820742,55.054130769560714
15,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,76.69052956244781,55.289867405919985
16,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,76.00416017558007,54.581930527417185
17,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,75.98390410203646,54.18826820279546
18,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,76.17694964039013,54.71479166373468
19,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,75.76688974401686,54.40791815193787
20,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,76.68470900405543,54.7567206066459
21,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,77.02615687335127,55.05596880214558
22,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,76.59332695261496,54.518347798422745
23,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,76.44697328192042,54.70472990132454
24,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,74.27364994411352,52.83574402797431
25,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,74.12764117854867,52.430148613643745
26,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,75.68716757375223,55.63636401809308
27,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,74.63517216600111,54.493987304571775
28,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,76.23381001985227,54.250572942670225
29,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,76.55267661363429,55.010780954195155
30,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,76.5074949397511,54.52688931351869
31,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,76.40517612101304,54.13316387270212
32,2,LSTransferTreeBoost,0.05,1,1,0.01,0.5,81.56721374774517,57.242985213696784
33,2,LSTransferTreeBoost,0.05,1,1,0.01,0.9,80.87688927149973,56.27790787747498
34,2,LSTransferTreeBoost,0.05,1,1,0.05,0.5,82.15864396999137,57.92054397646945
35,2,LSTransferTreeBoost,0.05,1,1,0.05,0.9,82.44149281480581,57.6196337000398
36,2,LSTransferTreeBoost,0.05,1,2,0.01,0.5,81.42077900412559,58.25481740755423
37,2,LSTransferTreeBoost,0.05,1,2,0.01,0.9,81.32533472429321,57.92429179955896
38,2,LSTransferTreeBoost,0.05,1,2,0.05,0.5,83.80674182434907,59.24606831107095
39,2,LSTransferTreeBoost,0.05,1,2,0.05,0.9,81.35445919219,58.01383450448389
40,2,LSTransferTreeBoost,0.05,2,1,0.01,0.5,77.0159338622238,54.40428876602778
41,2,LSTransferTreeBoost,0.05,2,1,0.01,0.9,75.9852873558619,53.24774336821935
42,2,LSTransferTreeBoost,0.05,2,1,0.05,0.5,85.20622638333374,64.94959929118038
43,2,LSTransferTreeBoost,0.05,2,1,0.05,0.9,85.43936246114049,66.51062932342033
44,2,LSTransferTreeBoost,0.05,2,2,0.01,0.5,77.595782022593,54.986929535871504
45,2,LSTransferTreeBoost,0.05,2,2,0.01,0.9,77.3672577349319,54.92857830298527
46,2,LSTransferTreeBoost,0.05,2,2,0.05,0.5,82.69540655024771,61.39506066884346
47,2,LSTransferTreeBoost,0.05,2,2,0.05,0.9,82.73780938829043,61.80379500266116
48,2,LSTransferTreeBoost,0.1,1,1,0.01,0.5,81.4201013065699,57.379550205321266
49,2,LSTransferTreeBoost,0.1,1,1,0.01,0.9,80.60036380887608,56.63777587053471
50,2,LSTransferTreeBoost,0.1,1,1,0.05,0.5,82.00580894278345,57.826484978368214
51,2,LSTransferTreeBoost,0.1,1,1,0.05,0.9,81.49055582022055,56.74341767813343
52,2,LSTransferTreeBoost,0.1,1,2,0.01,0.5,81.2431326710615,58.279500508426814
53,2,LSTransferTreeBoost,0.1,1,2,0.01,0.9,81.35558795154584,57.920258361123835
54,2,LSTransferTreeBoost,0.1,1,2,0.05,0.5,81.37152021749591,58.03858323214585
55,2,LSTransferTreeBoost,0.1,1,2,0.05,0.9,81.3018449286335,57.98416445031077
56,2,LSTransferTreeBoost,0.1,2,1,0.01,0.5,76.37684291750448,53.73838987250221
57,2,LSTransferTreeBoost,0.1,2,1,0.01,0.9,75.67613599083747,53.02586785361043
58,2,LSTransferTreeBoost,0.1,2,1,0.05,0.5,82.07107159334747,62.52430711125336
59,2,LSTransferTreeBoost,0.1,2,1,0.05,0.9,79.46692563711589,58.89151985012592
60,2,LSTransferTreeBoost,0.1,2,2,0.01,0.5,77.14335290337463,54.570339462868034
61,2,LSTransferTreeBoost,0.1,2,2,0.01,0.9,76.75361475540535,53.842802816567264
62,2,LSTransferTreeBoost,0.1,2,2,0.05,0.5,80.04782822868533,58.3659479246334
