,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.060772862036422,4.5956240060004765
1,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.048039180474741,4.621221583384985
2,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.056258278966962,4.612352992276072
3,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.068968697803748,4.620543417368956
4,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.06808664644424,4.646828733336336
5,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.035057018936549,4.6288863537904
6,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.072174536832855,4.6269237333218065
7,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.099488398248949,4.6512333790095575
8,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.029779326353945,4.598829251009811
9,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.04239908982608,4.6204478946819805
10,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.035744767513704,4.604545314259751
11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.053319300242231,4.613809091670311
12,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.0709834536981955,4.639190742519259
13,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.050177080334145,4.639167517295197
14,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.088758078746001,4.632111400689149
15,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.100057521713103,4.644876653167948
16,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.022621203882145,4.600238619455904
17,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.0498513452662515,4.640965692115898
18,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.07742205930434,4.621875581495326
19,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.049391126546526,4.603715688218892
20,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.031943107947179,4.624688002613676
21,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.000227149115023,4.64086412768859
22,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.065221721619321,4.6196803843361725
23,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.09199565993746,4.655604079442332
24,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,7.01388156267377,4.608027184376283
25,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,7.033838605548955,4.627886477873815
26,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,7.040094861689779,4.613399508538555
27,1,LSTransferTreeBoost,0.1,2,1,0.05,0.9,7.037363220700367,4.6067020209820235
28,1,LSTransferTreeBoost,0.1,2,2,0.01,0.5,7.030648442204391,4.627101943736402
29,1,LSTransferTreeBoost,0.1,2,2,0.01,0.9,7.053819056293996,4.657874867953051
30,1,LSTransferTreeBoost,0.1,2,2,0.05,0.5,7.112702805919636,4.669667685366386
31,1,LSTransferTreeBoost,0.1,2,2,0.05,0.9,7.0866936410675985,4.637734627983416
32,2,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.135680161009862,4.867863348093684
33,2,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.128025734568451,4.867823410846399
34,2,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.152234666755059,4.881254812153751
35,2,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.150414202372069,4.8725987230107055
36,2,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.14803708499078,4.894501103614439
37,2,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.143547677500982,4.884181024527933
38,2,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.153223301623016,4.88092228596101
39,2,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.157512637787342,4.866050848906581
40,2,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.11834970354328,4.852300091184251
41,2,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.112518701654778,4.857233981974246
42,2,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.1478728455007525,4.8475553874235375
43,2,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.14524063045432,4.837381492106009
44,2,LSTransferTreeBoost,0.05,2,2,0.01,0.5,7.131105419854964,4.865699735870307
45,2,LSTransferTreeBoost,0.05,2,2,0.01,0.9,7.1188376814070615,4.86420085120091
46,2,LSTransferTreeBoost,0.05,2,2,0.05,0.5,7.156057480544807,4.844990381490594
47,2,LSTransferTreeBoost,0.05,2,2,0.05,0.9,7.150006150006974,4.865569278714164
48,2,LSTransferTreeBoost,0.1,1,1,0.01,0.5,7.132010121237096,4.888422056401319
49,2,LSTransferTreeBoost,0.1,1,1,0.01,0.9,7.1199399247872694,4.863239086822437
50,2,LSTransferTreeBoost,0.1,1,1,0.05,0.5,7.137946420110349,4.8770061262977125
51,2,LSTransferTreeBoost,0.1,1,1,0.05,0.9,7.144592728281304,4.867728539561431
52,2,LSTransferTreeBoost,0.1,1,2,0.01,0.5,7.135881682910403,4.912450643463753
53,2,LSTransferTreeBoost,0.1,1,2,0.01,0.9,7.135985865836497,4.897605741694326
54,2,LSTransferTreeBoost,0.1,1,2,0.05,0.5,7.135654302679664,4.896919640490726
55,2,LSTransferTreeBoost,0.1,1,2,0.05,0.9,7.165327926996464,4.880298896902794
