,seed,method,v,target_tree_size,rmse,mae
0,1,xgboost,0.005,1,71.48531140444547,50.87474226896596
1,1,xgboost_naive_transfer,0.005,1,73.34547829569496,54.69448016754899
2,1,xgboost,0.005,2,69.37181597073175,48.576180698553145
3,1,xgboost_naive_transfer,0.005,2,71.93983160623036,53.37388199194911
4,1,xgboost,0.005,3,70.5782961699902,49.37052347773521
5,1,xgboost_naive_transfer,0.005,3,71.30801586876137,53.00970172388534
6,1,xgboost,0.005,4,71.69237360818543,50.15636968734365
7,1,xgboost_naive_transfer,0.005,4,71.3097917771197,52.850193279428986
8,1,xgboost,0.005,5,72.46221023812024,50.9928381576361
9,1,xgboost_naive_transfer,0.005,5,71.42253250270878,52.98469673823971
10,1,xgboost,0.005,6,74.03684819829266,51.770328657634
11,1,xgboost_naive_transfer,0.005,6,72.12463217926896,53.07572432984921
12,1,xgboost,0.005,7,73.85932746234153,51.73019994723104
13,1,xgboost_naive_transfer,0.005,7,73.14315893030162,53.516972455632335
14,1,xgboost,0.01,1,69.42774210367577,48.2486688967603
15,1,xgboost_naive_transfer,0.01,1,72.64129865226137,54.05034204696737
16,1,xgboost,0.01,2,69.18509556466881,48.320613812912484
17,1,xgboost_naive_transfer,0.01,2,71.95412690279466,53.292167234075634
18,1,xgboost,0.01,3,70.35826472759189,49.01250725052287
19,1,xgboost_naive_transfer,0.01,3,71.24526233543926,52.89186567092867
20,1,xgboost,0.01,4,71.69819815583867,50.09082408967242
21,1,xgboost_naive_transfer,0.01,4,71.36608534710847,52.87294403546942
22,1,xgboost,0.01,5,72.35988096514052,50.83965857640785
23,1,xgboost_naive_transfer,0.01,5,71.45179271731486,52.90562204653632
24,1,xgboost,0.01,6,74.24861305577473,52.02068561512424
25,1,xgboost_naive_transfer,0.01,6,72.10133952231853,52.99810825349562
26,1,xgboost,0.01,7,73.80577524465943,51.806515308328166
27,1,xgboost_naive_transfer,0.01,7,73.03300637872391,53.476776615447505
28,1,xgboost,0.02,1,69.18687206664983,47.91141442292086
29,1,xgboost_naive_transfer,0.02,1,72.68589734304283,54.01058377007925
30,1,xgboost,0.02,2,69.15479271601588,48.3270507543856
31,1,xgboost_naive_transfer,0.02,2,71.89376167875798,53.24085902962157
32,1,xgboost,0.02,3,70.47435314635904,49.04274189575825
33,1,xgboost_naive_transfer,0.02,3,71.39308404792125,52.80047164140985
34,1,xgboost,0.02,4,71.51302950440578,50.023074540907146
35,1,xgboost_naive_transfer,0.02,4,71.34980868070694,52.690269485625066
36,1,xgboost,0.02,5,72.40332532635988,51.11786038602315
37,1,xgboost_naive_transfer,0.02,5,71.42449403337893,52.80835977421865
38,1,xgboost,0.02,6,74.2367032099922,51.65608719680178
39,1,xgboost_naive_transfer,0.02,6,72.08991835364182,52.87117381088618
40,1,xgboost,0.02,7,74.25838671222229,51.96896944314447
41,1,xgboost_naive_transfer,0.02,7,73.20590428092176,53.60047298764082
42,1,xgboost,0.03,1,69.20725199055835,47.87297904052394
43,1,xgboost_naive_transfer,0.03,1,72.69002074217131,54.000246373276454
44,1,xgboost,0.03,2,69.00028039889507,48.18117979496116
45,1,xgboost_naive_transfer,0.03,2,72.04092869474638,53.20149987837152
46,1,xgboost,0.03,3,70.26349829133626,48.85313778609401
47,1,xgboost_naive_transfer,0.03,3,71.51092475131065,52.90873217836744
48,1,xgboost,0.03,4,71.57545684216643,49.96850416501903
49,1,xgboost_naive_transfer,0.03,4,71.47783447651024,52.84002203684948
50,1,xgboost,0.03,5,72.41866437481747,51.09026670769321
51,1,xgboost_naive_transfer,0.03,5,71.83499711039866,52.820784660895285
52,1,xgboost,0.03,6,74.2963550790113,51.93489606921455
53,1,xgboost_naive_transfer,0.03,6,72.46559304533828,53.09507775231894
54,1,xgboost,0.03,7,73.89675705770554,51.749827939101756
55,1,xgboost_naive_transfer,0.03,7,73.34035040841059,53.54661016639141
56,1,xgboost,0.05,1,69.20585172740618,47.89969705451255
57,1,xgboost_naive_transfer,0.05,1,73.01526428037857,54.303117555915
58,1,xgboost,0.05,2,69.12111750856103,48.230782191021355
59,1,xgboost_naive_transfer,0.05,2,72.19991324107967,53.2635279693431
60,1,xgboost,0.05,3,70.75199653093534,49.09642294318075
61,1,xgboost_naive_transfer,0.05,3,71.81516025984853,52.94409947668449
62,1,xgboost,0.05,4,71.78090928136213,50.050277454012885
63,1,xgboost_naive_transfer,0.05,4,71.68847410198207,52.71283726464548
64,1,xgboost,0.05,5,72.17210001424121,50.8009207115245
65,1,xgboost_naive_transfer,0.05,5,72.13275714766809,52.95774650705481
66,1,xgboost,0.05,6,73.84706950154536,51.41851685838617
67,1,xgboost_naive_transfer,0.05,6,72.42852759654386,53.15240727464828
68,1,xgboost,0.05,7,74.0048426154583,51.5536148689687
69,1,xgboost_naive_transfer,0.05,7,73.13622295342415,53.44841732353001
70,1,xgboost,0.08,1,69.19011809227386,47.904317909517566
71,1,xgboost_naive_transfer,0.08,1,72.8372600114999,54.148518725184694
72,1,xgboost,0.08,2,69.02254489046742,48.00768180836173
73,1,xgboost_naive_transfer,0.08,2,72.26805047962168,53.28212552083926
74,1,xgboost,0.08,3,70.7812291981762,48.96126701483251
75,1,xgboost_naive_transfer,0.08,3,71.63681024447841,52.738890725613125
