,seed,method,v,target_tree_size,rmse,mae
0,1,xgboost,0.005,1,7.194693692013813,4.821982899768535
1,1,xgboost_naive_transfer,0.005,1,7.555526977034113,5.484174260030009
2,1,xgboost,0.005,2,7.079690466807943,4.7697270700030145
3,1,xgboost_naive_transfer,0.005,2,7.5427470092909426,5.455732523163523
4,1,xgboost,0.005,3,7.2246645280504005,4.8568277107460744
5,1,xgboost_naive_transfer,0.005,3,7.474277029632567,5.415376000723324
6,1,xgboost,0.005,4,7.487867969182709,5.022004474497095
7,1,xgboost_naive_transfer,0.005,4,7.422137919714847,5.381927256821429
8,1,xgboost,0.005,5,7.989616393040542,5.2401946239921084
9,1,xgboost_naive_transfer,0.005,5,7.418344332052253,5.3591592188396975
10,1,xgboost,0.005,6,8.316993341724388,5.487051800823683
11,1,xgboost_naive_transfer,0.005,6,7.423436800805205,5.340838480005908
12,1,xgboost,0.005,7,8.44508132199362,5.578710855674276
13,1,xgboost_naive_transfer,0.005,7,7.481331226954566,5.375058360356752
14,1,xgboost,0.01,1,6.9882704686594685,4.6782045587936
15,1,xgboost_naive_transfer,0.01,1,7.4944746968856295,5.466293425367456
16,1,xgboost,0.01,2,7.080402554285492,4.7714497384621035
17,1,xgboost_naive_transfer,0.01,2,7.541739423557889,5.4562636617273625
18,1,xgboost,0.01,3,7.249940456724937,4.8698289833630355
19,1,xgboost_naive_transfer,0.01,3,7.472197725642031,5.4168592758918885
20,1,xgboost,0.01,4,7.482991391759401,5.012232857803473
21,1,xgboost_naive_transfer,0.01,4,7.425416153154382,5.386569982446453
22,1,xgboost,0.01,5,7.961194845146336,5.255575311582046
23,1,xgboost_naive_transfer,0.01,5,7.419298235211584,5.360080168582467
24,1,xgboost,0.01,6,8.328114692609972,5.461407497677619
25,1,xgboost_naive_transfer,0.01,6,7.414724779685784,5.335155738267771
26,1,xgboost,0.01,7,8.424387741933883,5.533113985306327
27,1,xgboost_naive_transfer,0.01,7,7.475824787863995,5.3663145885067065
28,1,xgboost,0.02,1,6.970372919435985,4.666265561332687
29,1,xgboost_naive_transfer,0.02,1,7.529822105882448,5.477006429597056
30,1,xgboost,0.02,2,7.08115841900037,4.77027804122814
31,1,xgboost_naive_transfer,0.02,2,7.49691192443365,5.4493997050080685
32,1,xgboost,0.02,3,7.200400963944318,4.839417532837922
33,1,xgboost_naive_transfer,0.02,3,7.468582755764098,5.414819248499889
34,1,xgboost,0.02,4,7.461607927686648,4.999469013921129
35,1,xgboost_naive_transfer,0.02,4,7.427432162515491,5.390220380053444
36,1,xgboost,0.02,5,7.964435522096677,5.223993304659424
37,1,xgboost_naive_transfer,0.02,5,7.418017991204723,5.358366638372398
