,seed,method,d,v,target_tree_size,rmse,mae
0,11,xgboost,3,0.005,1,2.097043419352412,1.6804954547323927
1,11,xgboost_naive_transfer,3,0.005,1,3.611876852503924,2.934702361693885
2,11,xgboost,3,0.005,2,1.592725784354179,1.2608514584119488
3,11,xgboost_naive_transfer,3,0.005,2,3.02321959812878,2.4979015920753778
4,11,xgboost,3,0.005,3,1.5314277353342014,1.2016251612111473
5,11,xgboost_naive_transfer,3,0.005,3,2.358003244851329,1.9927878424995034
6,11,xgboost,3,0.005,4,1.6247021755885642,1.262515813864137
7,11,xgboost_naive_transfer,3,0.005,4,2.1338211942042107,1.7691897265462873
8,11,xgboost,3,0.005,5,1.7624185525836864,1.3617439743932005
9,11,xgboost_naive_transfer,3,0.005,5,2.0600758196481626,1.6864025782964773
10,11,xgboost,3,0.005,6,1.927482211661639,1.5237351144474198
11,11,xgboost_naive_transfer,3,0.005,6,2.0676068367737193,1.6988306628855936
12,11,xgboost,3,0.005,7,2.115340553259133,1.6707752693088425
13,11,xgboost_naive_transfer,3,0.005,7,2.130179144761938,1.7490826947881215
14,11,xgboost,3,0.01,1,1.5928165342844722,1.2658272798291879
15,11,xgboost_naive_transfer,3,0.01,1,3.2217469325256634,2.6484487692917114
16,11,xgboost,3,0.01,2,1.4383168990590534,1.1189729375604416
17,11,xgboost_naive_transfer,3,0.01,2,2.1359256801238793,1.7641580351775266
18,11,xgboost,3,0.01,3,1.5025276371247327,1.1785942725094387
19,11,xgboost_naive_transfer,3,0.01,3,1.9561133202445748,1.5690824442268836
20,11,xgboost,3,0.01,4,1.6228974060691876,1.2625054044519002
21,11,xgboost_naive_transfer,3,0.01,4,1.9413105308805578,1.553537977672246
22,11,xgboost,3,0.01,5,1.7553647680549473,1.3582301540339403
23,11,xgboost_naive_transfer,3,0.01,5,1.9761260123293556,1.6044609005556907
24,11,xgboost,3,0.01,6,1.9407626075774653,1.5312999296138616
25,11,xgboost_naive_transfer,3,0.01,6,2.0196431775114694,1.6440617941968299
26,11,xgboost,3,0.01,7,2.1043891216417157,1.6687412512900093
27,11,xgboost_naive_transfer,3,0.01,7,2.100924321911273,1.7277500437624922
28,11,xgboost,3,0.02,1,1.3722597973930957,1.0762383743163733
29,11,xgboost_naive_transfer,3,0.02,1,2.3559183522356846,1.9455958165816531
30,11,xgboost,3,0.02,2,1.4415109825032602,1.1228754463808444
31,11,xgboost_naive_transfer,3,0.02,2,1.9078082566380161,1.5041588744220418
32,11,xgboost,3,0.02,3,1.4957619334748002,1.169198187899163
33,11,xgboost_naive_transfer,3,0.02,3,1.9190653927935888,1.523551073339368
34,11,xgboost,3,0.02,4,1.6325647759698136,1.2698423917558503
35,11,xgboost_naive_transfer,3,0.02,4,1.9569172443327525,1.5678480392570828
36,11,xgboost,3,0.02,5,1.7472530809841622,1.3541855024305105
37,11,xgboost_naive_transfer,3,0.02,5,1.9720316680773444,1.594227379484423
38,11,xgboost,3,0.02,6,1.942460658645421,1.523638543374425
39,11,xgboost_naive_transfer,3,0.02,6,2.0024655755260503,1.6231051486388173
40,11,xgboost,3,0.02,7,2.094291536317025,1.6592376550545964
41,11,xgboost_naive_transfer,3,0.02,7,2.1150484635322524,1.7375521515233936
42,11,xgboost,3,0.03,1,1.3718667432944043,1.0761500587547952
43,11,xgboost_naive_transfer,3,0.03,1,2.165110210972981,1.7676294489400262
44,11,xgboost,3,0.03,2,1.4391563172137345,1.1171670799517102
45,11,xgboost_naive_transfer,3,0.03,2,1.9008187934027019,1.4975330229537858
46,11,xgboost,3,0.03,3,1.5219050567781518,1.193825117320729
47,11,xgboost_naive_transfer,3,0.03,3,1.9242121685948563,1.532258421064837
48,11,xgboost,3,0.03,4,1.6091956183312086,1.2535165220940538
49,11,xgboost_naive_transfer,3,0.03,4,1.945111210584735,1.5539760864682974
50,11,xgboost,3,0.03,5,1.7389554922496453,1.3550504006354744
51,11,xgboost_naive_transfer,3,0.03,5,1.9778610181867164,1.5974155130912548
52,11,xgboost,3,0.03,6,1.9229343327525825,1.5163287091034883
53,11,xgboost_naive_transfer,3,0.03,6,2.0165937672223087,1.6456240845695007
54,11,xgboost,3,0.03,7,2.0979361853074385,1.6594276884290593
55,11,xgboost_naive_transfer,3,0.03,7,2.0867554127263843,1.7037423443443016
56,11,xgboost,3,0.05,1,1.371897990991511,1.0758164073184557
57,11,xgboost_naive_transfer,3,0.05,1,2.132239303949051,1.7308491024352268
58,11,xgboost,3,0.05,2,1.4442166347562706,1.1256806058213387
59,11,xgboost_naive_transfer,3,0.05,2,1.8958640705863232,1.493908723708688
60,11,xgboost,3,0.05,3,1.5326382934834544,1.1931566368565207
61,11,xgboost_naive_transfer,3,0.05,3,1.9199868918860217,1.5288358305402543
62,11,xgboost,3,0.05,4,1.5988614164228843,1.2385387168897204
63,11,xgboost_naive_transfer,3,0.05,4,1.9379855513900621,1.5439959008961377
64,11,xgboost,3,0.05,5,1.7391620274721313,1.3575990065261325
65,11,xgboost_naive_transfer,3,0.05,5,1.984898542029466,1.6054457155708666
66,11,xgboost,3,0.05,6,1.8927428265025514,1.4961048198373263
67,11,xgboost_naive_transfer,3,0.05,6,2.031387706342595,1.6573005499037607
68,11,xgboost,3,0.05,7,2.0921862555777215,1.643233945059266
69,11,xgboost_naive_transfer,3,0.05,7,2.0894428104922063,1.7157307261047865
70,11,xgboost,3,0.08,1,1.3840478964759357,1.086819212690651
71,11,xgboost_naive_transfer,3,0.08,1,2.126672618968474,1.72452663828522
72,11,xgboost,3,0.08,2,1.3895320056447082,1.0828143567687243
73,11,xgboost_naive_transfer,3,0.08,2,1.9205848081039387,1.5252220842796926
74,11,xgboost,3,0.08,3,1.4896069162172119,1.1644870186529201
75,11,xgboost_naive_transfer,3,0.08,3,1.9324460601388032,1.5341907083585689
76,11,xgboost,3,0.08,4,1.6271110361615553,1.2738339264624328
