,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs,method
0,1,1,2.572735185062457,2.054318875478568,1,4,0.1,0.97,400,LSTransferTreeBoost
1,1,1,1.9165851154666584,1.5207863530492094,1,4,0.1,0.97,400,LADTransferTreeBoost
2,1,1,2.8711249857629664,2.2706547630215344,1,4,0.1,0.97,400,MTransferTreeBoost
3,1,1,1.5444163891128664,1.2235926864515616,4,1,0.1,0.97,100,LSTransferTreeBoost
4,1,1,1.702547193149855,1.3308696015147297,4,1,0.1,0.97,100,LADTransferTreeBoost
5,1,1,2.1537495710513284,1.6536083325678976,4,1,0.1,0.97,100,MTransferTreeBoost
6,1,1,1.7645148079350312,1.4074043971931633,2,3,0.05,0.95,100,LSTransferTreeBoost
7,1,1,1.7936960383479348,1.4322514319573416,2,3,0.05,0.95,100,LADTransferTreeBoost
8,1,1,1.908742245078879,1.509694163871957,2,3,0.05,0.95,100,MTransferTreeBoost
9,1,1,2.557663739031458,2.0323566218638867,4,2,0.15,0.99,400,LSTransferTreeBoost
10,1,1,2.047223578783722,1.4816493389593488,4,2,0.15,0.99,400,LADTransferTreeBoost
11,1,1,3.9181302746439397,3.117529821429342,4,2,0.15,0.99,400,MTransferTreeBoost
