,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,alpha,decay,decay_factor,epochs,method
0,1,1,2.142434389327808,1.7008182160272396,2,1,0.02,1.0,True,1.0,1000,LSTransferTreeBoost
1,1,1,2.1605706139280287,1.7184668870464457,2,1,0.02,1.0,True,0.99,1000,LSTransferTreeBoost
2,1,1,2.1979404234231157,1.7523386616337953,2,1,0.02,1.0,True,0.97,1000,LSTransferTreeBoost
3,1,1,2.1110784434512007,1.6799546441458184,2,1,0.03,1.0,True,1.0,1000,LSTransferTreeBoost
4,1,1,2.2097426322186595,1.756348026019161,2,1,0.03,1.0,True,0.99,1000,LSTransferTreeBoost
5,1,1,2.216599643144108,1.765422179957419,2,1,0.03,1.0,True,0.97,1000,LSTransferTreeBoost
6,1,1,2.1545182394199034,1.7152483518796502,2,1,0.04,1.0,True,1.0,1000,LSTransferTreeBoost
7,1,1,2.1642143045131617,1.7148429251668131,2,1,0.04,1.0,True,0.99,1000,LSTransferTreeBoost
8,1,1,2.205553135253851,1.7557943631004778,2,1,0.04,1.0,True,0.97,1000,LSTransferTreeBoost
9,2,1,1.6661553413567325,1.3228952514726542,2,1,0.02,1.0,True,1.0,1000,LSTransferTreeBoost
