,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,alpha,epochs,method
0,1,1,2.4971593583055887,2.0162410934547346,1,1,0.05,0.5,100,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 1))"
1,1,1,2.1464105000119744,1.7373578651787656,1,2,0.05,0.5,100,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
2,1,1,2.458729119240865,1.9304758452663042,2,1,0.05,0.5,100,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
3,1,1,2.152823454001912,1.687445325233246,2,2,0.05,0.5,100,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
4,1,1,1.9229306180531838,1.5483651526560993,1,1,0.05,0.5,200,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 1))"
5,1,1,1.6911043257681178,1.3613977721481685,1,2,0.05,0.5,200,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
6,1,1,1.9789050984594163,1.5066398555749803,2,1,0.05,0.5,200,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
7,1,1,1.8091081583389468,1.3718575161209654,2,2,0.05,0.5,200,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
8,1,1,1.6997116038560076,1.3653138231999145,1,1,0.05,0.5,300,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 1))"
9,1,1,1.5415754049543366,1.235248013377959,1,2,0.05,0.5,300,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
10,1,1,1.8246345815025484,1.3664407040062543,2,1,0.05,0.5,300,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
11,1,1,1.711114451496554,1.2856908133185985,2,2,0.05,0.5,300,"LSTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
12,1,1,1.620360985034705,1.2973098114073953,1,1,0.05,0.5,400,"LSTransferTreeBoost (alpha = 0.5, s,t = (1, 1))"
