,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,method
0,1,1,1.3146196115657063,1.031470118442485,1,1,0.05,0.993,1.0,1000,Baseline (XGBoost)
1,1,1,1.3132809446934246,1.033867401887254,1,2,0.05,0.993,1.0,1000,Baseline (XGBoost)
2,1,1,1.4083827071797113,1.112662625274885,1,3,0.05,0.993,1.0,1000,Baseline (XGBoost)
3,1,1,1.5719071692546693,1.2328763587545815,1,4,0.05,0.993,1.0,1000,Baseline (XGBoost)
4,1,1,1.292049698567314,1.0116295492702143,1,1,0.1,0.993,1.0,1000,Baseline (XGBoost)
5,1,1,1.297545625461753,1.016867605317747,1,2,0.1,0.993,1.0,1000,Baseline (XGBoost)
6,1,1,1.4614324924450122,1.1458294575018404,1,3,0.1,0.993,1.0,1000,Baseline (XGBoost)
7,1,1,1.5851140469752385,1.243146957660766,1,4,0.1,0.993,1.0,1000,Baseline (XGBoost)
8,1,1,1.3065271172583806,1.023075512705942,1,1,0.15,0.993,1.0,1000,Baseline (XGBoost)
9,1,1,1.3013797605607784,1.0290770922240977,1,2,0.15,0.993,1.0,1000,Baseline (XGBoost)
10,1,1,1.43101402417252,1.1077627934763992,1,3,0.15,0.993,1.0,1000,Baseline (XGBoost)
11,1,1,1.630771213068381,1.2832913015006606,1,4,0.15,0.993,1.0,1000,Baseline (XGBoost)
12,1,1,1.2997711929686566,1.017887071176566,1,1,0.2,0.993,1.0,1000,Baseline (XGBoost)
13,1,1,1.3488824477040178,1.0595140562055403,1,2,0.2,0.993,1.0,1000,Baseline (XGBoost)
14,1,1,1.515026914732132,1.1829698847188201,1,3,0.2,0.993,1.0,1000,Baseline (XGBoost)
15,1,1,1.6903760603586682,1.3390445525979893,1,4,0.2,0.993,1.0,1000,Baseline (XGBoost)
16,2,1,1.4093976336525298,1.1072778771517178,1,1,0.05,0.993,1.0,1000,Baseline (XGBoost)
17,2,1,1.3977280415817903,1.1140178988004552,1,2,0.05,0.993,1.0,1000,Baseline (XGBoost)
18,2,1,1.5126155995004458,1.1900029341011595,1,3,0.05,0.993,1.0,1000,Baseline (XGBoost)
19,2,1,1.6298320742134391,1.295858146992122,1,4,0.05,0.993,1.0,1000,Baseline (XGBoost)
20,2,1,1.386139004971526,1.0871668431257666,1,1,0.1,0.993,1.0,1000,Baseline (XGBoost)
21,2,1,1.3734430921935676,1.0856914096373527,1,2,0.1,0.993,1.0,1000,Baseline (XGBoost)
22,2,1,1.504894391209433,1.1845544978366698,1,3,0.1,0.993,1.0,1000,Baseline (XGBoost)
23,2,1,1.6848508854465365,1.344535121924233,1,4,0.1,0.993,1.0,1000,Baseline (XGBoost)
