,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,alpha_0,epochs,method
0,1,1,1.2779491827372769,1.0134616899490445,1,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
1,1,1,1.150112616886639,0.8925427359999601,1,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
2,1,1,1.1700099209921788,0.9338662819810288,2,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
3,1,1,1.1266170662821302,0.8754663203338445,2,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
4,1,1,1.2616870405190388,0.9974342098833054,1,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
5,1,1,1.1864196260067192,0.9205203250728117,1,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
6,1,1,1.1059668069403428,0.8794094465698229,2,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
7,1,1,1.0999479379108132,0.8549480209058304,2,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
8,1,1,1.2637815893624147,0.9996431265955282,1,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
9,1,1,1.147999072768942,0.8846682359861119,1,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
10,1,1,1.1239874595839745,0.9024663268043038,2,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
11,1,1,1.1342414699787384,0.8788633572409892,2,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
12,1,1,1.2173740910502087,0.9551307734896364,1,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
13,1,1,1.1536690910786669,0.8940756537919331,1,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
14,1,1,1.1086141897285302,0.867449169346932,2,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
15,1,1,1.0775263615807222,0.841105456544941,2,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
16,2,1,1.2907092693231113,1.0286497919307334,1,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
17,2,1,1.1395700028199924,0.9047153296790065,1,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
18,2,1,1.2544124997280888,1.0037673764047457,2,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
19,2,1,1.1499323935205519,0.9231053045751338,2,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
20,2,1,1.25987830261697,1.0067794158148724,1,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
21,2,1,1.147292416778512,0.9167469193069699,1,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
22,2,1,1.2439070821137292,0.9968456305541952,2,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
23,2,1,1.1565856780493553,0.9268962235888065,2,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
24,2,1,1.20468800647982,0.9628813446120404,1,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
25,2,1,1.135439561691563,0.9005331774776774,1,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
26,2,1,1.2038198045272246,0.9642523998108007,2,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
27,2,1,1.1592960911687282,0.9298214799572102,2,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
28,2,1,1.2181398766650655,0.9721213363799325,1,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
29,2,1,1.148685217686661,0.9140858584103349,1,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
30,2,1,1.258357853879406,1.0070133144923197,2,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
31,2,1,1.1407908508686389,0.9157258560160422,2,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
32,3,1,1.1546340452631345,0.9123394886805275,1,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
33,3,1,1.0807978606662867,0.8545651272657173,1,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
34,3,1,1.1231286130092597,0.887790193407319,2,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
35,3,1,1.095556043609323,0.873803858304888,2,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
36,3,1,1.1519706270838928,0.910763021379107,1,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
37,3,1,1.0974069037787915,0.8696019566440566,1,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
38,3,1,1.1247270728294323,0.8887376181195834,2,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
39,3,1,1.0586092976726655,0.836009973248699,2,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
40,3,1,1.1444722438960921,0.902272437398127,1,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
41,3,1,1.1115416159657803,0.8857385662667079,1,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
42,3,1,1.1201142974328668,0.8844733192354286,2,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
43,3,1,1.0700788615881967,0.8514080525034354,2,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
44,3,1,1.1527269048988127,0.9110386571999994,1,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
45,3,1,1.105048678486246,0.8745455227948907,1,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
46,3,1,1.1377359319268745,0.8992137405124441,2,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
47,3,1,1.083522066520315,0.860258421751083,2,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
48,4,1,1.1611021051307808,0.9210915002931265,1,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
49,4,1,1.1615394189953165,0.9265306776365743,1,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
50,4,1,1.1184888667998003,0.8928970628353855,2,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
51,4,1,1.0667726551980372,0.8534810147520352,2,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
52,4,1,1.1622726912972652,0.9212156930207062,1,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
53,4,1,1.1106006008053373,0.8922507107405717,1,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
54,4,1,1.117690062969633,0.8925204796583605,2,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
55,4,1,1.0907277706266258,0.8698269474769013,2,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
56,4,1,1.137345047597815,0.9053658037574421,1,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
57,4,1,1.1214269839494895,0.8957817929650491,1,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
58,4,1,1.1180296978514226,0.8920820621425279,2,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
59,4,1,1.0698706222647614,0.8531822905407636,2,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
60,4,1,1.1534909297383757,0.9149339661638101,1,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
61,4,1,1.113735714196123,0.8880492157440638,1,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
62,4,1,1.1299083499092573,0.9004582874432349,2,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
63,4,1,1.0504549550301003,0.8404851933768155,2,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
64,5,1,1.198465239927641,0.9470818285387134,1,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
65,5,1,1.1723484631868484,0.9415490552618587,1,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
66,5,1,1.1539820079915974,0.9133982903309087,2,1,0.05,1.0,0.5,1000,LSTransferTreeBoost
67,5,1,1.121916521705053,0.9021796991445153,2,2,0.05,1.0,0.5,1000,LSTransferTreeBoost
68,5,1,1.1824288870721964,0.936072598249787,1,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
69,5,1,1.1494280781708968,0.9241724060143554,1,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
70,5,1,1.1578887487420295,0.913212912505563,2,1,0.1,1.0,0.5,1000,LSTransferTreeBoost
71,5,1,1.1284636470099185,0.9100710505035872,2,2,0.1,1.0,0.5,1000,LSTransferTreeBoost
72,5,1,1.2009573472670154,0.9493886008057593,1,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
73,5,1,1.1529712073132894,0.9238674995722258,1,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
74,5,1,1.1414864196982966,0.9033034954578943,2,1,0.15,1.0,0.5,1000,LSTransferTreeBoost
75,5,1,1.1194271311805422,0.9009709326553409,2,2,0.15,1.0,0.5,1000,LSTransferTreeBoost
76,5,1,1.1662000729409578,0.9239508341034968,1,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
77,5,1,1.1610901392072714,0.9279430207119382,1,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
78,5,1,1.127099747398947,0.8884690168189641,2,1,0.2,1.0,0.5,1000,LSTransferTreeBoost
79,5,1,1.1371071470529142,0.9146459627926891,2,2,0.2,1.0,0.5,1000,LSTransferTreeBoost
