,seed,disturbance_level,rmse,mae,target_tree_size,v,epochs,method
0,1,1,2.3454078175137814,1.8733088792231642,1,0.005,1000,Baseline (XGBoost)
1,1,1,2.102505892972094,1.679286418174504,2,0.005,1000,Baseline (XGBoost)
2,1,1,2.3141396413617095,1.8499194553930345,3,0.005,1000,Baseline (XGBoost)
3,1,1,2.374047725026535,1.8955583480395777,4,0.005,1000,Baseline (XGBoost)
4,1,1,2.3985122958411877,1.9219678440188255,5,0.005,1000,Baseline (XGBoost)
5,1,1,2.089807118001639,1.6518055334258424,1,0.01,1000,Baseline (XGBoost)
6,1,1,2.053624143430989,1.6383576956772106,2,0.01,1000,Baseline (XGBoost)
7,1,1,2.29215243779715,1.830687934469017,3,0.01,1000,Baseline (XGBoost)
8,1,1,2.372556666562644,1.8949812684028,4,0.01,1000,Baseline (XGBoost)
9,1,1,2.428294973405768,1.9449351330086038,5,0.01,1000,Baseline (XGBoost)
10,1,1,2.05078804636983,1.615607345080961,1,0.02,1000,Baseline (XGBoost)
11,1,1,2.048555626047101,1.6334103338721133,2,0.02,1000,Baseline (XGBoost)
12,1,1,2.238408285236944,1.7955936727792383,3,0.02,1000,Baseline (XGBoost)
13,1,1,2.314747767663337,1.856662293921206,4,0.02,1000,Baseline (XGBoost)
14,1,1,2.4047402043760586,1.9323351398287154,5,0.02,1000,Baseline (XGBoost)
15,1,1,2.0783130713438944,1.6412990784488348,1,0.03,1000,Baseline (XGBoost)
16,1,1,2.0987338761368606,1.6739019154697996,2,0.03,1000,Baseline (XGBoost)
17,1,1,2.2515249068548213,1.798574132615318,3,0.03,1000,Baseline (XGBoost)
18,1,1,2.370484004501151,1.8894370843051296,4,0.03,1000,Baseline (XGBoost)
19,1,1,2.4323150188452156,1.9556671105203232,5,0.03,1000,Baseline (XGBoost)
20,1,1,2.0206412905824274,1.5858437861672119,1,0.05,1000,Baseline (XGBoost)
21,1,1,2.0565240260052478,1.6394571278683912,2,0.05,1000,Baseline (XGBoost)
22,1,1,2.2365374604238895,1.7866748028064072,3,0.05,1000,Baseline (XGBoost)
23,1,1,2.3327028161321026,1.8593786069770821,4,0.05,1000,Baseline (XGBoost)
24,1,1,2.439768014615254,1.961521918315264,5,0.05,1000,Baseline (XGBoost)
25,1,1,2.0669425336495717,1.6297979886675662,1,0.08,1000,Baseline (XGBoost)
26,1,1,2.078025102977552,1.6529651325162107,2,0.08,1000,Baseline (XGBoost)
27,1,1,2.2884375058829582,1.8429794700256283,3,0.08,1000,Baseline (XGBoost)
28,1,1,2.3460297797140623,1.8736820935429006,4,0.08,1000,Baseline (XGBoost)
