,seed,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,7.045875011090264,4.5989182896842955
1,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,7.040002764860688,4.586758274174081
2,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,7.0976089160526135,4.617227907644893
3,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,7.053208078991949,4.597143091799192
4,1,LSTransferTreeBoost,0.05,1,1,0.1,0.5,7.089075835020611,4.607259025815651
5,1,LSTransferTreeBoost,0.05,1,1,0.1,0.9,7.075998779521877,4.6010997194694205
6,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,7.072666242561832,4.631719827823075
7,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,7.037054054182568,4.582197347454757
8,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,7.034435102497692,4.590529133567921
9,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,7.049996625961377,4.596879839164154
10,1,LSTransferTreeBoost,0.05,1,2,0.1,0.5,7.087466236090934,4.662048604530081
11,1,LSTransferTreeBoost,0.05,1,2,0.1,0.9,7.085497397053879,4.648512399126953
12,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,7.054899213182616,4.562208580653755
13,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,7.02298416674892,4.556963986224762
14,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,7.091326581978987,4.586733379173062
15,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,7.040433648993406,4.552609373901326
16,1,LSTransferTreeBoost,0.05,2,1,0.1,0.5,7.0528337043532785,4.603035425373976
