,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs,method
0,1,1,5.076554622587801,3.9097727891766603,2,3,0.1,0.95,100,LSTransferTreeBoost
1,1,1,2.8410360856802286,2.29947877353515,2,3,0.1,0.95,100,LADTransferTreeBoost
2,1,1,3.0477859440734134,2.4511795713163593,2,3,0.1,0.95,100,MTransferTreeBoost
3,1,1,4.310243508484016,3.462775184479925,2,1,0.05,0.9,100,LSTransferTreeBoost
4,1,1,3.814015772345768,3.0764076683553916,2,1,0.05,0.9,100,LADTransferTreeBoost
5,1,1,3.1853403744347153,2.5661561509235753,2,1,0.05,0.9,100,MTransferTreeBoost
6,1,1,5.808650476409643,4.623934570736176,3,3,0.05,0.9,200,LSTransferTreeBoost
7,1,1,4.201129492526002,3.468072253070293,3,3,0.05,0.9,200,LADTransferTreeBoost
8,1,1,3.0322870724072772,2.435846485488139,3,3,0.05,0.9,200,MTransferTreeBoost
9,1,1,5.072507717046312,3.921841446855273,2,2,0.05,0.95,200,LSTransferTreeBoost
10,1,1,2.978721281043294,2.417607493389255,2,2,0.05,0.95,200,LADTransferTreeBoost
11,1,1,3.0966603410430613,2.48764326727579,2,2,0.05,0.95,200,MTransferTreeBoost
12,1,1,4.775782634379694,3.7157497351704434,1,2,0.05,0.97,200,LSTransferTreeBoost
13,1,1,3.0970883070469575,2.488930751155953,1,2,0.05,0.97,200,LADTransferTreeBoost
14,1,1,3.3541395758436034,2.6971828721947646,1,2,0.05,0.97,200,MTransferTreeBoost
15,1,1,5.19328024807067,3.605513894675259,3,3,0.1,0.99,100,LSTransferTreeBoost
16,1,1,2.534700961965983,2.0030721322255927,3,3,0.1,0.99,100,LADTransferTreeBoost
17,1,1,2.65644871825185,2.1305725520856176,3,3,0.1,0.99,100,MTransferTreeBoost
18,1,1,5.135687498301737,3.9665525760406033,2,2,0.1,0.9,100,LSTransferTreeBoost
19,1,1,2.9272425508472484,2.3726210224493256,2,2,0.1,0.9,100,LADTransferTreeBoost
20,1,1,3.0111788290679735,2.413156414605553,2,2,0.1,0.9,100,MTransferTreeBoost
21,1,1,5.427111677081655,4.132196665605114,3,1,0.1,0.99,300,LSTransferTreeBoost
