,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,alpha,epochs,method
0,1,1,1.8590302187704224,1.4696588759141263,2,2,0.05,0.7,100,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
1,1,1,2.026020774058434,1.6114068717561838,2,2,0.05,0.7,100,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
2,1,1,1.9624013067132864,1.5601681059254102,2,2,0.05,0.7,100,"LADTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
3,1,1,1.6481572452550821,1.305601566335979,2,2,0.05,0.7,100,"LADTransferTreeBoost (beta = 0.5, s,t = (3, 1))"
4,1,1,1.4364431178744945,1.1292878435961808,2,2,0.05,0.7,200,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
5,1,1,1.5662572380340263,1.2440436214407997,2,2,0.05,0.7,200,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
6,1,1,1.4872830086312936,1.1749088973932293,2,2,0.05,0.7,200,"LADTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
7,1,1,1.207276668549304,0.9418494942484682,2,2,0.05,0.7,200,"LADTransferTreeBoost (beta = 0.5, s,t = (3, 1))"
8,1,1,1.309412889911658,1.0289425085404038,2,2,0.05,0.7,300,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
9,1,1,1.4737430623917809,1.1669156082901366,2,2,0.05,0.7,300,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
10,1,1,1.3262922678045133,1.045847387665829,2,2,0.05,0.7,300,"LADTransferTreeBoost (alpha = 0.5, s,t = (1, 2))"
11,1,1,1.2161755080710983,0.9446372014290114,2,2,0.05,0.7,300,"LADTransferTreeBoost (beta = 0.5, s,t = (3, 1))"
12,1,1,1.261560128013673,0.989621981854697,2,2,0.05,0.7,400,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 2))"
13,1,1,1.450689644595945,1.1524555996570773,2,2,0.05,0.7,400,"LADTransferTreeBoost (alpha = 0.5, s,t = (2, 1))"
