,seed,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,LADTransferTreeBoost,0.05,1,1,0.01,0.5,1.7985070608853255,1.4429559782786474,1.8129374712550526,1.4486880389449885
1,1,LADTransferTreeBoost,0.05,1,1,0.01,0.9,2.0027329788803505,1.6109324505847853,2.041670503208398,1.6286448375572127
2,1,LADTransferTreeBoost,0.05,1,1,0.05,0.5,1.5692325516990169,1.2569595962682998,1.5711593975284772,1.2552949066697503
3,1,LADTransferTreeBoost,0.05,1,1,0.05,0.9,1.955007136783427,1.5734517291099541,1.988254488746415,1.5859763419136412
4,1,LADTransferTreeBoost,0.05,1,2,0.01,0.5,1.585388848104951,1.271389973133157,1.632847255493057,1.313096841750038
5,1,LADTransferTreeBoost,0.05,1,2,0.01,0.9,1.6022032569092466,1.2763222653056983,1.654045736846221,1.3236969478478615
6,1,LADTransferTreeBoost,0.05,1,2,0.05,0.5,1.595458707861493,1.27366981283013,1.6414354361925683,1.318545629363581
7,1,LADTransferTreeBoost,0.05,1,2,0.05,0.9,1.6487788567841768,1.3167935405497952,1.6931562560778262,1.3670895766987354
8,1,LADTransferTreeBoost,0.05,2,1,0.01,0.5,1.7670217713261986,1.4172444684932721,1.779327497672397,1.4216514653264423
9,1,LADTransferTreeBoost,0.05,2,1,0.01,0.9,1.613825225039696,1.2917005012753826,1.6180702481096783,1.2934544324553552
10,1,LADTransferTreeBoost,0.05,2,1,0.05,0.5,2.0146235117963442,1.6234120294510395,2.0494937160019333,1.6378739192819216
11,1,LADTransferTreeBoost,0.05,2,1,0.05,0.9,1.955007136783427,1.5734517291099541,1.988254488746415,1.5859763419136412
12,1,LADTransferTreeBoost,0.05,2,2,0.01,0.5,1.6007484105737249,1.2778225894145703,1.6365982241000714,1.3189366663982318
13,1,LADTransferTreeBoost,0.05,2,2,0.01,0.9,1.624178965001301,1.2977066775321824,1.6737317120766861,1.3504101209635602
14,1,LADTransferTreeBoost,0.05,2,2,0.05,0.5,1.6014888944827557,1.2781620844670538,1.648399011901048,1.3238369067233193
15,1,LADTransferTreeBoost,0.05,2,2,0.05,0.9,1.5962153614074137,1.2722348417756288,1.6375115866612562,1.3131523192106247
16,1,LADTransferTreeBoost,0.1,1,1,0.01,0.5,1.4742580725811758,1.186447769226264,1.484726640206431,1.1883573344756964
17,1,LADTransferTreeBoost,0.1,1,1,0.01,0.9,1.5099988721752031,1.2075956737028117,1.5246915759252808,1.21807743748209
18,1,LADTransferTreeBoost,0.1,1,1,0.05,0.5,1.5148908803649686,1.2163033885283971,1.5314555345656935,1.2247585971559478
19,1,LADTransferTreeBoost,0.1,1,1,0.05,0.9,1.6753402838327218,1.3425311348755218,1.6873086210995532,1.35376009464763
20,1,LADTransferTreeBoost,0.1,1,2,0.01,0.5,1.613170552802335,1.2935440572685153,1.6412870040606118,1.315355082798177
21,1,LADTransferTreeBoost,0.1,1,2,0.01,0.9,1.5708134585743643,1.2575229014409774,1.611946042009766,1.2904418830287454
22,1,LADTransferTreeBoost,0.1,1,2,0.05,0.5,1.566305801892125,1.2388557517894438,1.6276888551830535,1.3091933473610575
23,1,LADTransferTreeBoost,0.1,1,2,0.05,0.9,1.5383203930064155,1.227316601447395,1.588669848021098,1.277709113169082
24,1,LADTransferTreeBoost,0.1,2,1,0.01,0.5,1.4742580725811758,1.186447769226264,1.484726640206431,1.1883573344756964
25,1,LADTransferTreeBoost,0.1,2,1,0.01,0.9,1.7156707351454286,1.3743052870356718,1.7259415206994686,1.3782629890747553
26,1,LADTransferTreeBoost,0.1,2,1,0.05,0.5,1.514167270779745,1.2134391220429352,1.533570005258168,1.2255142255766704
27,1,LADTransferTreeBoost,0.1,2,1,0.05,0.9,1.5776262777866106,1.263409325377289,1.593326826746852,1.2764210572094847
28,1,LADTransferTreeBoost,0.1,2,2,0.01,0.5,1.6455538298379018,1.3184718395571435,1.6704307565133654,1.3487737404037452
29,1,LADTransferTreeBoost,0.1,2,2,0.01,0.9,1.5468672908425978,1.2382420031999941,1.5984164638134568,1.284228119574602
