,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,14,4,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.9911088784743207,1.575222772049909
1,14,4,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.009897225057317,1.5817200161407892
2,15,4,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.6740224194780609,1.3467406508110733
3,15,4,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.0014288354450636,1.6304655134089099
4,16,4,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.9427181549736265,1.5588796782806011
5,16,4,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.011227049773714,1.6074981132134532
6,17,4,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.8276209763174291,1.4740125924693273
7,17,4,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.8391572700286878,1.4808849254993361
8,18,4,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.998552928916608,1.6122429413677302
9,18,4,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.9701638804073274,1.5911488026024676
