,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,rmse,mae
0,11,1,LSTransferTreeBoost,0.05,1,1,0.01,0.5,1.2568425775544827,0.9853247755232198
1,11,1,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1.2336059638796193,0.9645974786215509
2,11,1,LSTransferTreeBoost,0.05,1,1,0.05,0.5,1.2820520175234658,1.0027692000851691
3,11,1,LSTransferTreeBoost,0.05,1,1,0.05,0.9,1.2784518057665064,1.0020238884004935
4,11,1,LSTransferTreeBoost,0.05,1,2,0.01,0.5,1.2833331394237162,1.0004925796304347
5,11,1,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1.2769427560850666,0.9959933998641234
6,11,1,LSTransferTreeBoost,0.05,1,2,0.05,0.5,1.3338392493853932,1.0477809252806662
7,11,1,LSTransferTreeBoost,0.05,1,2,0.05,0.9,1.307973942930215,1.0301075296449782
8,11,1,LSTransferTreeBoost,0.05,2,1,0.01,0.5,1.126617206171534,0.8833033214563082
9,11,1,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1.0845888359706037,0.8530349882693626
10,11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.5,1.2763705117740387,1.0054096616927077
11,11,1,LSTransferTreeBoost,0.05,2,1,0.05,0.9,1.314387618745646,1.0354066848830816
12,11,1,LSTransferTreeBoost,0.05,2,2,0.01,0.5,1.2455620853178793,0.9685785443842637
13,11,1,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1.1766912923128738,0.9144091837957228
14,11,1,LSTransferTreeBoost,0.05,2,2,0.05,0.5,1.2926345725166655,1.0107164525672607
15,11,1,LSTransferTreeBoost,0.05,2,2,0.05,0.9,1.307753106972377,1.0255449213056367
16,11,1,LSTransferTreeBoost,0.1,1,1,0.01,0.5,1.241378078122848,0.9759739383730889
17,11,1,LSTransferTreeBoost,0.1,1,1,0.01,0.9,1.230260277099043,0.9725809724082699
18,11,1,LSTransferTreeBoost,0.1,1,1,0.05,0.5,1.2813267271120834,1.003479325380933
19,11,1,LSTransferTreeBoost,0.1,1,1,0.05,0.9,1.264332300219094,0.9862014726178139
20,11,1,LSTransferTreeBoost,0.1,1,2,0.01,0.5,1.2858708237224041,1.0039429269708058
21,11,1,LSTransferTreeBoost,0.1,1,2,0.01,0.9,1.2441182717244283,0.9668223538748104
22,11,1,LSTransferTreeBoost,0.1,1,2,0.05,0.5,1.3093237223887215,1.0271987144921886
23,11,1,LSTransferTreeBoost,0.1,1,2,0.05,0.9,1.3088649449206309,1.0299789072701069
24,11,1,LSTransferTreeBoost,0.1,2,1,0.01,0.5,1.0593975656286314,0.8362499910099337
25,11,1,LSTransferTreeBoost,0.1,2,1,0.01,0.9,1.0210128810016728,0.8087699124682745
26,11,1,LSTransferTreeBoost,0.1,2,1,0.05,0.5,1.2208715080866546,0.9534563375015983
