,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.4030743450122647,1.7401367267582457,2.413487439809187,1.7270639223697832
1,1,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.389056953433935,1.7347853417963963,2.3929740970346094,1.7153382410839957
2,1,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.462209098325025,1.784031119046179,2.487497201034878,1.7805546285998863
3,1,Hgv,190,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.447090813359171,1.773894479916721,2.471300211700419,1.767608778616643
4,1,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.3941142587338846,1.7400736628486937,2.4464770546341925,1.7782999422471606
5,1,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.3851963936040805,1.7324464766430296,2.4072325722246517,1.7376142977080018
6,1,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.05,0.5,2.43384725287645,1.7762185311165133,2.477465831233612,1.7946142145424342
7,1,Hgv,190,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.4273676867692253,1.765763033334246,2.474366419371301,1.7890457734808685
8,1,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.388228307748645,1.7186808710904502,2.399389401206628,1.7022278539196771
9,1,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.3765714267784075,1.7192009303847633,2.3793673715033905,1.7040363388338928
10,1,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.395821429623058,1.7545878505669517,2.4496184810194164,1.7914657269953065
11,1,Hgv,190,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.3873964933422327,1.7329384721892436,2.4153089049572425,1.7413432248136766
12,1,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.376278200116273,1.7264730238143124,2.397678285352101,1.723894225981769
13,1,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.01,0.9,2.3779754509289006,1.7368985802588337,2.3828223208545545,1.7183312072526415
14,1,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.5,2.410375177572128,1.7619855071161203,2.441428720101031,1.765286348876081
15,1,Hgv,190,LSTransferTreeBoost,0.05,2,2,0.05,0.9,2.388787200452225,1.7428678612584358,2.421486982773904,1.7574491544981294
16,1,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.5,2.387886211118758,1.7293282701378152,2.3998680524850564,1.721218248992323
17,1,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.01,0.9,2.3893569292723464,1.7362811463574606,2.3912480941728345,1.718744533135418
18,1,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.05,0.5,2.440225785596968,1.7679089936182508,2.446521201822483,1.750815004143731
19,1,Hgv,190,LSTransferTreeBoost,0.1,1,1,0.05,0.9,2.409688799221699,1.7449706991950604,2.415158900992539,1.7261858171145852
20,1,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.01,0.5,2.391747453490611,1.741860075485218,2.428643095339941,1.7638856259797924
21,1,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.01,0.9,2.381449829900645,1.733630137287328,2.394652156641636,1.7299926384127555
22,1,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.05,0.5,2.419719942428894,1.7615104979566891,2.461586519877835,1.7880736644543629
23,1,Hgv,190,LSTransferTreeBoost,0.1,1,2,0.05,0.9,2.4198955702755147,1.7581650944011575,2.449835403703041,1.7704713476237033
24,1,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.01,0.5,2.391274655150691,1.7235829888185412,2.391040707559545,1.6977885765550855
25,1,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.01,0.9,2.356471700816163,1.696024333179922,2.365849766319018,1.6950795259860751
26,1,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.05,0.5,2.383869750232376,1.7293957857143225,2.4004040270682263,1.727143906157805
27,1,Hgv,190,LSTransferTreeBoost,0.1,2,1,0.05,0.9,2.40040233471035,1.731040249714772,2.403456802585839,1.707984070823137
28,1,Hgv,190,LSTransferTreeBoost,0.1,2,2,0.01,0.5,2.3712879622369383,1.726497744405413,2.3894690536631225,1.7242627614826616
29,1,Hgv,190,LSTransferTreeBoost,0.1,2,2,0.01,0.9,2.374172592342089,1.730989160686014,2.37890283150563,1.7165342901150191
30,1,Hgv,190,LSTransferTreeBoost,0.1,2,2,0.05,0.5,2.390509736479648,1.7456966876559263,2.410416999787817,1.7429660164978191
31,1,Hgv,190,LSTransferTreeBoost,0.1,2,2,0.05,0.9,2.3934307935832666,1.7422714685730372,2.388804081584984,1.715364253368763
32,1,Hgv,570,LSTransferTreeBoost,0.05,1,1,0.01,0.5,2.2813972416961006,1.6475839116158948,2.2530453385009035,1.6017459889008832
33,1,Hgv,570,LSTransferTreeBoost,0.05,1,1,0.01,0.9,2.267219329155712,1.6399698085733168,2.2540628011824757,1.5987847174801928
34,1,Hgv,570,LSTransferTreeBoost,0.05,1,1,0.05,0.5,2.2730004221883093,1.6388847648579057,2.262618345400807,1.6158977748991048
35,1,Hgv,570,LSTransferTreeBoost,0.05,1,1,0.05,0.9,2.2835986954104825,1.6470363880863232,2.255757422902692,1.6078738677442423
36,1,Hgv,570,LSTransferTreeBoost,0.05,1,2,0.01,0.5,2.272553813477976,1.639037423371624,2.2695717051664315,1.6281747730604883
37,1,Hgv,570,LSTransferTreeBoost,0.05,1,2,0.01,0.9,2.2742889425763484,1.6362776112264683,2.2463717111296218,1.599885279058722
38,1,Hgv,570,LSTransferTreeBoost,0.05,1,2,0.05,0.5,2.2681339564565794,1.6448097638920485,2.2725301880624724,1.640050618370738
39,1,Hgv,570,LSTransferTreeBoost,0.05,1,2,0.05,0.9,2.2630722566376886,1.6367787653509027,2.2567491762274163,1.6226074115528446
40,1,Hgv,570,LSTransferTreeBoost,0.05,2,1,0.01,0.5,2.269649754442324,1.635376987631515,2.2420245033373143,1.593993226736068
41,1,Hgv,570,LSTransferTreeBoost,0.05,2,1,0.01,0.9,2.2697856491224,1.6462779705342077,2.244575168755842,1.597803385205156
42,1,Hgv,570,LSTransferTreeBoost,0.05,2,1,0.05,0.5,2.2805798382060685,1.642449843177634,2.285283678921165,1.6306234192731237
43,1,Hgv,570,LSTransferTreeBoost,0.05,2,1,0.05,0.9,2.278218747265646,1.643017640609059,2.2711915339173605,1.6160920190013175
44,1,Hgv,570,LSTransferTreeBoost,0.05,2,2,0.01,0.5,2.2837531328092764,1.6479189085010364,2.278029466082675,1.6282912602384036
