,seed,splitting_variable,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,CRIM,LSTransferTreeBoost,0.05,1,1,0.01,0.5,5.210375074583116,3.945370281893407,4.540735247493613,3.038613191978044
1,1,CRIM,LSTransferTreeBoost,0.05,1,1,0.01,0.9,5.198482425052338,3.9403275180076283,4.6253698345067535,2.9984530450447577
2,1,CRIM,LSTransferTreeBoost,0.05,1,1,0.05,0.5,6.456749517211539,5.140271441736766,5.2992890211414485,4.025047611869025
3,1,CRIM,LSTransferTreeBoost,0.05,1,1,0.05,0.9,5.492297090381524,4.240334601896567,4.533611573873693,3.173834260766779
4,1,CRIM,LSTransferTreeBoost,0.05,1,2,0.01,0.5,5.181713787541393,3.883256607696523,4.375025282418084,2.869912971352757
5,1,CRIM,LSTransferTreeBoost,0.05,1,2,0.01,0.9,5.095585008893144,3.734242742367871,4.384309655771932,2.7987966258730324
6,1,CRIM,LSTransferTreeBoost,0.05,1,2,0.05,0.5,6.611142454189617,5.3457843971524195,5.162086329660727,3.9967888259347646
7,1,CRIM,LSTransferTreeBoost,0.05,1,2,0.05,0.9,6.366975262397133,5.000362575261741,5.110205225153261,3.789319544614504
8,1,CRIM,LSTransferTreeBoost,0.05,2,1,0.01,0.5,5.357869383189237,4.063574546169348,4.611519167923161,3.049876948527106
9,1,CRIM,LSTransferTreeBoost,0.05,2,1,0.01,0.9,4.954684280035051,3.7879628811039665,4.634607523864605,2.916881582041184
10,1,CRIM,LSTransferTreeBoost,0.05,2,1,0.05,0.5,6.3607697031681,4.827277589287685,5.055724851876071,3.678102571458847
11,1,CRIM,LSTransferTreeBoost,0.05,2,1,0.05,0.9,5.649692617138082,4.314635302254092,4.651766316052969,3.198245216648262
12,1,CRIM,LSTransferTreeBoost,0.05,2,2,0.01,0.5,5.19855326644255,3.898161792027581,4.366393894211265,2.8406377155118254
13,1,CRIM,LSTransferTreeBoost,0.05,2,2,0.01,0.9,4.941366940884685,3.6820327890419535,4.435282470684801,2.8353521185805475
14,1,CRIM,LSTransferTreeBoost,0.05,2,2,0.05,0.5,6.425588733546726,4.87780831709679,4.968449590577843,3.54813223875238
15,1,CRIM,LSTransferTreeBoost,0.05,2,2,0.05,0.9,5.773960702804806,4.342628538354288,4.492232909563207,3.0410657685375715
16,1,CRIM,LSTransferTreeBoost,0.1,1,1,0.01,0.5,5.190769215428627,3.9428804419756496,4.528331764126244,2.996260010946504
17,1,CRIM,LSTransferTreeBoost,0.1,1,1,0.01,0.9,5.146154163263377,3.9231313065261086,4.64431238154097,2.9566005866384106
18,1,CRIM,LSTransferTreeBoost,0.1,1,1,0.05,0.5,5.838260803677277,4.7171849879925185,5.015965293607751,3.724888153734572
19,1,CRIM,LSTransferTreeBoost,0.1,1,1,0.05,0.9,5.191240752165232,3.979661413772461,4.545720571896144,3.0147374068522352
20,1,CRIM,LSTransferTreeBoost,0.1,1,2,0.01,0.5,5.167357783803764,3.812069211817246,4.362754889648566,2.8295788772409227
21,1,CRIM,LSTransferTreeBoost,0.1,1,2,0.01,0.9,5.046346323215271,3.728805458389919,4.394462163235835,2.797680800310887
22,1,CRIM,LSTransferTreeBoost,0.1,1,2,0.05,0.5,6.231391007763848,5.104093931497631,5.146900503192235,3.8971695726782456
23,1,CRIM,LSTransferTreeBoost,0.1,1,2,0.05,0.9,5.224443614857441,3.9244351345927515,4.37890287474488,2.8900188461950926
24,1,CRIM,LSTransferTreeBoost,0.1,2,1,0.01,0.5,5.273243968131948,3.996684407177648,4.595751534073321,2.9948901396024876
25,1,CRIM,LSTransferTreeBoost,0.1,2,1,0.01,0.9,4.945777210390994,3.774061018788869,4.7008834091426595,2.9491291138273668
26,1,CRIM,LSTransferTreeBoost,0.1,2,1,0.05,0.5,5.543644683717078,4.257665150757987,4.5862956724993715,3.1593106214004942
27,1,CRIM,LSTransferTreeBoost,0.1,2,1,0.05,0.9,5.242604218079628,3.995744668571277,4.541411942937158,2.9729295719135225
28,1,CRIM,LSTransferTreeBoost,0.1,2,2,0.01,0.5,5.104836904676858,3.8223640634835743,4.382876102729354,2.83294857500085
29,1,CRIM,LSTransferTreeBoost,0.1,2,2,0.01,0.9,4.909730621696427,3.6520054266047333,4.481094110792458,2.8515796803587685
30,1,CRIM,LSTransferTreeBoost,0.1,2,2,0.05,0.5,5.62752345023436,4.2287766082546385,4.453950684175968,3.0146782749658487
