,seed,target_column,target_instances,method,v,source_tree_size,target_tree_size,k,m_0,val_rmse,val_mae,rmse,mae
0,1,Dgv,95,LSTransferTreeBoost,0.02,1,1,0.01,0.5,8.17746203710829,5.9250279695761074,7.09172524673399,5.154630797076593
1,1,Dgv,95,LSTransferTreeBoost,0.02,1,1,0.01,0.9,8.07154169061086,5.865329058019279,7.039589111431451,5.1265613115833695
2,1,Dgv,95,LSTransferTreeBoost,0.02,1,1,0.05,0.5,8.449374388401731,6.176571184433507,7.37600558533174,5.400276776472025
3,1,Dgv,95,LSTransferTreeBoost,0.02,1,1,0.05,0.9,8.388822157183995,6.071198155949391,7.290798096717055,5.2901067185711295
4,1,Dgv,95,LSTransferTreeBoost,0.02,1,2,0.01,0.5,8.261027567128865,6.044240870418246,7.148414315450319,5.31139138432862
5,1,Dgv,95,LSTransferTreeBoost,0.02,1,2,0.01,0.9,8.144033796451549,5.968098750591989,7.070778887868233,5.262780333706259
6,1,Dgv,95,LSTransferTreeBoost,0.02,1,2,0.05,0.5,8.419287264273441,6.213621250646648,7.277504865258854,5.439413191750463
7,1,Dgv,95,LSTransferTreeBoost,0.02,1,2,0.05,0.9,8.353740295311114,6.155554518207441,7.235822868648814,5.389582164604314
8,1,Dgv,95,LSTransferTreeBoost,0.02,2,1,0.01,0.5,8.163461764008833,5.940400867515104,7.080300257545533,5.171296280890873
9,1,Dgv,95,LSTransferTreeBoost,0.02,2,1,0.01,0.9,8.076287926652837,5.947486191850644,7.053075367752955,5.234307001122792
10,1,Dgv,95,LSTransferTreeBoost,0.02,2,1,0.05,0.5,8.458184270938487,6.125591432980226,7.32614554111921,5.33414944691001
11,1,Dgv,95,LSTransferTreeBoost,0.02,2,1,0.05,0.9,8.356399643892823,6.045483715167058,7.219303912656362,5.250306802181379
12,1,Dgv,95,LSTransferTreeBoost,0.02,2,2,0.01,0.5,8.271962897968491,6.118071328004107,7.172018684068374,5.405156410176235
13,1,Dgv,95,LSTransferTreeBoost,0.02,2,2,0.01,0.9,8.149832768557854,6.0365080607940085,7.045013300392019,5.316220278665707
14,1,Dgv,95,LSTransferTreeBoost,0.02,2,2,0.05,0.5,8.453992898662388,6.222453311235169,7.269007695061961,5.451439006684278
15,1,Dgv,95,LSTransferTreeBoost,0.02,2,2,0.05,0.9,8.326857161064417,6.173111260136441,7.210104073791863,5.430893541498498
16,1,Dgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.5,8.100963438611293,5.87855257038271,7.040558516052141,5.145264150207905
17,1,Dgv,95,LSTransferTreeBoost,0.05,1,1,0.01,0.9,8.077347476309251,5.9111674101549045,7.100682643067204,5.243741832987967
18,1,Dgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.5,8.331973670550939,5.994291953831449,7.1946598969541995,5.205133519124961
19,1,Dgv,95,LSTransferTreeBoost,0.05,1,1,0.05,0.9,8.183640383238663,5.907633947973667,7.1066646632659145,5.141188743177356
20,1,Dgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.5,8.255316610384066,5.991721704028301,7.127123228332103,5.2895984297165475
21,1,Dgv,95,LSTransferTreeBoost,0.05,1,2,0.01,0.9,8.09121443528632,5.874652198305067,7.004916752081644,5.192165805727938
22,1,Dgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.5,8.328476338459804,6.0906825364004025,7.179476779967879,5.334314115375134
23,1,Dgv,95,LSTransferTreeBoost,0.05,1,2,0.05,0.9,8.298275364220517,5.998608200529642,7.119930697558507,5.256489979487666
24,1,Dgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.5,8.110602918065682,5.908767512668059,7.040776834450797,5.190360303238613
25,1,Dgv,95,LSTransferTreeBoost,0.05,2,1,0.01,0.9,8.11574978427395,6.037640463529605,7.163755184915227,5.4261882110886654
26,1,Dgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.5,8.31104806234187,6.00259073093331,7.156921815331976,5.219604800065962
27,1,Dgv,95,LSTransferTreeBoost,0.05,2,1,0.05,0.9,8.146816927924988,5.927551556879806,7.045726518666158,5.1462760777113346
28,1,Dgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.5,8.249481864596653,6.042824333556015,7.1111755141804815,5.341835726345867
29,1,Dgv,95,LSTransferTreeBoost,0.05,2,2,0.01,0.9,8.10844972975601,5.963192502617461,7.006630793680521,5.24762001862026
30,1,Dgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.5,8.345120949175223,6.128282636215513,7.179505105957471,5.412334771074527
31,1,Dgv,95,LSTransferTreeBoost,0.05,2,2,0.05,0.9,8.309083591740103,6.118688441787431,7.176677024392104,5.4536383000446955
32,1,Dgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.5,8.124157007548648,5.829757745193563,7.051324191597435,5.145730799189901
33,1,Dgv,95,LSTransferTreeBoost,0.1,1,1,0.01,0.9,8.132356891944053,5.980166091298534,7.200068297661448,5.3733928905272474
34,1,Dgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.5,8.260719046474335,5.8747439829482095,7.080236942756101,5.109737475466669
35,1,Dgv,95,LSTransferTreeBoost,0.1,1,1,0.05,0.9,8.114478289157013,5.809842598110123,7.02542767263444,5.079020821711793
36,1,Dgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.5,8.231247934157066,5.975694430411902,7.101952736808694,5.2753610197854695
37,1,Dgv,95,LSTransferTreeBoost,0.1,1,2,0.01,0.9,8.076878950193704,5.866049048938158,7.006925141655777,5.175006372870976
38,1,Dgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.5,8.370702816689583,6.041046421809797,7.135826752749074,5.273179476639109
39,1,Dgv,95,LSTransferTreeBoost,0.1,1,2,0.05,0.9,8.156738149155958,5.894231288946024,7.005774135765331,5.181310684542822
40,1,Dgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.5,8.156555027377113,5.908611274591702,7.094147477855532,5.250575273201145
41,1,Dgv,95,LSTransferTreeBoost,0.1,2,1,0.01,0.9,8.164958380420696,6.070052500873652,7.252479305052406,5.51091820381073
42,1,Dgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.5,8.259006134406016,5.9468045496493,7.104080349330268,5.200782807323841
43,1,Dgv,95,LSTransferTreeBoost,0.1,2,1,0.05,0.9,8.151779497553424,5.8855674088835235,7.058721603234452,5.201215988444605
44,1,Dgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.5,8.287255111526738,6.005419562419152,7.097833158849764,5.3126720184535055
45,1,Dgv,95,LSTransferTreeBoost,0.1,2,2,0.01,0.9,8.17251530349229,5.937779618803902,7.107401087437583,5.280512138197246
46,1,Dgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.5,8.431171311081618,6.132613883342689,7.264129819115695,5.482026350491907
47,1,Dgv,95,LSTransferTreeBoost,0.1,2,2,0.05,0.9,8.19569306394393,5.9779676108198885,7.011691683064932,5.27832300731124
48,1,Dgv,190,LSTransferTreeBoost,0.02,1,1,0.01,0.5,7.514211936282994,5.0317994837115805,6.216901100666381,4.332587439639478
49,1,Dgv,190,LSTransferTreeBoost,0.02,1,1,0.01,0.9,7.438085281062217,4.979745475643948,6.189731932615483,4.270340446034638
