,seed,d,method,base_lr,fine_tuning_lr,dropout_rate,batch_norm,rmse,mae
0,14,2,MLP,0.0005,0.0001,0.0,True,2.1991851,1.7565782
1,14,2,MLP,0.0005,0.0001,0.0,False,2.0703514,1.6287844
2,14,2,MLP,0.0005,0.0001,0.1,True,2.140208,1.7012389
3,14,2,MLP,0.0005,0.0001,0.1,False,2.138755,1.6930887
4,14,2,MLP,0.0005,5e-05,0.0,True,2.6626835,2.2188876
5,14,2,MLP,0.0005,5e-05,0.0,False,1.9008116,1.5033199
6,14,2,MLP,0.0005,5e-05,0.1,True,2.24946,1.8005693
7,14,2,MLP,0.0005,5e-05,0.1,False,2.071165,1.6463996
8,14,2,MLP,0.0001,0.0001,0.0,True,2.9477358,2.4758368
9,14,2,MLP,0.0001,0.0001,0.0,False,1.9527296,1.5363613
10,14,2,MLP,0.0001,0.0001,0.1,True,2.7067213,2.1641085
11,14,2,MLP,0.0001,0.0001,0.1,False,2.1064007,1.6618469
12,14,2,MLP,0.0001,5e-05,0.0,True,2.448199,1.9812865
13,14,2,MLP,0.0001,5e-05,0.0,False,2.013003,1.5846665
14,14,2,MLP,0.0001,5e-05,0.1,True,2.1333578,1.7022618
15,14,2,MLP,0.0001,5e-05,0.1,False,2.1303778,1.6862642
16,14,4,MLP,0.0005,0.0001,0.0,True,2.3854306,1.9072564
17,14,4,MLP,0.0005,0.0001,0.0,False,1.9055904,1.5067612
18,14,4,MLP,0.0005,0.0001,0.1,True,2.6193864,2.0140316
19,14,4,MLP,0.0005,0.0001,0.1,False,2.0615342,1.639549
20,14,4,MLP,0.0005,5e-05,0.0,True,2.31792,1.8209722
21,14,4,MLP,0.0005,5e-05,0.0,False,2.083711,1.6540203
22,14,4,MLP,0.0005,5e-05,0.1,True,2.7441483,2.1478295
23,14,4,MLP,0.0005,5e-05,0.1,False,2.1805086,1.7414905
24,14,4,MLP,0.0001,0.0001,0.0,True,2.5852792,2.0479975
25,14,4,MLP,0.0001,0.0001,0.0,False,2.0145218,1.5916841
26,14,4,MLP,0.0001,0.0001,0.1,True,2.261375,1.7718129
27,14,4,MLP,0.0001,0.0001,0.1,False,2.099183,1.6646353
28,14,4,MLP,0.0001,5e-05,0.0,True,2.4542146,1.924175
29,14,4,MLP,0.0001,5e-05,0.0,False,2.0779476,1.6393952
30,14,4,MLP,0.0001,5e-05,0.1,True,2.250404,1.7721146
31,14,4,MLP,0.0001,5e-05,0.1,False,2.224068,1.7647156
32,14,6,MLP,0.0005,0.0001,0.0,True,2.7229052,2.1461098
33,14,6,MLP,0.0005,0.0001,0.0,False,1.9591627,1.5478984
34,14,6,MLP,0.0005,0.0001,0.1,True,2.2784963,1.7650883
35,14,6,MLP,0.0005,0.0001,0.1,False,2.1589813,1.7012055
36,14,6,MLP,0.0005,5e-05,0.0,True,2.4192219,1.8945779
37,14,6,MLP,0.0005,5e-05,0.0,False,2.2490199,1.7763597
38,14,6,MLP,0.0005,5e-05,0.1,True,2.1473367,1.6719309
39,14,6,MLP,0.0005,5e-05,0.1,False,2.8741276,2.3109355
40,14,6,MLP,0.0001,0.0001,0.0,True,2.2624516,1.7702073
41,14,6,MLP,0.0001,0.0001,0.0,False,3.008857,2.4287412
42,14,6,MLP,0.0001,0.0001,0.1,True,2.1520412,1.6733837
43,14,6,MLP,0.0001,0.0001,0.1,False,2.1321745,1.6834053
44,14,6,MLP,0.0001,5e-05,0.0,True,2.3788295,1.8636161
45,14,6,MLP,0.0001,5e-05,0.0,False,2.837858,2.2839022
46,14,6,MLP,0.0001,5e-05,0.1,True,2.1001732,1.6535552
47,14,6,MLP,0.0001,5e-05,0.1,False,2.2520185,1.7865205
48,15,2,MLP,0.0005,0.0001,0.0,True,2.4031458,1.9400418
49,15,2,MLP,0.0005,0.0001,0.0,False,1.5454729,1.2208843
50,15,2,MLP,0.0005,0.0001,0.1,True,1.7988833,1.4325522
51,15,2,MLP,0.0005,0.0001,0.1,False,1.8093805,1.4306595
52,15,2,MLP,0.0005,5e-05,0.0,True,2.150743,1.7153946
53,15,2,MLP,0.0005,5e-05,0.0,False,1.5140374,1.1906655
54,15,2,MLP,0.0005,5e-05,0.1,True,3.8742971,3.5161273
55,15,2,MLP,0.0005,5e-05,0.1,False,1.9795104,1.5617832
56,15,2,MLP,0.0001,0.0001,0.0,True,2.272017,1.8307528
57,15,2,MLP,0.0001,0.0001,0.0,False,1.2731915,0.99158764
58,15,2,MLP,0.0001,0.0001,0.1,True,2.67157,2.3273535
59,15,2,MLP,0.0001,0.0001,0.1,False,1.9336185,1.529106
60,15,2,MLP,0.0001,5e-05,0.0,True,2.6941075,2.3011181
61,15,2,MLP,0.0001,5e-05,0.0,False,1.3582721,1.0555571
62,15,2,MLP,0.0001,5e-05,0.1,True,2.3033292,1.9076676
63,15,2,MLP,0.0001,5e-05,0.1,False,1.9227531,1.5348425
64,15,4,MLP,0.0005,0.0001,0.0,True,3.232083,2.8689985
65,15,4,MLP,0.0005,0.0001,0.0,False,1.6264603,1.2788769
66,15,4,MLP,0.0005,0.0001,0.1,True,3.5093405,3.1714978
67,15,4,MLP,0.0005,0.0001,0.1,False,2.239443,1.7931693
68,15,4,MLP,0.0005,5e-05,0.0,True,2.4385579,1.9683701
69,15,4,MLP,0.0005,5e-05,0.0,False,1.5325384,1.2140898
70,15,4,MLP,0.0005,5e-05,0.1,True,3.105085,2.6821895
71,15,4,MLP,0.0005,5e-05,0.1,False,2.1077096,1.683355
72,15,4,MLP,0.0001,0.0001,0.0,True,2.4798722,2.0116634
73,15,4,MLP,0.0001,0.0001,0.0,False,1.6305043,1.2541423
74,15,4,MLP,0.0001,0.0001,0.1,True,3.101878,2.6959336
75,15,4,MLP,0.0001,0.0001,0.1,False,1.9204141,1.5221217
76,15,4,MLP,0.0001,5e-05,0.0,True,2.6734219,2.248891
77,15,4,MLP,0.0001,5e-05,0.0,False,1.6178424,1.2663089
78,15,4,MLP,0.0001,5e-05,0.1,True,2.5316052,2.0968468
79,15,4,MLP,0.0001,5e-05,0.1,False,2.0255878,1.6103089
80,15,6,MLP,0.0005,0.0001,0.0,True,3.8812037,3.4392474
81,15,6,MLP,0.0005,0.0001,0.0,False,1.7502521,1.3662333
82,15,6,MLP,0.0005,0.0001,0.1,True,3.071029,2.6106675
83,15,6,MLP,0.0005,0.0001,0.1,False,2.1407583,1.6994739
84,15,6,MLP,0.0005,5e-05,0.0,True,3.496115,3.105046
85,15,6,MLP,0.0005,5e-05,0.0,False,1.7858466,1.3982477
86,15,6,MLP,0.0005,5e-05,0.1,True,3.3176758,2.851362
87,15,6,MLP,0.0005,5e-05,0.1,False,2.00104,1.6007738
88,15,6,MLP,0.0001,0.0001,0.0,True,3.5617456,3.096835
89,15,6,MLP,0.0001,0.0001,0.0,False,2.0704026,1.6542966
90,15,6,MLP,0.0001,0.0001,0.1,True,3.0763347,2.6582785
91,15,6,MLP,0.0001,0.0001,0.1,False,2.2165174,1.7722964
92,15,6,MLP,0.0001,5e-05,0.0,True,3.6218054,3.1048708
93,15,6,MLP,0.0001,5e-05,0.0,False,1.9180927,1.5344807
94,15,6,MLP,0.0001,5e-05,0.1,True,4.4296756,3.9042017
95,15,6,MLP,0.0001,5e-05,0.1,False,2.1466093,1.715677
