,seed,method,v,target_tree_size,rmse,mae
0,2,xgboost,0.01,1,7.213701714239705,4.91880915314693
1,2,xgboost_naive_transfer,0.01,1,7.6114308389356795,5.634593683817832
2,2,xgboost,0.01,2,7.275870173680596,4.954976430413946
3,2,xgboost_naive_transfer,0.01,2,7.596912291618789,5.605239573772274
4,2,xgboost,0.01,3,7.34498630815668,4.988541577198481
5,2,xgboost_naive_transfer,0.01,3,7.545784313097932,5.553867581065443
6,2,xgboost,0.01,4,7.559282992260622,5.160097575963378
7,2,xgboost_naive_transfer,0.01,4,7.516775025888635,5.544898864082315
8,2,xgboost,0.02,1,7.201817896414708,4.909272711203816
9,2,xgboost_naive_transfer,0.02,1,7.617874995259182,5.645223651413128
10,2,xgboost,0.02,2,7.274898355137356,4.951669843922511
11,2,xgboost_naive_transfer,0.02,2,7.591503319560655,5.616845498309085
12,2,xgboost,0.02,3,7.3246718321921085,4.967507610234372
13,2,xgboost_naive_transfer,0.02,3,7.548256304972688,5.569057780997678
14,2,xgboost,0.02,4,7.553524518858034,5.164377648243334
15,2,xgboost_naive_transfer,0.02,4,7.521957356605993,5.5587135741510245
16,2,xgboost,0.05,1,7.202424578628586,4.910415842061726
17,2,xgboost_naive_transfer,0.05,1,7.619324190343254,5.646961774935211
18,2,xgboost,0.05,2,7.273491494810677,4.943985286589206
19,2,xgboost_naive_transfer,0.05,2,7.593652694776104,5.6304222563133335
20,2,xgboost,0.05,3,7.377410719112265,4.999794304711329
21,2,xgboost_naive_transfer,0.05,3,7.569153661668121,5.6006897109096805
22,2,xgboost,0.05,4,7.529880681098096,5.1403260034295855
23,2,xgboost_naive_transfer,0.05,4,7.527026426599117,5.571836936538551
24,2,xgboost,0.1,1,7.208982244366278,4.919524698807193
25,2,xgboost_naive_transfer,0.1,1,7.6308653153648365,5.6609548589900776
26,2,xgboost,0.1,2,7.301134785700428,4.977355285909273
27,2,xgboost_naive_transfer,0.1,2,7.605176659445389,5.648758869040809
28,2,xgboost,0.1,3,7.368287356886513,4.978131303320548
29,2,xgboost_naive_transfer,0.1,3,7.57021541741209,5.609494136509295
30,2,xgboost,0.1,4,7.599154345968152,5.182217377750448
31,2,xgboost_naive_transfer,0.1,4,7.558523358178087,5.6013826481543685
32,2,xgboost,0.15,1,7.213389952828457,4.911926908908577
33,2,xgboost_naive_transfer,0.15,1,7.649550281651943,5.678698652933831
34,2,xgboost,0.15,2,7.331501814284199,4.963589031965261
35,2,xgboost_naive_transfer,0.15,2,7.602329932340014,5.653794302112043
36,2,xgboost,0.15,3,7.405206723991609,5.059475412926924
37,2,xgboost_naive_transfer,0.15,3,7.621757302547753,5.666823937124956
38,2,xgboost,0.15,4,7.666896669750444,5.256388697587968
39,2,xgboost_naive_transfer,0.15,4,7.59402218151632,5.642670052981836
