,seed,method,d,v,target_tree_size,rmse,mae
0,5,xgboost,1,0.005,1,2.2662107676577445,1.82177589261002
1,5,xgboost_naive_transfer,1,0.005,1,2.244811965766164,1.8531593077370039
2,5,xgboost,1,0.005,2,1.8532494274039923,1.4888238182167766
3,5,xgboost_naive_transfer,1,0.005,2,1.6805539762174138,1.4112896697371202
4,5,xgboost,1,0.005,3,1.927615835956298,1.570049420254397
5,5,xgboost_naive_transfer,1,0.005,3,1.454775680449556,1.2347650828312604
6,5,xgboost,1,0.005,4,2.081960260816921,1.665538964181281
7,5,xgboost_naive_transfer,1,0.005,4,1.376271305654356,1.1800750155431854
8,5,xgboost,1,0.005,5,2.2686796168121015,1.814599642671659
9,5,xgboost_naive_transfer,1,0.005,5,1.3734594276538992,1.169872789821597
10,5,xgboost,1,0.005,6,2.3457324079304276,1.8794798152952374
11,5,xgboost_naive_transfer,1,0.005,6,1.3974553006816866,1.1829124863885967
12,5,xgboost,1,0.005,7,2.4988410027326715,2.0195470766749106
13,5,xgboost_naive_transfer,1,0.005,7,1.4130111557989025,1.193318329125757
14,5,xgboost,1,0.01,1,1.7388029891401007,1.392609766356214
15,5,xgboost_naive_transfer,1,0.01,1,1.7980273044668413,1.495415662802442
16,5,xgboost,1,0.01,2,1.772470265308855,1.4252399074449333
17,5,xgboost_naive_transfer,1,0.01,2,1.3832078697450507,1.1860144921256408
18,5,xgboost,1,0.01,3,1.9238966157145734,1.567783929551532
19,5,xgboost_naive_transfer,1,0.01,3,1.337776710990715,1.1529430030090144
20,5,xgboost,1,0.01,4,2.0809990476857796,1.6663526177601886
21,5,xgboost_naive_transfer,1,0.01,4,1.35175948640743,1.1574996408463605
22,5,xgboost,1,0.01,5,2.267690525773224,1.8184819038569917
23,5,xgboost_naive_transfer,1,0.01,5,1.3748779473473807,1.1695789678557433
24,5,xgboost,1,0.01,6,2.306653427318118,1.8558456456528856
25,5,xgboost_naive_transfer,1,0.01,6,1.3977688128755588,1.1832896276189369
26,5,xgboost,1,0.01,7,2.4964866808349875,2.0189561101885753
27,5,xgboost_naive_transfer,1,0.01,7,1.4115884645551022,1.1938567586560322
28,5,xgboost,1,0.02,1,1.510477500649522,1.2196624341673643
29,5,xgboost_naive_transfer,1,0.02,1,1.5323933671597176,1.2826271663554198
30,5,xgboost,1,0.02,2,1.7618029277112277,1.4195677009940886
31,5,xgboost_naive_transfer,1,0.02,2,1.3468724654289121,1.1599852387133232
32,5,xgboost,1,0.02,3,1.9254320999598682,1.5685040310183314
33,5,xgboost_naive_transfer,1,0.02,3,1.3398899908928,1.1520038664731629
34,5,xgboost,1,0.02,4,2.099408534565578,1.6849284689633806
35,5,xgboost_naive_transfer,1,0.02,4,1.351256576949639,1.1580667796180233
36,5,xgboost,1,0.02,5,2.277514930781049,1.8238276315866
37,5,xgboost_naive_transfer,1,0.02,5,1.372017115752587,1.1664016116196998
38,5,xgboost,1,0.02,6,2.28274863431748,1.8380602748490709
39,5,xgboost_naive_transfer,1,0.02,6,1.3978866216897747,1.1828014069108
40,5,xgboost,1,0.02,7,2.4713921125982536,1.9994758641878474
41,5,xgboost_naive_transfer,1,0.02,7,1.4179273254861664,1.2006577313609577
42,5,xgboost,1,0.03,1,1.5137683880249124,1.2224439417127544
43,5,xgboost_naive_transfer,1,0.03,1,1.4973263153134657,1.2575081949870337
44,5,xgboost,1,0.03,2,1.7688752908121572,1.425341260591919
45,5,xgboost_naive_transfer,1,0.03,2,1.350376404983713,1.1593597656019978
46,5,xgboost,1,0.03,3,1.9414263868398163,1.5843201146120565
47,5,xgboost_naive_transfer,1,0.03,3,1.3398130711268157,1.1479224309676979
48,5,xgboost,1,0.03,4,2.093851407064301,1.6766543286274092
49,5,xgboost_naive_transfer,1,0.03,4,1.3593902670122164,1.1634620378113274
50,5,xgboost,1,0.03,5,2.253399524241948,1.8100729395042172
51,5,xgboost_naive_transfer,1,0.03,5,1.372520510500647,1.1675494082962439
52,5,xgboost,1,0.03,6,2.3122532863072296,1.8668367041271885
53,5,xgboost_naive_transfer,1,0.03,6,1.3974452051968917,1.1823564260391195
54,5,xgboost,1,0.03,7,2.4843570837411106,2.009780977956088
55,5,xgboost_naive_transfer,1,0.03,7,1.4214504294222121,1.2059105036991866
56,5,xgboost,1,0.05,1,1.5090147658032815,1.218160166113065
57,5,xgboost_naive_transfer,1,0.05,1,1.4973733876039312,1.257823240054757
58,5,xgboost,1,0.05,2,1.7284686146166104,1.3988296391306143
59,5,xgboost_naive_transfer,1,0.05,2,1.3366404141479817,1.1510895280282993
60,5,xgboost,1,0.05,3,1.934622871188065,1.5792811126564053
61,5,xgboost_naive_transfer,1,0.05,3,1.3440069070260856,1.1507499647299024
62,5,xgboost,1,0.05,4,2.0876567856864954,1.6866209423330856
