,seed,method,d,v,target_tree_size,rmse,mae
0,14,xgboost,4,0.005,1,2.4536855646612348,1.9515146196906281
1,14,xgboost_naive_transfer,4,0.005,1,2.49713335570947,1.9863372576291145
2,14,xgboost,4,0.005,2,2.012783838155998,1.619254137277286
3,14,xgboost_naive_transfer,4,0.005,2,2.075925939530474,1.618103432966654
4,14,xgboost,4,0.005,3,2.0204949548375764,1.5996691049910916
5,14,xgboost_naive_transfer,4,0.005,3,1.8695052408430828,1.4507804992240316
6,14,xgboost,4,0.005,4,2.044183402155418,1.6171114479980953
7,14,xgboost_naive_transfer,4,0.005,4,1.766618881353771,1.3714295569843102
8,14,xgboost,4,0.005,5,2.127311946572722,1.6880075585173464
9,14,xgboost_naive_transfer,4,0.005,5,1.7305827147633956,1.3471558735879454
10,14,xgboost,4,0.005,6,2.322912896713316,1.8569283808782877
11,14,xgboost_naive_transfer,4,0.005,6,1.7359096275322003,1.3548774492089872
12,14,xgboost,4,0.005,7,2.4318896898899935,1.91552303568655
13,14,xgboost_naive_transfer,4,0.005,7,1.8017927058543373,1.391870120641684
14,14,xgboost,4,0.01,1,2.024047157628971,1.6196628968242435
15,14,xgboost_naive_transfer,4,0.01,1,2.1126578493948225,1.6451138113617771
16,14,xgboost,4,0.01,2,1.8441295880835522,1.4835191242212191
17,14,xgboost_naive_transfer,4,0.01,2,1.7760766395116316,1.3672118572895593
18,14,xgboost,4,0.01,3,1.9373805647015003,1.5362027145282118
19,14,xgboost_naive_transfer,4,0.01,3,1.7132539275277228,1.3289015997087077
20,14,xgboost,4,0.01,4,2.017890414411548,1.5930838449698075
21,14,xgboost_naive_transfer,4,0.01,4,1.728051861657665,1.3429810841865706
22,14,xgboost,4,0.01,5,2.105883915611653,1.673652474258995
23,14,xgboost_naive_transfer,4,0.01,5,1.7181082645283379,1.3357201599637845
24,14,xgboost,4,0.01,6,2.282009046759351,1.8268511013299265
25,14,xgboost_naive_transfer,4,0.01,6,1.7458734780885676,1.358298193987308
26,14,xgboost,4,0.01,7,2.396126024654307,1.8834095548229153
27,14,xgboost_naive_transfer,4,0.01,7,1.767870586310694,1.368584830690424
28,14,xgboost,4,0.02,1,1.7781719467704744,1.4349147388367685
29,14,xgboost_naive_transfer,4,0.02,1,1.8515467342782426,1.4226203785315907
30,14,xgboost,4,0.02,2,1.834759586931074,1.4753122695961411
31,14,xgboost_naive_transfer,4,0.02,2,1.7077786333471894,1.3106090116504783
32,14,xgboost,4,0.02,3,1.9593315376883296,1.550629126455818
33,14,xgboost_naive_transfer,4,0.02,3,1.707098027214298,1.3248239125991248
34,14,xgboost,4,0.02,4,2.032703763517959,1.6245577831357856
35,14,xgboost_naive_transfer,4,0.02,4,1.7050843074690976,1.3219859017905051
36,14,xgboost,4,0.02,5,2.0886665763765495,1.6547222604651994
37,14,xgboost_naive_transfer,4,0.02,5,1.746451487022199,1.3615585608569063
38,14,xgboost,4,0.02,6,2.263665846970374,1.8042229842321682
39,14,xgboost_naive_transfer,4,0.02,6,1.7192687379317988,1.336444439932771
40,14,xgboost,4,0.02,7,2.3996063651789323,1.8945201788924155
41,14,xgboost_naive_transfer,4,0.02,7,1.7816946535796352,1.3766922472221728
42,14,xgboost,4,0.03,1,1.7023657245150399,1.373255780634564
43,14,xgboost_naive_transfer,4,0.03,1,1.8082693330143838,1.3889834038530966
44,14,xgboost,4,0.03,2,1.8432622852277112,1.4783410488753603
45,14,xgboost_naive_transfer,4,0.03,2,1.711167007509755,1.3158072459465266
46,14,xgboost,4,0.03,3,1.9376575371106635,1.5361379728713414
47,14,xgboost_naive_transfer,4,0.03,3,1.7051022537579723,1.3178207506854531
48,14,xgboost,4,0.03,4,2.0309791694017187,1.6112520517451425
49,14,xgboost_naive_transfer,4,0.03,4,1.7109552411841444,1.326373651161017
50,14,xgboost,4,0.03,5,2.1027193422489914,1.668296414281075
51,14,xgboost_naive_transfer,4,0.03,5,1.7182976025684664,1.3360633886080142
52,14,xgboost,4,0.03,6,2.259036755502497,1.8074519508626194
53,14,xgboost_naive_transfer,4,0.03,6,1.7235126125203284,1.3472732701564492
54,14,xgboost,4,0.03,7,2.3838212649995016,1.8803099251027033
55,14,xgboost_naive_transfer,4,0.03,7,1.7762020577889355,1.3722565143015701
56,14,xgboost,4,0.05,1,1.728769350607643,1.3945450444421987
57,14,xgboost_naive_transfer,4,0.05,1,1.790643818601078,1.3749317090596613
58,14,xgboost,4,0.05,2,1.8391162427222414,1.480229316584757
59,14,xgboost_naive_transfer,4,0.05,2,1.6971716613672527,1.3025462087233886
60,14,xgboost,4,0.05,3,1.9291358629857536,1.5309727243799112
61,14,xgboost_naive_transfer,4,0.05,3,1.6902297276956364,1.3057543474294666
62,14,xgboost,4,0.05,4,2.033573851252149,1.5997864057202844
63,14,xgboost_naive_transfer,4,0.05,4,1.7205075552782705,1.3329164176609114
64,14,xgboost,4,0.05,5,2.1418301756521854,1.7068987754218452
65,14,xgboost_naive_transfer,4,0.05,5,1.7435027740392113,1.3535468208638926
66,14,xgboost,4,0.05,6,2.2963191246438766,1.8403485561119992
67,14,xgboost_naive_transfer,4,0.05,6,1.723919342405928,1.3423350454926322
68,14,xgboost,4,0.05,7,2.419767627297822,1.9131027386882156
69,14,xgboost_naive_transfer,4,0.05,7,1.8001412954473353,1.3939985877687953
70,14,xgboost,4,0.08,1,1.780015623280696,1.4358500918814145
