,seed,method,d,v,target_tree_size,rmse,mae
0,11,xgboost,3,0.005,1,2.339517453631528,1.868959012250164
1,11,xgboost_naive_transfer,3,0.005,1,3.6562612816887707,2.9753916455112703
2,11,xgboost,3,0.005,2,1.947491753594549,1.5539157398337262
3,11,xgboost_naive_transfer,3,0.005,2,3.277091894252052,2.7001613055645146
4,11,xgboost,3,0.005,3,1.9038356386287674,1.5219291938846002
5,11,xgboost_naive_transfer,3,0.005,3,2.5992731811779723,2.1874012159717746
6,11,xgboost,3,0.005,4,1.982984066797174,1.5793814190614412
7,11,xgboost_naive_transfer,3,0.005,4,2.274977268634632,1.9035250366740497
8,11,xgboost,3,0.005,5,2.140522686543182,1.710645749767383
9,11,xgboost_naive_transfer,3,0.005,5,2.2110492765148426,1.8204277283057566
10,11,xgboost,3,0.005,6,2.266158547034238,1.8508860997040657
11,11,xgboost_naive_transfer,3,0.005,6,2.208232573082012,1.8097403514727808
12,11,xgboost,3,0.005,7,2.3491398342356002,1.886933888619495
13,11,xgboost_naive_transfer,3,0.005,7,2.2459650173915935,1.8449253915514598
14,11,xgboost,3,0.01,1,1.9346135224063459,1.5328877980325712
15,11,xgboost_naive_transfer,3,0.01,1,3.401615377306693,2.795313054484093
16,11,xgboost,3,0.01,2,1.8406488375581052,1.4686750604273051
17,11,xgboost_naive_transfer,3,0.01,2,2.315207717706102,1.9471486135253433
18,11,xgboost,3,0.01,3,1.8510969317461292,1.4780473468886175
19,11,xgboost_naive_transfer,3,0.01,3,2.0461870884791002,1.6693274912226848
20,11,xgboost,3,0.01,4,1.9419577314795904,1.5464566662712005
21,11,xgboost_naive_transfer,3,0.01,4,2.057362828079906,1.6868940364310558
22,11,xgboost,3,0.01,5,2.1216436398395664,1.6904411558668695
23,11,xgboost_naive_transfer,3,0.01,5,2.0805412551535625,1.7001125709982905
24,11,xgboost,3,0.01,6,2.2612901614649448,1.8436492348882572
25,11,xgboost_naive_transfer,3,0.01,6,2.1116947918538984,1.7297550119538736
26,11,xgboost,3,0.01,7,2.3431158906148086,1.886363053517463
27,11,xgboost_naive_transfer,3,0.01,7,2.163977757314825,1.7678047203660923
28,11,xgboost,3,0.02,1,1.8461885070867776,1.4730000339933875
29,11,xgboost_naive_transfer,3,0.02,1,2.6137310075382727,2.174219033891483
30,11,xgboost,3,0.02,2,1.797379742322708,1.4354086442758027
31,11,xgboost_naive_transfer,3,0.02,2,1.9841109787078108,1.60424975739545
32,11,xgboost,3,0.02,3,1.8413720354018808,1.4684105725737646
33,11,xgboost_naive_transfer,3,0.02,3,2.0062653086704354,1.6264893065255357
34,11,xgboost,3,0.02,4,1.9335946513395696,1.538244880424582
35,11,xgboost_naive_transfer,3,0.02,4,2.0322721154155907,1.6539226082460157
36,11,xgboost,3,0.02,5,2.129711839471231,1.7010303959998796
37,11,xgboost_naive_transfer,3,0.02,5,2.067939697546296,1.6943101173935362
38,11,xgboost,3,0.02,6,2.254024112063008,1.8301969662082311
39,11,xgboost_naive_transfer,3,0.02,6,2.1019394772785023,1.7124607515724706
40,11,xgboost,3,0.02,7,2.34488869437991,1.8836565691281713
41,11,xgboost_naive_transfer,3,0.02,7,2.1601001734996395,1.7656559840696433
42,11,xgboost,3,0.03,1,1.8060146345280406,1.4473573699291231
43,11,xgboost_naive_transfer,3,0.03,1,2.2887438203980186,1.887034558540491
44,11,xgboost,3,0.03,2,1.8233096227617982,1.45487235644058
45,11,xgboost_naive_transfer,3,0.03,2,1.9955220001243579,1.6171241372899063
46,11,xgboost,3,0.03,3,1.8237366103745858,1.4562493257025462
47,11,xgboost_naive_transfer,3,0.03,3,2.0149945004766296,1.637606138635374
48,11,xgboost,3,0.03,4,1.9600747561611755,1.5536296085087435
49,11,xgboost_naive_transfer,3,0.03,4,2.040159861727147,1.6632849031672419
50,11,xgboost,3,0.03,5,2.1180063704244336,1.6877417675987996
51,11,xgboost_naive_transfer,3,0.03,5,2.0701309614741583,1.6929478301050185
52,11,xgboost,3,0.03,6,2.249038499876347,1.8279149629254612
53,11,xgboost_naive_transfer,3,0.03,6,2.0942357673326986,1.7133679541820086
54,11,xgboost,3,0.03,7,2.3651818730311547,1.897862915038652
55,11,xgboost_naive_transfer,3,0.03,7,2.162086863823193,1.7622260720930667
56,11,xgboost,3,0.05,1,1.8010864114222027,1.4444633846746158
57,11,xgboost_naive_transfer,3,0.05,1,2.193289044712303,1.7998188834123185
58,11,xgboost,3,0.05,2,1.8085168034608423,1.4430140999602425
59,11,xgboost_naive_transfer,3,0.05,2,1.9688626571401064,1.5865483899633397
60,11,xgboost,3,0.05,3,1.8582141448829306,1.4791853170654148
61,11,xgboost_naive_transfer,3,0.05,3,2.010695040335837,1.6266330002657612
62,11,xgboost,3,0.05,4,1.8935521386920746,1.4981226082389016
63,11,xgboost_naive_transfer,3,0.05,4,2.024945117555135,1.6503109007080492
64,11,xgboost,3,0.05,5,2.1335833287950385,1.6990405980954961
65,11,xgboost_naive_transfer,3,0.05,5,2.081381126259248,1.705940588476823
66,11,xgboost,3,0.05,6,2.2418048946835154,1.807009214175183
