,seed,target_column,target_instances,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,xgboost,0.01,1,2.822316056056709,2.112534395958398,2.842849793962252,2.1366760932817273
1,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,1,3.9220593683572043,3.3506125452314146,3.972903096111926,3.3673285015580805
2,1,Hgv,95,xgboost,0.01,2,2.779267280870087,2.0677442080589654,2.77800722782359,2.091174512260292
3,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,2,3.3696282103833157,2.695480134300466,3.3627190503438036,2.7046668081625325
4,1,Hgv,95,xgboost,0.01,3,2.7417053960513957,2.06425481357208,2.823697764142371,2.1226946902358894
5,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,3,3.3214046986272043,2.6929305969742248,3.4104116836302567,2.7063053058939057
6,1,Hgv,95,xgboost,0.01,4,2.7537921594437615,2.0738759676820218,2.897046241075643,2.2027052763607515
7,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,4,3.42946457217187,2.683730847229755,3.5304172903885354,2.7105627135627928
8,1,Hgv,95,xgboost,0.02,1,2.8017015043464206,2.097894476596451,2.816371080785606,2.112041004624788
9,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,1,3.925536031587297,3.3480463511917717,3.9742032307344743,3.3684755310462235
10,1,Hgv,95,xgboost,0.02,2,2.7828170875264386,2.072285655627866,2.7829481275351005,2.097629682277508
11,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,2,3.3467522405691974,2.641498683345157,3.3423915127128767,2.6507085841693314
12,1,Hgv,95,xgboost,0.02,3,2.7415481055735476,2.0618944169978812,2.8189838658683555,2.1190222680440423
13,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,3,3.3274913148195777,2.6821179088442957,3.412991876793076,2.6922316141545917
14,1,Hgv,95,xgboost,0.02,4,2.7543131913931664,2.0747105028956154,2.896241306933132,2.209579257087145
15,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,4,3.4277016283355417,2.701175340404981,3.548345859825547,2.740927371732554
16,1,Hgv,95,xgboost,0.05,1,2.7910827335069235,2.086552508410037,2.7924279872151434,2.081622219907583
17,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,1,3.9318622287514393,3.3531166742191316,3.9747860653725193,3.368642260662088
18,1,Hgv,95,xgboost,0.05,2,2.7774216901515123,2.0653355922423593,2.7706130132967384,2.0819901537690875
19,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,2,3.2038146807814907,2.439232698276406,3.2198487257262514,2.4556241661462637
20,1,Hgv,95,xgboost,0.05,3,2.7562525488187344,2.072835309127888,2.826842352377851,2.122397193036
21,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,3,3.2012921676967867,2.458628806491773,3.247037490766443,2.449722448595428
22,1,Hgv,95,xgboost,0.05,4,2.76695087917993,2.0805698886200505,2.928276602588348,2.2299999445134264
23,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,4,3.3478351153294272,2.5341211375944006,3.5389716478722604,2.6124481655586984
24,1,Hgv,95,xgboost,0.1,1,2.7862375029074498,2.080754969823183,2.784474902729381,2.073134886965316
25,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,1,3.3904993381858253,2.7181798996522537,3.3620856676181132,2.709702201535814
26,1,Hgv,95,xgboost,0.1,2,2.785383183375166,2.0703728900716563,2.773018099322503,2.072833806114998
27,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,2,3.1620540793398186,2.3998835079591463,3.158897267909422,2.3974768482631434
28,1,Hgv,95,xgboost,0.1,3,2.7567536904521455,2.077707152460258,2.8361652076641115,2.128982189097482
29,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,3,3.1872712221427433,2.362336898531032,3.2741084714689643,2.376961419852064
30,1,Hgv,95,xgboost,0.1,4,2.7979730463654824,2.108739348204481,2.9364217335016685,2.2411879530643755
31,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,4,3.414468911133575,2.616376863546352,3.566854027668954,2.664420103552333
32,1,Hgv,95,xgboost,0.15,1,2.7694536523878166,2.0697116642223223,2.777093928578566,2.0510144632735123
33,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,1,3.3365996418786965,2.6465208639541733,3.2888472557962385,2.6324616563237977
34,1,Hgv,95,xgboost,0.15,2,2.7857897425171645,2.065850169319979,2.7724491785911796,2.0669549249154127
35,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,2,3.44786746794263,2.6421408357208356,3.4838144121508803,2.6481215188393943
36,1,Hgv,95,xgboost,0.15,3,2.7645581767179084,2.0741192462894293,2.8365915388224043,2.133220939667912
37,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,3,3.363847468735043,2.4325904761153163,3.4645274983895695,2.438182133606136
38,1,Hgv,95,xgboost,0.15,4,2.7940564270981474,2.108080586907683,2.9229550536031534,2.222475049758903
39,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,4,3.458888421309848,2.5850269435515068,3.784210986440398,2.70428727980657
40,1,Hgv,190,xgboost,0.01,1,2.3772819396368234,1.7217309390675066,2.4331114484437695,1.7603829509575832
41,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,1,3.1061268711381835,2.4326720167568245,3.0563611502395265,2.381477381764775
42,1,Hgv,190,xgboost,0.01,2,2.3900182858818715,1.727284358405359,2.41669326536271,1.7467699983691594
43,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,2,2.9780837355092715,2.268053614755662,2.8891260341878593,2.187554850978597
44,1,Hgv,190,xgboost,0.01,3,2.4289380154536278,1.7609483619569217,2.4593610920044817,1.7639044025986852
45,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,3,2.7120284963729864,2.0555663411250378,2.707523451098234,1.963564186151111
46,1,Hgv,190,xgboost,0.01,4,2.5017960261257755,1.795209314698051,2.5650993628050403,1.851124905259227
47,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.01,4,2.767794683751675,2.0985040287972887,2.814542290548217,2.0428537791040173
48,1,Hgv,190,xgboost,0.02,1,2.377120506906707,1.7198893563174873,2.434006630548999,1.759484153130092
49,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,1,3.0502458257432017,2.3731089697806373,2.9873572957757166,2.3137853073203503
50,1,Hgv,190,xgboost,0.02,2,2.3875946523537017,1.7240416154012363,2.395025326160358,1.722119085085818
51,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,2,2.979274601681939,2.2754681265567296,2.8916298134505216,2.1934852750245937
52,1,Hgv,190,xgboost,0.02,3,2.426530965333444,1.7556920318309719,2.4626925404050715,1.7650611244170977
53,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,3,2.7072359076985717,2.0403702398670065,2.7076275965334275,1.9489943128630407
54,1,Hgv,190,xgboost,0.02,4,2.5006564794996917,1.7912391613778849,2.5686164371715474,1.8524082742258527
55,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.02,4,2.7595993701004455,2.0967319437486434,2.7899306746416186,2.0325422896081675
56,1,Hgv,190,xgboost,0.05,1,2.3735073999635024,1.720179018746278,2.4312288908933284,1.7591281783697568
57,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,1,3.0451926160966685,2.3690697694579725,2.9841508359765014,2.3129062562122407
58,1,Hgv,190,xgboost,0.05,2,2.380652599456705,1.7185293905274315,2.4009975424085876,1.7221897488760913
59,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,2,2.9400222455677847,2.2023659280451335,2.833952316122693,2.1151093709132303
60,1,Hgv,190,xgboost,0.05,3,2.422825267265422,1.7476875661218942,2.459373399017504,1.76071500900934
61,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,3,2.715171384186179,2.0343814985484454,2.688112118725034,1.9374329817748828
62,1,Hgv,190,xgboost,0.05,4,2.5052236257655243,1.8003361991979772,2.576616025702135,1.8583428630638383
63,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.05,4,2.746838991567754,2.063073087194515,2.775177931617387,2.012995640072631
64,1,Hgv,190,xgboost,0.1,1,2.358470453446998,1.7162277393040193,2.4307109649140184,1.7540883872429636
65,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.1,1,3.005503607822488,2.3206581615098503,2.9164389542195717,2.2376587479676013
66,1,Hgv,190,xgboost,0.1,2,2.3861109791339916,1.7269061152490879,2.380346664093019,1.6997899751504955
67,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.1,2,2.981625272622525,2.2090250782689336,2.8487897196368697,2.113689072588443
68,1,Hgv,190,xgboost,0.1,3,2.4085539014671746,1.7418905876027337,2.453941635505595,1.7553658291277525
69,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.1,3,2.7740906731316457,2.0338899270161708,2.669389993136874,1.9247815196820501
70,1,Hgv,190,xgboost,0.1,4,2.4770294968619244,1.763149265505704,2.5606818011336245,1.8486029567125106
71,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.1,4,2.6970034688544073,2.0221561403290407,2.806740010149492,2.0064932738728634
72,1,Hgv,190,xgboost,0.15,1,2.384281870122793,1.720574621697724,2.4515974951835737,1.7674596590673237
73,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.15,1,3.002251491851029,2.3101698323320394,2.9236163470065777,2.2397581514674587
74,1,Hgv,190,xgboost,0.15,2,2.3853319962902204,1.7147391721993992,2.396739008036456,1.697577130161479
75,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.15,2,2.9107647457871,2.155798720359258,2.8108536943856026,2.0614528989179624
76,1,Hgv,190,xgboost,0.15,3,2.4296369003229685,1.7494692499260467,2.4748105464539494,1.7815412901454712
77,1,Hgv,190,xgboost_naive_transfer_with_dummy,0.15,3,2.859918205066935,2.0663264276933506,2.6660108131449958,1.9205573121549044
