,seed,target_column,target_instances,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,xgboost,0.01,1,2.822316056056709,2.112534395958398,2.842849793962252,2.1366760932817273
1,1,Hgv,95,xgboost_naive_transfer,0.01,1,2.4867453482188124,1.7552352346476667,2.569740813726721,1.7971263177003474
2,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,1,2.4353292469209613,1.7503989424696997,2.532680090293337,1.8262306966762722
3,1,Hgv,95,xgboost,0.01,2,2.779267280870087,2.0677442080589654,2.77800722782359,2.091174512260292
4,1,Hgv,95,xgboost_naive_transfer,0.01,2,2.469533830038719,1.727829712175823,2.504713475205289,1.7643284171477605
5,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,2,2.4062119949444334,1.7065029891854957,2.4478741775013617,1.7844790980172114
6,1,Hgv,95,xgboost,0.01,3,2.7417053960513957,2.06425481357208,2.823697764142371,2.1226946902358894
7,1,Hgv,95,xgboost_naive_transfer,0.01,3,2.4508566593062606,1.7077603116554039,2.479704086446975,1.764953654639992
8,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,3,2.4133550083750857,1.7081199685735737,2.44976674085424,1.788128202017815
9,1,Hgv,95,xgboost,0.01,4,2.7537921594437615,2.0738759676820218,2.897046241075643,2.2027052763607515
10,1,Hgv,95,xgboost_naive_transfer,0.01,4,2.4666344652439403,1.7211226900730205,2.543847985376957,1.8373847541812973
11,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,4,2.424832365710546,1.7182779219557525,2.4990547314409763,1.8220063108492295
12,1,Hgv,95,xgboost,0.02,1,2.8017015043464206,2.097894476596451,2.816371080785606,2.112041004624788
13,1,Hgv,95,xgboost_naive_transfer,0.02,1,2.4787946915677943,1.7439863782484912,2.555801690369825,1.7868171784412075
14,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,1,2.419401729916259,1.7398464068833064,2.5128329045888735,1.821912048107954
15,1,Hgv,95,xgboost,0.02,2,2.7828170875264386,2.072285655627866,2.7829481275351005,2.097629682277508
16,1,Hgv,95,xgboost_naive_transfer,0.02,2,2.4621447276909643,1.7191259487074786,2.4872620557914473,1.7541807149375617
17,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,2,2.397062322718728,1.7042045813376272,2.4234355174906526,1.7771326814422468
18,1,Hgv,95,xgboost,0.02,3,2.7415481055735476,2.0618944169978812,2.8189838658683555,2.1190222680440423
19,1,Hgv,95,xgboost_naive_transfer,0.02,3,2.4501440858329477,1.7094724941198298,2.4813844696191794,1.7677317792252296
20,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,3,2.419173123293566,1.7147191693712314,2.4505993435436024,1.793436807102986
21,1,Hgv,95,xgboost,0.02,4,2.7543131913931664,2.0747105028956154,2.896241306933132,2.209579257087145
22,1,Hgv,95,xgboost_naive_transfer,0.02,4,2.470195708053816,1.729443619752218,2.541257182143068,1.8327645681102502
23,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,4,2.4288711787886954,1.7193258623905103,2.496413590245676,1.8192861925079356
24,1,Hgv,95,xgboost,0.05,1,2.7910827335069235,2.086552508410037,2.7924279872151434,2.081622219907583
25,1,Hgv,95,xgboost_naive_transfer,0.05,1,2.477062703646062,1.7435020182124998,2.5552459247633816,1.785913754534962
26,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,1,2.4200669933700176,1.740522606084419,2.5123661887718605,1.8206013043167892
27,1,Hgv,95,xgboost,0.05,2,2.7774216901515123,2.0653355922423593,2.7706130132967384,2.0819901537690875
28,1,Hgv,95,xgboost_naive_transfer,0.05,2,2.4617639046994912,1.7187730809172541,2.4876894812865773,1.7560640050505234
29,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,2,2.3954562412314124,1.7032606979216154,2.422422693212422,1.775621857597327
30,1,Hgv,95,xgboost,0.05,3,2.7562525488187344,2.072835309127888,2.826842352377851,2.122397193036
31,1,Hgv,95,xgboost_naive_transfer,0.05,3,2.4328969394684927,1.701436125347263,2.4652503642456374,1.7737187029225
32,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,3,2.4104060532959917,1.7089799533241805,2.44339430788638,1.7888915828161158
33,1,Hgv,95,xgboost,0.05,4,2.76695087917993,2.0805698886200505,2.928276602588348,2.2299999445134264
34,1,Hgv,95,xgboost_naive_transfer,0.05,4,2.461288724950771,1.7221552526547217,2.5457730450033753,1.8404557975586846
35,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,4,2.439340340974928,1.7279685575261914,2.4958218248761903,1.8170051146459365
36,1,Hgv,95,xgboost,0.1,1,2.7862375029074498,2.080754969823183,2.784474902729381,2.073134886965316
37,1,Hgv,95,xgboost_naive_transfer,0.1,1,2.481819459035444,1.7482791624386305,2.5572087048932803,1.7906698556618459
38,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,1,2.4245136309826285,1.7456692300290457,2.509533220915433,1.8195386553407815
39,1,Hgv,95,xgboost,0.1,2,2.785383183375166,2.0703728900716563,2.773018099322503,2.072833806114998
40,1,Hgv,95,xgboost_naive_transfer,0.1,2,2.453205252322457,1.715146900892248,2.4784976378251997,1.7474607519717253
41,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,2,2.412409035144782,1.7211063881368769,2.4293354858217113,1.7856716969264614
42,1,Hgv,95,xgboost,0.1,3,2.7567536904521455,2.077707152460258,2.8361652076641115,2.128982189097482
43,1,Hgv,95,xgboost_naive_transfer,0.1,3,2.428680802720263,1.689703226639212,2.470663214773887,1.7808197966975063
44,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,3,2.433721887394697,1.748910013358574,2.4533949963308026,1.810400112382065
45,1,Hgv,95,xgboost,0.1,4,2.7979730463654824,2.108739348204481,2.9364217335016685,2.2411879530643755
46,1,Hgv,95,xgboost_naive_transfer,0.1,4,2.4772735901039824,1.7340389018165834,2.55609560097558,1.8414620184440382
47,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,4,2.440956862005109,1.7437123275941542,2.5023077962241853,1.8271377819630223
48,1,Hgv,95,xgboost,0.15,1,2.7694536523878166,2.0697116642223223,2.777093928578566,2.0510144632735123
49,1,Hgv,95,xgboost_naive_transfer,0.15,1,2.4782929536556924,1.7380213699994722,2.537863870467891,1.784172222814939
50,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,1,2.4254076080267115,1.749196571061484,2.506064759499097,1.824278244304466
51,1,Hgv,95,xgboost,0.15,2,2.7857897425171645,2.065850169319979,2.7724491785911796,2.0669549249154127
52,1,Hgv,95,xgboost_naive_transfer,0.15,2,2.422610784916316,1.6909698074190114,2.4650418250352226,1.7820000465578367
53,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,2,2.405779180754546,1.7139584844590263,2.445759251592386,1.792810056021152
54,1,Hgv,95,xgboost,0.15,3,2.7645581767179084,2.0741192462894293,2.8365915388224043,2.133220939667912
