,seed,target_column,target_instances,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,xgboost,0.01,1,2.822316056056709,2.112534395958398,2.842849793962252,2.1366760932817273
1,1,Hgv,95,xgboost_naive_transfer,0.01,1,4.117714885447162,3.4497121080987116,4.153535153199432,3.4575437660532407
2,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,1,4.117714885447162,3.4497121080987116,4.153535153199432,3.4575437660532407
3,1,Hgv,95,xgboost,0.01,2,2.779267280870087,2.0677442080589654,2.77800722782359,2.091174512260292
4,1,Hgv,95,xgboost_naive_transfer,0.01,2,4.219966035061247,3.516108996591317,4.249772124851624,3.5317769944577
5,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,2,4.219966035061247,3.516108996591317,4.249772124851624,3.5317769944577
6,1,Hgv,95,xgboost,0.01,3,2.7417053960513957,2.06425481357208,2.823697764142371,2.1226946902358894
7,1,Hgv,95,xgboost_naive_transfer,0.01,3,3.9981439982305447,3.306597889463681,4.033443088864581,3.3227076096513666
8,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,3,3.189255850413265,2.4106648730660556,3.2625886882806183,2.4564057192457307
9,1,Hgv,95,xgboost,0.01,4,2.7537921594437615,2.0738759676820218,2.897046241075643,2.2027052763607515
10,1,Hgv,95,xgboost_naive_transfer,0.01,4,3.966745069132415,3.221169718237865,3.9825652181430793,3.2371206147076697
11,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,4,3.14282417238421,2.3188160212296927,3.250733691329336,2.382942281511945
12,1,Hgv,95,xgboost,0.02,1,2.8017015043464206,2.097894476596451,2.816371080785606,2.112041004624788
13,1,Hgv,95,xgboost_naive_transfer,0.02,1,4.10284543629118,3.4356049820204704,4.137866363643332,3.4410503675841024
14,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,1,3.5095863869696746,2.818333136007302,3.5114666558488534,2.810860611411971
15,1,Hgv,95,xgboost,0.02,2,2.7828170875264386,2.072285655627866,2.7829481275351005,2.097629682277508
16,1,Hgv,95,xgboost_naive_transfer,0.02,2,4.070818302296539,3.3660234396306525,4.111719736186194,3.3771668058144746
17,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,2,3.3602821601780777,2.6188199611132825,3.3835057992602438,2.6181610213289135
18,1,Hgv,95,xgboost,0.02,3,2.7415481055735476,2.0618944169978812,2.8189838658683555,2.1190222680440423
19,1,Hgv,95,xgboost_naive_transfer,0.02,3,3.9978844957109434,3.302787579561026,4.032200623702696,3.321725546859844
20,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,3,3.178681663427359,2.3994020778666236,3.2611132986914093,2.4454600050655837
21,1,Hgv,95,xgboost,0.02,4,2.7543131913931664,2.0747105028956154,2.896241306933132,2.209579257087145
22,1,Hgv,95,xgboost_naive_transfer,0.02,4,3.97275281871827,3.225891788931835,3.9795999986551815,3.232822017932367
23,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,4,3.3869005258428895,2.575108369402266,3.4947925790684264,2.652489378026376
24,1,Hgv,95,xgboost,0.05,1,2.7910827335069235,2.086552508410037,2.7924279872151434,2.081622219907583
25,1,Hgv,95,xgboost_naive_transfer,0.05,1,4.040868134659333,3.375909421886132,4.067905297921396,3.3690855979695433
26,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,1,3.4698300574313974,2.775765569127564,3.4665887610972344,2.7655272998592206
27,1,Hgv,95,xgboost,0.05,2,2.7774216901515123,2.0653355922423593,2.7706130132967384,2.0819901537690875
28,1,Hgv,95,xgboost_naive_transfer,0.05,2,4.054665294241298,3.327263437302891,4.066973854561926,3.304012362201467
29,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,2,3.1584081987663617,2.371323035196791,3.152112135057096,2.369139600252054
30,1,Hgv,95,xgboost,0.05,3,2.7562525488187344,2.072835309127888,2.826842352377851,2.122397193036
31,1,Hgv,95,xgboost_naive_transfer,0.05,3,4.006713581470747,3.3027140619080164,4.063289063742407,3.329946636479866
32,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,3,3.09138388962433,2.319440386769218,3.1923595986685966,2.3764082026266373
33,1,Hgv,95,xgboost,0.05,4,2.76695087917993,2.0805698886200505,2.928276602588348,2.2299999445134264
34,1,Hgv,95,xgboost_naive_transfer,0.05,4,4.008392119544445,3.2350158498673762,4.0377642424833775,3.2572336813130556
35,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.05,4,3.0422696478293654,2.1881155387765037,3.2258666284336956,2.316555580181159
36,1,Hgv,95,xgboost,0.1,1,2.7862375029074498,2.080754969823183,2.784474902729381,2.073134886965316
37,1,Hgv,95,xgboost_naive_transfer,0.1,1,4.063972874858283,3.403827979077348,4.0897816130400395,3.3993912722258632
38,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,1,3.502991243919185,2.807861784185923,3.4979841377041625,2.800600095325594
39,1,Hgv,95,xgboost,0.1,2,2.785383183375166,2.0703728900716563,2.773018099322503,2.072833806114998
40,1,Hgv,95,xgboost_naive_transfer,0.1,2,4.088387916485914,3.370140795887975,4.104738729243523,3.356145320815444
41,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,2,3.1335217730648703,2.3372507714441313,3.1282405011294756,2.3376416295115043
42,1,Hgv,95,xgboost,0.1,3,2.7567536904521455,2.077707152460258,2.8361652076641115,2.128982189097482
43,1,Hgv,95,xgboost_naive_transfer,0.1,3,4.048730965124729,3.3221240376647514,4.128623075464861,3.360635226924612
44,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,3,3.024062415799124,2.238298541104699,3.135477968773127,2.3229391966539303
45,1,Hgv,95,xgboost,0.1,4,2.7979730463654824,2.108739348204481,2.9364217335016685,2.2411879530643755
46,1,Hgv,95,xgboost_naive_transfer,0.1,4,3.989573373372244,3.2111684468260315,4.034067795074741,3.2646972758054673
47,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.1,4,3.119458441485956,2.249583123196287,3.3182088195594703,2.382286653744289
48,1,Hgv,95,xgboost,0.15,1,2.7694536523878166,2.0697116642223223,2.777093928578566,2.0510144632735123
49,1,Hgv,95,xgboost_naive_transfer,0.15,1,4.0732209306432114,3.4055813628572604,4.096151588375385,3.384404969449958
50,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.15,1,3.3847769024565117,2.683347213594354,3.346936251349763,2.6471813184487987
51,1,Hgv,95,xgboost,0.15,2,2.7857897425171645,2.065850169319979,2.7724491785911796,2.0669549249154127
52,1,Hgv,95,xgboost_naive_transfer,0.15,2,4.0741826468979525,3.347994669176256,4.117456489956689,3.346918041293521
