,seed,splitting_variable,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,CRIM,xgboost,0.01,1,4.743838870411704,3.589452345896575,4.7695879422112775,3.0750291093190514
1,1,CRIM,xgboost_naive_transfer,0.01,1,4.539278905166744,3.4073354915036993,4.984091237923596,3.21373703956604
2,1,CRIM,xgboost,0.01,2,4.274307089759457,3.0533977152937553,4.18372504244152,2.687439861297607
3,1,CRIM,xgboost_naive_transfer,0.01,2,4.559410331186235,3.263612288135594,4.945283525583667,3.23568954149882
4,1,CRIM,xgboost,0.01,3,4.187337708042476,3.062725038043523,4.218702511839199,2.917624495824178
5,1,CRIM,xgboost_naive_transfer,0.01,3,3.888138840311391,2.9115497071864245,5.155113975353143,3.229745267232259
6,1,CRIM,xgboost,0.01,4,3.592844700672521,2.756500415478723,4.434653274248358,3.1788271268208823
7,1,CRIM,xgboost_naive_transfer,0.01,4,3.744504915013659,2.7574820760953225,5.085014648007614,3.066908613840739
8,1,CRIM,xgboost,0.02,1,4.479722350650563,3.282083297988116,4.724239677906678,3.1378095626831053
9,1,CRIM,xgboost_naive_transfer,0.02,1,4.266657218071464,3.0875139236450195,4.940187231847523,3.2479528935750324
10,1,CRIM,xgboost,0.02,2,4.3036559607853135,3.0858275235709502,4.1821356917459775,2.6916204516092934
11,1,CRIM,xgboost_naive_transfer,0.02,2,4.477559192922152,3.1784365799467444,4.975088169543022,3.259836483001709
12,1,CRIM,xgboost,0.02,3,4.1201275015316625,2.9644563998206186,4.1781153835875,2.8682990233103434
13,1,CRIM,xgboost_naive_transfer,0.02,3,3.880480708471927,2.9310115006010413,5.152338324405038,3.2261378733317057
14,1,CRIM,xgboost,0.02,4,3.566403576877201,2.6938700239537128,4.392855408478777,3.1538622760772705
15,1,CRIM,xgboost_naive_transfer,0.02,4,3.7194413543519698,2.7460292072619423,5.146514324478051,3.1064711729685466
16,1,CRIM,xgboost,0.05,1,4.470351545271188,3.2714133990012995,4.726482330962721,3.161961793899536
17,1,CRIM,xgboost_naive_transfer,0.05,1,4.368569971202039,3.207250304141287,4.929075418096974,3.2226397546132404
