,seed,target_column,target_instances,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,33,Volume,190,xgboost,0.01,1,72.78907515626791,53.73439628954817,82.67530122376532,58.615593043776414
1,33,Volume,190,xgboost_naive_transfer,0.01,1,75.55304776729076,54.7563037341239,83.90562593419062,60.00560972288034
2,33,Volume,190,xgboost_naive_transfer_with_dummy,0.01,1,75.55304776729076,54.7563037341239,83.90562593419062,60.00560972288034
3,33,Volume,190,xgboost,0.01,2,69.38662982823526,49.86076128416096,80.09949921369817,55.08102467612795
4,33,Volume,190,xgboost_naive_transfer,0.01,2,73.81420278886631,52.66722423568752,82.43608613917813,57.667495667946184
5,33,Volume,190,xgboost_naive_transfer_with_dummy,0.01,2,73.81420278886631,52.66722423568752,82.43608613917813,57.667495667946184
6,33,Volume,190,xgboost,0.01,3,68.36015777463365,49.124885637967274,80.66829727489063,55.108634045270826
7,33,Volume,190,xgboost_naive_transfer,0.01,3,71.09445538172876,50.180323369985544,80.99159375334037,55.9415987434297
8,33,Volume,190,xgboost_naive_transfer_with_dummy,0.01,3,71.09445538172876,50.180323369985544,80.99159375334037,55.9415987434297
9,33,Volume,190,xgboost,0.01,4,69.79171787574764,49.93009395565406,82.68422601625716,55.88773117449117
10,33,Volume,190,xgboost_naive_transfer,0.01,4,70.7150064699784,49.86893122753573,82.22411486838867,56.862931471663515
11,33,Volume,190,xgboost_naive_transfer_with_dummy,0.01,4,70.7150064699784,49.86893122753573,82.22411486838867,56.862931471663515
12,33,Volume,190,xgboost,0.02,1,72.72883199687311,53.71125966649393,82.63960742753281,58.59184628827683
13,33,Volume,190,xgboost_naive_transfer,0.02,1,75.58580309693065,54.797161065249256,83.97410075016735,60.058043787200695
14,33,Volume,190,xgboost_naive_transfer_with_dummy,0.02,1,75.58580309693065,54.797161065249256,83.97410075016735,60.058043787200695
15,33,Volume,190,xgboost,0.02,2,69.38708332335145,49.951787540553994,80.02407749394904,55.147398432042046
16,33,Volume,190,xgboost_naive_transfer,0.02,2,73.73941044521395,52.44731101972443,82.33642264970538,57.50636660716084
