,seed,d,lr,n_estimators,tree_size,rmse,mae
0,930.0,3.0,0.1,10.0,1.0,3.3115067289349236,2.605940951839889
1,930.0,3.0,0.1,10.0,2.0,3.0106529949642438,2.466788894914529
2,930.0,3.0,0.1,10.0,3.0,2.9953562299842775,2.44775191180906
3,930.0,3.0,0.1,10.0,4.0,2.7901058326805126,2.2149980836741454
4,930.0,3.0,0.1,20.0,1.0,3.3115067289349236,2.605940951839889
5,930.0,3.0,0.1,20.0,2.0,3.0106529949642438,2.466788894914529
6,930.0,3.0,0.1,20.0,3.0,3.0308102408898527,2.4375616418798836
7,930.0,3.0,0.1,20.0,4.0,2.84414799458663,2.278514974208635
8,930.0,3.0,0.1,30.0,1.0,3.3115067289349236,2.605940951839889
9,930.0,3.0,0.1,30.0,2.0,3.0106529949642438,2.466788894914529
10,930.0,3.0,0.1,30.0,3.0,3.0308102408898527,2.4375616418798836
11,930.0,3.0,0.1,30.0,4.0,2.8420036557396573,2.2826772601424925
12,930.0,3.0,0.1,50.0,1.0,3.3115067289349236,2.605940951839889
13,930.0,3.0,0.1,50.0,2.0,3.263045222141756,2.541092611475702
14,930.0,3.0,0.1,50.0,3.0,3.0315588753625025,2.4831198738139575
15,930.0,3.0,0.1,50.0,4.0,2.920795423880214,2.349920296185641
