,seed,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
0,930,3,LSTransferTreeBoost,0.05,1,1,0.01,0.9,1000,1.013243307670548,0.8072905708183397,1.0155912329730383,0.8078742725477762
1,930,3,LSTransferTreeBoost,0.05,1,1,0.0,0.5,1000,1.0297044652591767,0.8169699640665484,1.0288433277705942,0.8220381678264762
2,930,3,LSTransferTreeBoost,0.05,1,2,0.01,0.9,1000,0.837919854637602,0.663261574652174,0.830048243855067,0.6610480744577226
3,930,3,LSTransferTreeBoost,0.05,1,2,0.0,0.5,1000,0.8494650358972857,0.6751639594426369,0.8393507680665496,0.6705235540984201
4,930,3,LSTransferTreeBoost,0.05,1,3,0.01,0.9,1000,0.9725758960735322,0.7612319466072915,0.9506253484513536,0.7486283656334579
5,930,3,LSTransferTreeBoost,0.05,1,3,0.0,0.5,1000,1.0063863162821658,0.7845875945222773,0.9889513495989758,0.7845034374537445
6,930,3,LSTransferTreeBoost,0.05,2,1,0.01,0.9,1000,0.6618666094574973,0.5116849596854598,0.6692025548368555,0.524129148236444
7,930,3,LSTransferTreeBoost,0.05,2,1,0.0,0.5,1000,0.6942508419051591,0.5392074021194144,0.6924720186476133,0.5401746057032817
8,930,3,LSTransferTreeBoost,0.05,2,2,0.01,0.9,1000,0.7131190112463948,0.5555726897906188,0.6999481007339351,0.5607857599181367
9,930,3,LSTransferTreeBoost,0.05,2,2,0.0,0.5,1000,0.7304627808158074,0.5665958286677676,0.7158022997074988,0.5708230534070156
10,930,3,LSTransferTreeBoost,0.05,2,3,0.01,0.9,1000,0.8384574913589151,0.6603331114675324,0.8323454481278764,0.666213041376838
11,930,3,LSTransferTreeBoost,0.05,2,3,0.0,0.5,1000,0.888000594452612,0.6973910130408544,0.8662769330395934,0.6878523786615955
12,930,3,LSTransferTreeBoost,0.05,3,1,0.01,0.9,1000,0.6208402908843346,0.484529664328256,0.6376812900744169,0.5078977705725157
13,930,3,LSTransferTreeBoost,0.05,3,1,0.0,0.5,1000,0.6743711709582519,0.5316502170224197,0.6685720725595822,0.5227230129521259
14,930,3,LSTransferTreeBoost,0.05,3,2,0.01,0.9,1000,0.669610277971317,0.5262801383207498,0.6483869419699604,0.5263742978530547
