,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,380,TradaBoostR2,10,0.1,1,3.4384353401956966,2.5306729166444857,3.4291880621774333,2.497561218600373
0,1,Hgv,380,TradaBoostR2,10,0.1,2,4.091212479654385,2.756536594310957,4.789968192033459,2.922557062365027
0,1,Hgv,380,TradaBoostR2,10,0.5,1,3.0213275260716475,2.119823081834902,2.873344772239585,2.064242478210927
0,2,Hgv,95,TradaBoostR2,10,0.1,1,4.573841528115777,3.348266714982007,8.035441534541715,4.40100900638657
0,1,Hgv,380,TradaBoostR2,10,0.5,2,3.138688862751977,2.1794444709555862,3.274948725793912,2.2202451873025404
0,2,Hgv,95,TradaBoostR2,10,0.1,2,8.023634021713939,4.163303261443121,17.304557692745657,5.317579173543266
0,2,Hgv,95,TradaBoostR2,10,0.5,1,3.5968176552498856,2.7121682640116505,3.8569028634831013,2.8890439800051104
0,1,Hgv,380,TradaBoostR2,20,0.1,1,3.241746079868887,2.3841013701905878,3.2095247135629137,2.3527155980072756
0,2,Hgv,475,TradaBoostR2,10,0.1,1,3.2629045589260786,2.439888339748888,3.7514910958163474,2.46997679848733
0,2,Hgv,95,TradaBoostR2,10,0.5,2,4.909434417426956,3.307187262720384,5.261411197119557,3.6071540177085817
0,1,Hgv,95,TradaBoostR2,10,0.1,1,4.744405461603527,3.648917863258134,5.963590620409263,3.829199839421816
0,2,Hgv,475,TradaBoostR2,10,0.1,2,3.2418613815353003,2.42714554422157,3.2592189712423014,2.413285090883769
0,1,Hgv,380,TradaBoostR2,20,0.1,2,3.4119592874744606,2.4747108606198043,3.623992525333506,2.377035672788275
0,1,Hgv,665,TradaBoostR2,10,0.1,1,2.921940132426462,2.195912588339991,2.9044593934260474,2.1391504408156603
0,2,Hgv,95,TradaBoostR2,20,0.1,1,3.88160458124111,3.0460453568303807,3.928165783789112,3.03947505046918
0,2,Hgv,475,TradaBoostR2,10,0.5,1,2.3456695052304424,1.709701405618078,2.265395960760173,1.746919130268545
0,1,Hgv,95,TradaBoostR2,10,0.1,2,6.970949040061809,4.811931161667869,10.246922393478616,5.459434410139519
0,1,Hgv,380,TradaBoostR2,20,0.5,1,2.846209282878901,1.9873952911049841,2.8233718030631016,2.02450990538126
0,1,Hgv,665,TradaBoostR2,10,0.1,2,3.1014240721663127,2.2488416081227602,3.1021477724540514,2.208276861506796
0,1,Hgv,95,TradaBoostR2,10,0.5,1,4.266854650648421,3.135955575077788,4.0339460876440505,2.9575458785676134
0,2,Hgv,475,TradaBoostR2,10,0.5,2,2.7886831110109096,1.9074393440841093,2.9651103804703327,1.8430412706331492
0,1,Hgv,665,TradaBoostR2,10,0.5,1,2.421785550978333,1.8528816299098099,2.4152421264530695,1.8310132928612635
0,2,Hgv,285,TradaBoostR2,10,0.1,1,3.5961102947092707,2.657592551826424,5.370456967055987,3.039564060476671
0,1,Hgv,760,TradaBoostR2,10,0.1,1,2.932412727962384,2.1810598113605786,2.961585747553973,2.129339810743089
0,2,Hgv,95,TradaBoostR2,20,0.1,2,7.977825845528975,4.064910464923747,17.283806777881473,5.221121759829849
0,1,Hgv,95,TradaBoostR2,10,0.5,2,4.6386173800256785,3.3480760797431013,4.929464095402492,3.3703977265767793
0,2,Hgv,475,TradaBoostR2,20,0.1,1,3.0467443243519567,2.2548495116841565,3.6513102806831643,2.286218112886967
0,1,Hgv,665,TradaBoostR2,10,0.5,2,2.45351915428484,1.8731720004297998,2.6307898892558876,1.9377258256932681
0,1,Hgv,380,TradaBoostR2,20,0.5,2,3.2054274247982417,2.275047725304308,3.912499570724932,2.5539355526026783
0,2,Hgv,285,TradaBoostR2,10,0.1,2,4.028453204064695,3.010477682669424,6.063208634081839,3.5913423116038365
0,1,Hgv,760,TradaBoostR2,10,0.1,2,3.0404684791900114,2.227082302579462,3.3686473687378724,2.3273961580237503
0,2,Hgv,95,TradaBoostR2,20,0.5,1,3.121602592679874,2.3419160454304886,3.365892514688399,2.473903600309789
0,1,Hgv,95,TradaBoostR2,20,0.1,1,4.392902221416987,3.251495354347934,5.222399137041893,3.373490325853375
0,2,Hgv,285,TradaBoostR2,10,0.5,1,2.54035347330093,1.9107983225328988,2.811806552749323,2.1342887019470727
0,1,Hgv,760,TradaBoostR2,10,0.5,1,2.351677834447156,1.7797509910812435,2.4053580848942917,1.7836629538108681
0,1,Hgv,665,TradaBoostR2,20,0.1,1,2.642320981631311,2.035948456942967,2.668597473309827,2.0349739243503917
0,1,Hgv,380,TradaBoostR2,30,0.1,1,2.74955314204487,2.0725549563563006,2.875400548563898,2.1262910197575815
0,2,Hgv,475,TradaBoostR2,20,0.1,2,5.861371931056694,2.7116831789630185,36.37240780287118,4.220830285665082
0,2,Hgv,285,TradaBoostR2,10,0.5,2,2.9271603956052576,2.1514605816639087,3.705130433808869,2.4443916734116167
0,1,Hgv,760,TradaBoostR2,10,0.5,2,2.5867260168700876,1.874745757668214,2.5865851384754084,1.9132672618912625
0,2,Hgv,475,TradaBoostR2,20,0.5,1,2.556121144613402,1.7852731049507182,2.526837147375426,1.7755337503764306
0,2,Hgv,95,TradaBoostR2,20,0.5,2,3.6640867790826617,2.8355928124982475,4.9580641001880785,3.161093043839031
0,1,Hgv,665,TradaBoostR2,20,0.1,2,2.9053512239772,2.185125468444509,2.7867986817743673,2.0967502267790574
0,2,Hgv,285,TradaBoostR2,20,0.1,1,3.0571609519311083,2.3976310909220397,3.192061922565385,2.4637454815318622
0,1,Hgv,95,TradaBoostR2,20,0.1,2,6.9973989163322186,4.731463875008481,10.738626624406896,5.525736128918296
0,1,Hgv,760,TradaBoostR2,20,0.1,1,2.525503250702808,1.9572037380729574,2.62796636359405,1.9795113767833774
0,2,Hgv,190,TradaBoostR2,10,0.1,1,3.463770658498579,2.742982014159923,3.783307611491926,2.902448123726672
0,1,Hgv,475,TradaBoostR2,10,0.1,1,3.314515758687431,2.4623317792528705,3.2305891391334094,2.425948045252975
0,1,Hgv,285,TradaBoostR2,10,0.1,1,3.769096968402993,2.7643591332788158,3.7007043383573857,2.6857979624703785
0,1,Hgv,665,TradaBoostR2,20,0.5,1,2.5672484544138423,1.9481625477905686,2.5669809104186316,1.9383370135319953
0,1,Hgv,380,TradaBoostR2,30,0.1,2,3.3577905401812354,2.39514622228674,4.029292133142686,2.4370956715482164
0,2,Hgv,190,TradaBoostR2,10,0.1,2,6.954912449359425,3.5269634313048908,14.892330482077387,5.040458025791734
0,1,Hgv,95,TradaBoostR2,20,0.5,1,4.257817309100745,3.1026322989292163,4.184012870949986,2.910068619668897
0,1,Hgv,475,TradaBoostR2,10,0.1,2,3.545544926729582,2.6406316937780505,3.246970341641477,2.467098710919603
0,2,Hgv,95,TradaBoostR2,30,0.1,1,3.7952042597592066,2.95285681613883,3.80641627934291,2.944927992090407
0,1,Hgv,285,TradaBoostR2,10,0.1,2,4.631360946422296,2.9625187713783263,6.853176576416622,3.1799548602855534
0,2,Hgv,475,TradaBoostR2,20,0.5,2,2.4062369072225276,1.7033343767300149,2.248963602958422,1.6509366248911905
0,2,Hgv,190,TradaBoostR2,10,0.5,1,2.8668462624048647,2.2158674773733673,3.0884157772019663,2.361385648032516
0,2,Hgv,285,TradaBoostR2,20,0.1,2,3.094832953415739,2.3942897310587403,3.3241383265830673,2.5165779942918194
0,1,Hgv,475,TradaBoostR2,10,0.5,1,2.583209246097104,1.9448527591567253,2.7272213852721405,2.0027224632429306
0,1,Hgv,760,TradaBoostR2,20,0.1,2,2.806796066079197,2.1154913451428743,3.0650899372208844,2.1319895623224094
0,1,Hgv,285,TradaBoostR2,10,0.5,1,2.9357726523621333,2.267300641842073,3.2357227721038653,2.3928434137869266
0,1,Hgv,380,TradaBoostR2,30,0.5,1,2.865869510565321,2.0826243202907992,2.9268376029995835,2.12595194023659
0,2,Hgv,285,TradaBoostR2,20,0.5,1,2.383516595146408,1.7572156727705814,2.470790824163806,1.854686750887177
0,1,Hgv,190,TradaBoostR2,10,0.1,1,4.411679700523346,3.166440344461038,4.8287917440117525,3.156038215520851
0,2,Hgv,190,TradaBoostR2,10,0.5,2,3.181233501685641,2.396662525487887,3.6146497968887683,2.642474693687086
0,1,Hgv,665,TradaBoostR2,20,0.5,2,2.4367641680698857,1.8046227442415874,2.5096270268357506,1.8356212717371252
0,1,Hgv,475,TradaBoostR2,10,0.5,2,2.8241639480739873,2.044648064352234,3.0636680769933817,2.1805865983154056
0,2,Hgv,475,TradaBoostR2,30,0.1,1,2.8320619670242846,2.0737246789664363,3.646841508096401,2.124520779926432
0,1,Hgv,760,TradaBoostR2,20,0.5,1,2.6123757142722623,1.9856948286131808,2.6257367804999814,1.9948298529172053
0,1,Hgv,285,TradaBoostR2,10,0.5,2,3.0575281779217147,2.2739707501043136,3.196032012671629,2.3523322398582533
0,1,Hgv,95,TradaBoostR2,20,0.5,2,5.579473493292894,3.842246000497718,5.210096248683235,3.7326506710889964
0,1,Hgv,190,TradaBoostR2,10,0.1,2,4.090036429722001,3.14298196328061,5.050586264829978,3.417828194674799
0,2,Hgv,190,TradaBoostR2,20,0.1,1,3.329101396528165,2.564329047836455,3.543191052699968,2.730084784299496
0,1,Hgv,285,TradaBoostR2,20,0.1,1,3.3800659189870896,2.501470981092743,3.1592827660457656,2.423892444177671
0,2,Hgv,95,TradaBoostR2,30,0.1,2,4.935398361105539,3.316030936493662,13.164567782987419,4.484831775633753
0,1,Hgv,475,TradaBoostR2,20,0.1,1,2.9614557853108683,2.218300059530453,3.0558116108885547,2.2497692559081375
0,2,Hgv,285,TradaBoostR2,20,0.5,2,2.530057484665647,1.847105799680329,2.6848147703033223,1.963047935957298
0,1,Hgv,190,TradaBoostR2,10,0.5,1,2.981685855756171,2.3257153475167933,2.972951171482959,2.307160094990531
0,1,Hgv,665,TradaBoostR2,30,0.1,1,3.1815685086299954,2.2095342438612935,2.6559833686433727,2.0180863627397096
0,1,Hgv,760,TradaBoostR2,20,0.5,2,2.389737186306587,1.7961060351586764,2.5641290486970134,1.9151762408043338
0,1,Hgv,95,TradaBoostR2,30,0.1,1,4.518090704695452,3.2866197473356085,4.232964904033107,3.080712777491484
0,1,Hgv,380,TradaBoostR2,30,0.5,2,2.82285461174866,2.0247469525235795,3.005848629937764,2.1353550755592647
0,1,Hgv,190,TradaBoostR2,10,0.5,2,3.405040346557864,2.5796465673122952,3.6958110145352343,2.6345259974906305
0,2,Hgv,475,TradaBoostR2,30,0.1,2,5.74293234795245,2.5570709297848007,36.534342683478705,3.9930272944045915
