,seed,target_column,target_instances,method,n_estimators,lr,tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,TradaBoostR2,10,0.1,1,3.2559176652042923,2.0579860148946536,4.932813851189461,2.327677491852904
1,1,Hgv,95,TradaBoostR2,10,0.1,2,3.066721131940742,2.05660034592019,3.591750781775539,2.209367182349066
2,2,Hgv,190,TradaBoostR2,10,0.1,1,2.0957030986822547,1.4821204813766475,2.121658565958211,1.5620183804279737
3,2,Hgv,95,TradaBoostR2,10,0.1,1,2.1205010419843253,1.50711970790714,2.205632231881468,1.6386189233397712
4,1,Hgv,95,TradaBoostR2,10,0.5,1,2.618928111330548,1.9200901247567117,2.7323887580865702,1.937875414136937
5,2,Hgv,285,TradaBoostR2,10,0.1,1,2.180416936358512,1.529046786088999,2.5552249053177483,1.6507791360876145
6,1,Hgv,380,TradaBoostR2,10,0.1,1,2.267601323454675,1.6079573769395703,2.460560317264965,1.7474093488084177
7,2,Hgv,190,TradaBoostR2,10,0.1,2,2.5343310987108727,1.7155933374868442,2.416194085462473,1.7252479142740669
8,2,Hgv,95,TradaBoostR2,10,0.1,2,2.4155264216176744,1.718059201458507,2.2832059068895525,1.6996899770759335
9,1,Hgv,285,TradaBoostR2,10,0.1,1,2.794941540264741,1.824470615351684,2.626254386173801,1.8300005806138344
10,1,Hgv,95,TradaBoostR2,10,0.5,2,3.0965347389833924,2.016654004368263,2.794554840764335,1.883806670565956
11,1,Hgv,380,TradaBoostR2,10,0.1,2,2.384956188166948,1.6587135118672522,2.7127327449225125,1.7909779607179817
12,2,Hgv,190,TradaBoostR2,10,0.5,1,2.4733882733716794,1.7704506188110654,5.741401882974995,2.0165530029690464
13,2,Hgv,285,TradaBoostR2,10,0.1,2,2.365713452354409,1.6402315151388684,2.8985755293268505,1.8811978658100583
14,2,Hgv,380,TradaBoostR2,10,0.1,1,2.6651505759176937,1.5812629914574132,2.1463404642825346,1.5866748890963112
15,2,Hgv,95,TradaBoostR2,10,0.5,1,2.5160634974116256,1.7809084812254723,2.659414382363633,1.885797944253245
16,1,Hgv,475,TradaBoostR2,10,0.1,1,2.23193323873545,1.580140164150351,2.208729898148157,1.5697799814583338
17,1,Hgv,380,TradaBoostR2,10,0.5,1,2.710453646558686,1.9444592268524603,2.6820761415904784,1.9638833917693803
18,1,Hgv,190,TradaBoostR2,10,0.1,1,2.403868636560809,1.6905767379056087,2.774792345555595,1.8793533604828327
19,2,Hgv,285,TradaBoostR2,10,0.5,1,2.331693907501,1.6999455302296809,2.462233716596894,1.8518022900772515
20,1,Hgv,285,TradaBoostR2,10,0.1,2,3.0580299772833146,1.924084419687044,3.326883722899672,2.07288666842554
21,2,Hgv,190,TradaBoostR2,10,0.5,2,3.171877240041167,2.017127847383736,9.449558406868348,2.704030868599678
22,1,Hgv,665,TradaBoostR2,10,0.1,1,2.154912926366769,1.5433944054957291,2.134783930178876,1.5235159170040151
23,1,Hgv,95,TradaBoostR2,20,0.1,1,2.300853252627737,1.6275334444017349,2.306455570239397,1.621614907313555
24,2,Hgv,95,TradaBoostR2,10,0.5,2,2.4006149109903685,1.7226626396935123,2.3594247650707434,1.7957792288714656
25,1,Hgv,475,TradaBoostR2,10,0.1,2,2.328184231733667,1.668677706530568,2.4033821902622208,1.7311914007746063
26,2,Hgv,380,TradaBoostR2,10,0.1,2,3.274890740183502,1.647508539780226,2.3950162435097577,1.6740778784841737
27,1,Hgv,380,TradaBoostR2,10,0.5,2,2.867063448213626,1.9778819226796265,3.036018237564232,2.10905530418632
28,1,Hgv,285,TradaBoostR2,10,0.5,1,2.6158429568025547,1.930730493905412,2.839168994611848,1.969532344287627
29,1,Hgv,190,TradaBoostR2,10,0.1,2,5.142428813188746,2.559047726087766,5.755476369074464,2.753016167726819
30,2,Hgv,285,TradaBoostR2,10,0.5,2,2.52143756833546,1.7885689651623913,2.537361118615945,1.86307019691532
31,1,Hgv,475,TradaBoostR2,10,0.5,1,2.749545224406696,1.9999408492403827,2.8407773284367224,2.037527581322963
32,2,Hgv,380,TradaBoostR2,10,0.5,1,2.7536726704299563,1.896675315078012,9.552839206569208,2.559837711120219
33,1,Hgv,570,TradaBoostR2,10,0.1,1,2.198534764186161,1.5532281801722878,2.2103042433256577,1.5679490737943242
34,2,Hgv,190,TradaBoostR2,20,0.1,1,2.230432406400813,1.576373154364765,3.7956793160753657,1.8025210517961137
35,1,Hgv,665,TradaBoostR2,10,0.1,2,2.2435960813622504,1.6258538960784945,2.36735862501728,1.7032341501589303
36,1,Hgv,190,TradaBoostR2,10,0.5,1,2.499050305963267,1.8438438676394235,2.6853273467876924,1.9099522603824253
37,2,Hgv,95,TradaBoostR2,20,0.1,1,2.190249454499386,1.5630925677718213,2.25578580847066,1.6765692870574929
38,1,Hgv,285,TradaBoostR2,10,0.5,2,2.888092757599286,1.977592480229204,2.950731526888416,2.0365754988109708
39,1,Hgv,855,TradaBoostR2,10,0.1,1,2.158003968478943,1.5538322501343131,2.1857548676175385,1.5343218932144973
40,1,Hgv,380,TradaBoostR2,20,0.1,1,2.2480751669960832,1.5886520627607297,2.267223889411542,1.6296602929100854
41,1,Hgv,665,TradaBoostR2,10,0.5,1,2.516984623612306,1.9048025676851748,2.596858853253165,1.944075021679556
42,2,Hgv,475,TradaBoostR2,10,0.1,1,2.492613686907542,1.581933244308663,2.146316695885275,1.579810230228079
43,1,Hgv,95,TradaBoostR2,20,0.1,2,2.575660770207423,1.867351360440976,2.7688073391379318,1.842234741681912
44,1,Hgv,475,TradaBoostR2,10,0.5,2,2.6692990891846966,1.961826281935993,2.741823832809413,2.0256608725063154
45,2,Hgv,285,TradaBoostR2,20,0.1,1,2.0908268362720746,1.502371577314372,2.096575879667369,1.5405260313974545
46,2,Hgv,380,TradaBoostR2,10,0.5,2,2.400463957367716,1.7311649135588072,2.358569398275915,1.7333226258039771
47,1,Hgv,570,TradaBoostR2,10,0.1,2,2.211036680942034,1.5699923967570566,2.2456618410500035,1.6058590484281352
