,seed,target_column,target_instances,method,v,target_tree_size,val_rmse,val_mae,rmse,mae
0,1,Hgv,95,xgboost,0.01,1,2.822316056056709,2.112534395958398,2.842849793962252,2.1366760932817273
1,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,1,2.461416384369339,1.7770361108679122,2.511955736193533,1.8522923526316308
2,1,Hgv,95,xgboost,0.01,2,2.779267280870087,2.0677442080589654,2.77800722782359,2.091174512260292
3,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,2,2.453604156916099,1.760649600997245,2.469916426035915,1.823691250069921
4,1,Hgv,95,xgboost,0.01,3,2.7417053960513957,2.06425481357208,2.823697764142371,2.1226946902358894
5,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,3,2.459941591020332,1.7597107033247563,2.493696876032121,1.8232115813364376
6,1,Hgv,95,xgboost,0.01,4,2.7537921594437615,2.0738759676820218,2.897046241075643,2.2027052763607515
7,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.01,4,2.5323677733283407,1.7950549032362242,2.5833818144120206,1.8979701852345836
8,1,Hgv,95,xgboost,0.02,1,2.8017015043464206,2.097894476596451,2.816371080785606,2.112041004624788
9,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,1,2.452081975401291,1.7729253959046705,2.5043442659176263,1.8530886365441126
10,1,Hgv,95,xgboost,0.02,2,2.7828170875264386,2.072285655627866,2.7829481275351005,2.097629682277508
11,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,2,2.4531538430048023,1.7602213424072897,2.4629645420468913,1.822138071209446
12,1,Hgv,95,xgboost,0.02,3,2.7415481055735476,2.0618944169978812,2.8189838658683555,2.1190222680440423
13,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,3,2.4576192499795706,1.7619694009850335,2.4854660838866245,1.8190474606128875
14,1,Hgv,95,xgboost,0.02,4,2.7543131913931664,2.0747105028956154,2.896241306933132,2.209579257087145
15,1,Hgv,95,xgboost_naive_transfer_with_dummy,0.02,4,2.52775528699894,1.7935519717923425,2.58278536117621,1.901201079421884
