,v,source_tree_size,target_tree_size,m_0,k,total_rank
4710,0.1,2,1,0.5,0.01,15.957362261261071
4713,0.1,2,1,0.9,0.01,16.03165271279804
4791,0.1,3,1,0.5,0.01,16.094248097397607
4794,0.1,3,1,0.9,0.01,16.112495547265716
4620,0.1,1,1,0.5,0.0,16.19000899597432
4779,0.1,3,1,0.1,0.0,16.20081051227927
4698,0.1,2,1,0.1,0.0,16.21711489906444
4701,0.1,2,1,0.5,0.0,16.227052818047834
4800,0.1,3,1,0.5,0.05,16.25030528827428
4782,0.1,3,1,0.5,0.0,16.26323056269544
4803,0.1,3,1,0.9,0.05,16.274164009806
4788,0.1,3,1,0.1,0.01,16.3669463003004
4740,0.1,2,2,0.9,0.01,16.37691114851219
4629,0.1,1,1,0.5,0.01,16.37699022880185
4548,0.05,3,1,0.5,0.01,16.38026776031222
4821,0.1,3,2,0.9,0.01,16.40596915539032
4536,0.05,3,1,0.1,0.0,16.41780598998462
4722,0.1,2,1,0.9,0.05,16.43399158827002
4467,0.05,2,1,0.5,0.01,16.4748664886681
4578,0.05,3,2,0.9,0.01,16.476227385783915
4809,0.1,3,2,0.5,0.0,16.516977780590498
4551,0.05,3,1,0.9,0.01,16.521667758696996
4470,0.05,2,1,0.9,0.01,16.523931372532754
4818,0.1,3,2,0.5,0.01,16.528173660263526
4830,0.1,3,2,0.9,0.05,16.544015206733768
4455,0.05,2,1,0.1,0.0,16.561907014010433
4797,0.1,3,1,0.1,0.05,16.576955525479768
4716,0.1,2,1,0.1,0.05,16.602917679117848
4575,0.05,3,2,0.5,0.01,16.603515898610596
4728,0.1,2,2,0.5,0.0,16.61128592860626
4719,0.1,2,1,0.5,0.05,16.623476848042444
4545,0.05,3,1,0.1,0.01,16.62724275222941
4497,0.05,2,2,0.9,0.01,16.629681548655874
4707,0.1,2,1,0.1,0.01,16.660627299410876
4737,0.1,2,2,0.5,0.01,16.667228206206953
4659,0.1,1,2,0.9,0.01,16.67351701475967
