,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
330,0.1,3,2,0.5,0.0,1.4690666859178871,1.176730313109078,5,2380,85,300,6,LADTransferTreeBoost,400,1.7191423820562528,1.3881062196595508,1.7017445098273891,1.3821030610278204
335,0.1,3,2,0.5,0.01,1.483504397748434,1.1661221038756708,5,2389,85,300,6,LADTransferTreeBoost,400,1.7163794139614834,1.367144094530001,1.7364189695393255,1.4111258482467466
240,0.1,2,3,0.5,0.0,1.5018216135529066,1.1890158872950554,5,2326,85,300,6,LADTransferTreeBoost,400,1.6556703437544322,1.3239699840558912,1.67879032206708,1.363023190917914
375,0.1,3,3,0.5,0.0,1.5018716772053877,1.197239121874295,5,2407,85,300,6,LADTransferTreeBoost,400,1.722697046023503,1.3723680441232278,1.7343127341476114,1.3892399162961793
65,0.1,1,2,0.5,0.01,1.505316376757076,1.1961246281624796,5,2227,85,300,6,LADTransferTreeBoost,400,1.724507324408696,1.37877638463189,1.7387659531355386,1.4140567764396184
195,0.1,2,2,0.5,0.0,1.5108933438252334,1.1937015645964038,5,2299,85,300,6,LADTransferTreeBoost,400,1.709210179104876,1.373273154645397,1.7351123230738448,1.415053789093548
395,0.1,3,3,0.9,0.01,1.514085119350995,1.2027290663811667,5,2419,85,300,6,LADTransferTreeBoost,400,1.7103245237650226,1.3630927356233409,1.7314446986494816,1.3838266225651823
80,0.1,1,2,0.9,0.01,1.5186458647835948,1.2056640174750592,5,2230,85,300,6,LADTransferTreeBoost,400,1.646959118556112,1.3180845845012736,1.6149719454447988,1.315276211346578
245,0.1,2,3,0.5,0.01,1.519803070523444,1.1994510766759354,5,2335,85,300,6,LADTransferTreeBoost,400,1.715271737722544,1.365144218798896,1.777138245298325,1.4125506706547066
355,0.1,3,2,0.9,0.05,1.5222197189582052,1.1981249287905058,5,2401,85,300,6,LADTransferTreeBoost,400,1.6961780490761171,1.36590181898217,1.722489721397246,1.3958401152057696
200,0.1,2,2,0.5,0.01,1.5383381071491784,1.2165875949460876,5,2308,85,300,6,LADTransferTreeBoost,400,1.651668812855306,1.3260521884405947,1.6491918312005611,1.3355012887439144
380,0.1,3,3,0.5,0.01,1.5384934897700062,1.2374033025283613,5,2416,85,300,6,LADTransferTreeBoost,400,1.700300611179601,1.3543843506308837,1.6834973197198275,1.3545081981070255
60,0.1,1,2,0.5,0.0,1.5390730692232721,1.2182282269843125,5,2218,85,300,6,LADTransferTreeBoost,400,1.68851769859026,1.3537763126315026,1.7185157407737015,1.3963797788783077
150,0.1,2,1,0.5,0.0,1.5452065953646252,1.2162518649603544,5,2272,85,300,6,LADTransferTreeBoost,400,1.5992986572693295,1.2840623560134696,1.6214808820296889,1.308436921494581
220,0.1,2,2,0.9,0.05,1.5474766027597844,1.2389093917287983,5,2320,85,300,6,LADTransferTreeBoost,400,1.634729786485759,1.303032828336751,1.6404999176054054,1.326439867302764
105,0.1,1,3,0.5,0.0,1.5542964701288693,1.2361089677339892,5,2245,85,300,6,LADTransferTreeBoost,400,1.6669788761496604,1.333170295057267,1.6718276246701351,1.3493802114639588
170,0.1,2,1,0.9,0.01,1.566367247587368,1.2310067003584444,5,2284,85,300,6,LADTransferTreeBoost,400,1.734201433519026,1.3896872204950197,1.733314994910915,1.3843094560223843
285,0.1,3,1,0.5,0.0,1.5673536519516855,1.223019813590645,5,2353,85,300,6,LADTransferTreeBoost,400,1.615233801459249,1.3091954266020118,1.6571199582933829,1.3331746013747534
400,0.1,3,3,0.9,0.05,1.5782862576477321,1.2544989940416702,5,2428,85,300,6,LADTransferTreeBoost,400,1.6506948602835705,1.31377996216838,1.6454927082825768,1.3205437906059587
180,0.1,2,2,0.1,0.0,1.5808818060236556,1.2471668110346124,5,2296,85,300,6,LADTransferTreeBoost,400,1.6759678617520988,1.3400567419121348,1.6888291923994416,1.3654491814814058
15,0.1,1,1,0.5,0.0,1.5841435873106888,1.262762382011733,5,2191,85,300,6,LADTransferTreeBoost,400,1.702739594370722,1.3612958487040991,1.6950565028303644,1.3769478221946714
45,0.1,1,2,0.1,0.0,1.5893832624802373,1.2723185811648041,5,2215,85,300,6,LADTransferTreeBoost,400,1.672769220036486,1.3530159160901771,1.657004071855656,1.3429243751920998
250,0.1,2,3,0.5,0.05,1.5927087796604913,1.256055675608004,5,2344,85,300,6,LADTransferTreeBoost,400,1.755857261929914,1.400328041340608,1.7666520879185168,1.4177624893903469
110,0.1,1,3,0.5,0.01,1.6022447935195863,1.2633679666725612,5,2254,85,300,6,LADTransferTreeBoost,400,1.7113662994536782,1.359526147761042,1.7249807899515526,1.3918575100577728
155,0.1,2,1,0.5,0.01,1.6267914219726234,1.2731020376720195,5,2281,85,300,6,LADTransferTreeBoost,400,1.581245416714373,1.267616878892066,1.5862380127465192,1.2765632639988622
340,0.1,3,2,0.5,0.05,1.6295356932607183,1.272721144893619,5,2398,85,300,6,LADTransferTreeBoost,400,1.7008119208637704,1.3567306665227623,1.7139442326288952,1.3760054207836208
205,0.1,2,2,0.5,0.05,1.6317341572281823,1.2880654036863173,5,2317,85,300,6,LADTransferTreeBoost,400,1.638590272216259,1.3116051035533265,1.644293892836845,1.3336954120711726
