,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
215,0.1,2,2,0.9,0.01,0.8338912711102685,0.6366660948865472,5,1339,85,500,3,LADTransferTreeBoost,400,0.8804868840842465,0.693103529097213,0.8746900156183343,0.6838837195683565
80,0.1,1,2,0.9,0.01,0.8342833524215056,0.6425294029258469,5,1258,85,500,3,LADTransferTreeBoost,400,0.8759965252332269,0.6816396230959021,0.8539433238893234,0.6667251595637731
195,0.1,2,2,0.5,0.0,0.8520203144328109,0.654683715523929,5,1327,85,500,3,LADTransferTreeBoost,400,0.8852793197709163,0.6927203835557455,0.8788771091991734,0.6933794282139766
60,0.1,1,2,0.5,0.0,0.8735678309476411,0.6743490309458249,5,1246,85,500,3,LADTransferTreeBoost,400,0.9289534963556398,0.7244476938944946,0.9053469097651246,0.7165203261134274
330,0.1,3,2,0.5,0.0,0.8936318795627111,0.6685296614572901,5,1408,85,500,3,LADTransferTreeBoost,400,0.8930657410755389,0.7077435227471139,0.9205861709813086,0.7274551018821332
65,0.1,1,2,0.5,0.01,0.897791313985746,0.6955581565463534,5,1255,85,500,3,LADTransferTreeBoost,400,0.9696318881089429,0.753996194267273,0.9509246345986152,0.753267762439163
70,0.1,1,2,0.5,0.05,0.9107246424138473,0.7135701484021627,5,1264,85,500,3,LADTransferTreeBoost,400,0.94991087810901,0.7407340488461329,0.9219259364634986,0.7382717506653851
260,0.1,2,3,0.9,0.01,0.9111027999012158,0.6851050111196608,5,1366,85,500,3,LADTransferTreeBoost,400,0.9215721436045812,0.6880509096093145,0.9308175572723714,0.7000350360835873
375,0.1,3,3,0.5,0.0,0.9166537414708855,0.7002803613857911,5,1435,85,500,3,LADTransferTreeBoost,400,0.9087588551319752,0.7096379726727517,0.927702945134558,0.737907523897124
315,0.1,3,2,0.1,0.0,0.9171676181272893,0.7052450446172452,5,1405,85,500,3,LADTransferTreeBoost,400,1.0100803288897215,0.8005612247639985,0.9836889483448684,0.7720096886285553
45,0.1,1,2,0.1,0.0,0.9244821446746503,0.7126068602760587,5,1243,85,500,3,LADTransferTreeBoost,400,0.9798601611274216,0.7652208074505845,0.9639502754898456,0.7610548337592775
340,0.1,3,2,0.5,0.05,0.9246500002378573,0.704285901186173,5,1426,85,500,3,LADTransferTreeBoost,400,0.9250456087779468,0.7241910813761965,0.9214310866670588,0.7228339457784815
240,0.1,2,3,0.5,0.0,0.9264572629482389,0.710110833865809,5,1354,85,500,3,LADTransferTreeBoost,400,0.9225305878413448,0.7190825665253398,0.9345068849977762,0.7347795071839804
180,0.1,2,2,0.1,0.0,0.9298919187552993,0.728871770331779,5,1324,85,500,3,LADTransferTreeBoost,400,1.029081939779879,0.8095948046631614,0.9956480741699846,0.7883389852382562
105,0.1,1,3,0.5,0.0,0.9340748183252039,0.7234258083287319,5,1273,85,500,3,LADTransferTreeBoost,400,0.9013773954109846,0.7068611451623538,0.900034665710606,0.7118026516379775
395,0.1,3,3,0.9,0.01,0.936236509748043,0.7058478124990992,5,1447,85,500,3,LADTransferTreeBoost,400,0.9344808733087996,0.7141611218642326,0.950736786314832,0.731546685113053
200,0.1,2,2,0.5,0.01,0.9388156830166334,0.7159952846423461,5,1336,85,500,3,LADTransferTreeBoost,400,0.9510047650545296,0.745484768312796,0.9533791321896986,0.7501802316849013
85,0.1,1,2,0.9,0.05,0.9436137324572325,0.735178649475572,5,1267,85,500,3,LADTransferTreeBoost,400,0.9045730589890336,0.7024884587506868,0.8763448003686259,0.6853895363677793
325,0.1,3,2,0.1,0.05,0.9606992660011381,0.7473482701194618,5,1423,85,500,3,LADTransferTreeBoost,400,1.0297498739674984,0.8135672291188928,1.0308052891398292,0.8202888411172026
185,0.1,2,2,0.1,0.01,0.9694052372371067,0.751403682204148,5,1333,85,500,3,LADTransferTreeBoost,400,1.1103968540851288,0.8799501042547886,1.0900678185557595,0.861151006507551
350,0.1,3,2,0.9,0.01,0.9849008885107237,0.7806431169160123,5,1420,85,500,3,LADTransferTreeBoost,400,0.9240038390594952,0.721340874928061,0.9301450968234294,0.7232894150129839
380,0.1,3,3,0.5,0.01,0.9997755096803769,0.7618113402602595,5,1444,85,500,3,LADTransferTreeBoost,400,0.9129945993417764,0.7054996853581373,0.9305339647214608,0.7253747206508964
110,0.1,1,3,0.5,0.01,1.013600847014749,0.7763429259455702,5,1282,85,500,3,LADTransferTreeBoost,400,1.105470839962407,0.8515232783366024,1.1042862704852396,0.8609430461566894
205,0.1,2,2,0.5,0.05,1.0397701699326212,0.8060854938906946,5,1345,85,500,3,LADTransferTreeBoost,400,1.018530210167958,0.7852735563467197,0.9941461433588658,0.7744617873974889
220,0.1,2,2,0.9,0.05,1.0506927245033346,0.7913979691750372,5,1348,85,500,3,LADTransferTreeBoost,400,1.481175524251499,1.1345901981983486,1.483733280804317,1.1350080170753072
285,0.1,3,1,0.5,0.0,1.0589090067688218,0.8040065610224405,5,1381,85,500,3,LADTransferTreeBoost,400,1.0452862946246355,0.829532624778441,1.0841459517392642,0.8559076420877332
245,0.1,2,3,0.5,0.01,1.0594539658336133,0.8078614273711338,5,1363,85,500,3,LADTransferTreeBoost,400,1.1074808013163124,0.8545092791055784,1.1289324027626644,0.8667512153915236
355,0.1,3,2,0.9,0.05,1.063574482212843,0.8049104091195364,5,1429,85,500,3,LADTransferTreeBoost,400,1.3547371306290017,1.0352826988424764,1.3775255940629665,1.05269381279051
320,0.1,3,2,0.1,0.01,1.0691835592736638,0.8223902847749567,5,1414,85,500,3,LADTransferTreeBoost,400,0.9698994047273178,0.7622441561912507,0.938897863919535,0.7426219420246946
155,0.1,2,1,0.5,0.01,1.0833307319331378,0.8438473467050379,5,1309,85,500,3,LADTransferTreeBoost,400,1.0257967850629195,0.8110748156066406,1.0184434053130411,0.8068758013904114
190,0.1,2,2,0.1,0.05,1.0846692085001126,0.8273579450936037,5,1342,85,500,3,LADTransferTreeBoost,400,0.981182541793884,0.7728291388651418,0.9784693550882124,0.7751776269168544
335,0.1,3,2,0.5,0.01,1.0850594595152905,0.8193234169142419,5,1417,85,500,3,LADTransferTreeBoost,400,1.0118257329822204,0.7881903709417454,1.018911680100325,0.7890022673069756
95,0.1,1,3,0.1,0.01,1.0889973927137864,0.8291215514069432,5,1279,85,500,3,LADTransferTreeBoost,400,1.1206970880253118,0.8482217318154021,1.105109196186677,0.8578558736377371
400,0.1,3,3,0.9,0.05,1.0942586668124006,0.8282067775883253,5,1456,85,500,3,LADTransferTreeBoost,400,1.1520647881272146,0.874088251772346,1.1713392662196591,0.8949182636175415
150,0.1,2,1,0.5,0.0,1.1016212283404758,0.8629872327678874,5,1300,85,500,3,LADTransferTreeBoost,400,1.0891480993260971,0.8577775006012315,1.083399235226106,0.8552154253078118
305,0.1,3,1,0.9,0.01,1.103283431413446,0.8408807779008696,5,1393,85,500,3,LADTransferTreeBoost,400,1.0480940648855466,0.8183599548056422,1.0856223037635244,0.8350404149848569
170,0.1,2,1,0.9,0.01,1.1045016950675368,0.8611927573021898,5,1312,85,500,3,LADTransferTreeBoost,400,1.0263254735259286,0.8080222828136776,1.020488123127134,0.8112147036408912
135,0.1,2,1,0.1,0.0,1.1590945116674787,0.8957984129638261,5,1297,85,500,3,LADTransferTreeBoost,400,1.0213246070093178,0.8121834600994595,1.01996311696028,0.8102370087634281
290,0.1,3,1,0.5,0.01,1.1754216333037735,0.8970873315781901,5,1390,85,500,3,LADTransferTreeBoost,400,1.072959750596396,0.8509512722593079,1.1035495878077952,0.875896316353043
15,0.1,1,1,0.5,0.0,1.1849475255374966,0.9337157331731396,5,1219,85,500,3,LADTransferTreeBoost,400,1.1409083045903516,0.8811903256418746,1.104228054569608,0.8788809394501055
385,0.1,3,3,0.5,0.05,1.1860480452705953,0.9289314805827523,5,1453,85,500,3,LADTransferTreeBoost,400,0.9477555319923344,0.7441674304787708,0.9740649829232756,0.7614706712089483
50,0.1,1,2,0.1,0.01,1.1866550578169495,0.9128716634809841,5,1252,85,500,3,LADTransferTreeBoost,400,0.9283043701729956,0.7362471585762271,0.9311247197889512,0.7430915106115555
55,0.1,1,2,0.1,0.05,1.2245293965887503,0.9462158920033177,5,1261,85,500,3,LADTransferTreeBoost,400,0.9849605529794536,0.7761450814419002,0.9783316117582678,0.7732619147959954
360,0.1,3,3,0.1,0.0,1.226657440679101,0.9821404598764916,5,1432,85,500,3,LADTransferTreeBoost,400,1.1348131740617402,0.8737863166995065,1.1361294678308995,0.8764051883272639
230,0.1,2,3,0.1,0.01,1.2392630604457904,0.9404215193344726,5,1360,85,500,3,LADTransferTreeBoost,400,1.0876986411622014,0.8245907183499327,1.0839324191875113,0.8381405368868621
90,0.1,1,3,0.1,0.0,1.2426742754232296,0.9552370207267465,5,1270,85,500,3,LADTransferTreeBoost,400,1.0225873439854265,0.7906032754330006,1.0133575992572434,0.8016392132414962
140,0.1,2,1,0.1,0.01,1.2611298016840808,0.9775077034261234,5,1306,85,500,3,LADTransferTreeBoost,400,1.060220486757837,0.8325359240387642,1.0376113340351834,0.8269232439758276
100,0.1,1,3,0.1,0.05,1.2834014131707778,1.007856969280144,5,1288,85,500,3,LADTransferTreeBoost,400,1.2100203405143488,0.9374807865574826,1.1790703524762478,0.9500571437862532
265,0.1,2,3,0.9,0.05,1.2875121881958265,0.9741633190648556,5,1375,85,500,3,LADTransferTreeBoost,400,1.2844967080245018,0.96193068893741,1.2854183399897685,0.9709854813259278
365,0.1,3,3,0.1,0.01,1.3324541869612883,1.0646921962963618,5,1441,85,500,3,LADTransferTreeBoost,400,0.9678838310354853,0.746041231676498,0.9703934468027174,0.7498381844276352
35,0.1,1,1,0.9,0.01,1.3452995000202235,1.067366411610726,5,1231,85,500,3,LADTransferTreeBoost,400,1.281845932315458,1.006682879242478,1.2413334826813285,0.9864625131190796
20,0.1,1,1,0.5,0.01,1.354209485711484,1.0727685356610475,5,1228,85,500,3,LADTransferTreeBoost,400,1.260518715059675,0.9854511826915756,1.2218275311873228,0.9756794572177804
250,0.1,2,3,0.5,0.05,1.3542312610232614,1.0994415690198773,5,1372,85,500,3,LADTransferTreeBoost,400,1.0786674287293945,0.8283129262238861,1.0753382846154218,0.8323540666919007
270,0.1,3,1,0.1,0.0,1.3767473589933013,1.0746346224951624,5,1378,85,500,3,LADTransferTreeBoost,400,1.7389859483931116,1.440442068505994,1.7510233995707132,1.4498098764208658
295,0.1,3,1,0.5,0.05,1.3927010629225898,1.0915993240998598,5,1399,85,500,3,LADTransferTreeBoost,400,1.0133274521977909,0.7997765101418852,1.0026525063979512,0.7933904351052614
275,0.1,3,1,0.1,0.01,1.408327375198121,1.1100903927417067,5,1387,85,500,3,LADTransferTreeBoost,400,1.1153155859329371,0.8722777517471109,1.1103023881496716,0.8894742330309822
175,0.1,2,1,0.9,0.05,1.4412638207785198,1.1077215190462133,5,1321,85,500,3,LADTransferTreeBoost,400,1.0740554141895304,0.8445440436923074,1.064765288715957,0.8466148849733279
370,0.1,3,3,0.1,0.05,1.4452158235870374,1.171439914697019,5,1450,85,500,3,LADTransferTreeBoost,400,1.0123435687803242,0.7839870222878004,0.99475568964851,0.767146738794929
125,0.1,1,3,0.9,0.01,1.4485524520064446,1.2636134847070128,5,1285,85,500,3,LADTransferTreeBoost,400,0.8592098604413771,0.6520923716389545,0.8460403302169383,0.6533439861300591
