,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
330,0.1,3,2,0.5,0.0,1.815727314328735,1.442036021691587,5,1894,85,100,6,LADTransferTreeBoost,400,1.9183603725295333,1.4855076695645717,1.9450746218314705,1.542664482791391
215,0.1,2,2,0.9,0.01,1.8951539190831277,1.4791289674098616,5,1825,85,100,6,LADTransferTreeBoost,400,1.9363998206132127,1.4910831318018682,1.9599430450027608,1.5443816344303931
350,0.1,3,2,0.9,0.01,1.937929836544377,1.5294220253322863,5,1906,85,100,6,LADTransferTreeBoost,400,2.0225995409841144,1.5740684672872545,2.058899724920125,1.6238142804551954
285,0.1,3,1,0.5,0.0,1.941324212698548,1.5772093182573896,5,1867,85,100,6,LADTransferTreeBoost,400,1.8795211591805696,1.4808980355533583,1.886718777309559,1.5148303075671845
195,0.1,2,2,0.5,0.0,1.9452606282694807,1.5183102120143828,5,1813,85,100,6,LADTransferTreeBoost,400,2.040846695582355,1.5917637669205196,2.0666462893418114,1.6334958496628196
150,0.1,2,1,0.5,0.0,1.947012140017818,1.56363684098651,5,1786,85,100,6,LADTransferTreeBoost,400,2.036052085449132,1.61793045790641,2.0608341120786164,1.6527962117361568
125,0.1,1,3,0.9,0.01,1.9564938478759437,1.5065273220769908,5,1771,85,100,6,LADTransferTreeBoost,400,2.1470834428485603,1.653973426399109,2.245390520879818,1.7863750314407871
60,0.1,1,2,0.5,0.0,1.9587708689963201,1.5406549753432124,5,1732,85,100,6,LADTransferTreeBoost,400,2.0419409683313625,1.5729435477806173,2.066276920737157,1.618081805831078
260,0.1,2,3,0.9,0.01,1.965272954574519,1.5141093107977381,5,1852,85,100,6,LADTransferTreeBoost,400,2.158190075805646,1.6582923161443237,2.258767445601504,1.783116426719643
395,0.1,3,3,0.9,0.01,1.9713148187426668,1.5340840346690834,5,1933,85,100,6,LADTransferTreeBoost,400,2.0592859493566094,1.6078679071477595,2.1548814098253786,1.709179472471662
335,0.1,3,2,0.5,0.01,1.9723669901959553,1.5486465218141636,5,1903,85,100,6,LADTransferTreeBoost,400,2.102940887537136,1.6306106732447316,2.131081637600789,1.688833427321951
375,0.1,3,3,0.5,0.0,1.9727245732782208,1.5446864866245011,5,1921,85,100,6,LADTransferTreeBoost,400,2.095144422901784,1.6350703265372355,2.1433013960862435,1.7131844292700231
240,0.1,2,3,0.5,0.0,1.9749899658794743,1.5492281334418205,5,1840,85,100,6,LADTransferTreeBoost,400,2.055751111186088,1.608900702715497,2.1007095713034443,1.6567982137269537
315,0.1,3,2,0.1,0.0,1.9965754603303463,1.5534571465853135,5,1891,85,100,6,LADTransferTreeBoost,400,1.812876228930118,1.421255455127965,1.8487330542223537,1.4661296164025377
65,0.1,1,2,0.5,0.01,2.0007678867498067,1.5651730350564947,5,1741,85,100,6,LADTransferTreeBoost,400,1.9603869007060084,1.5150760377891026,2.019677881119766,1.579749423852099
105,0.1,1,3,0.5,0.0,2.004258866370678,1.5572528003347248,5,1759,85,100,6,LADTransferTreeBoost,400,2.070202885138238,1.6018692762585245,2.15938535262389,1.7017619562287365
70,0.1,1,2,0.5,0.05,2.0076823515866424,1.5797441533870902,5,1750,85,100,6,LADTransferTreeBoost,400,1.9178431872616573,1.519039042471516,1.958315137014569,1.5734791648593838
290,0.1,3,1,0.5,0.01,2.01186008460929,1.6022813351388319,5,1876,85,100,6,LADTransferTreeBoost,400,2.1729266020180638,1.7014364642108626,2.220897189949064,1.7650142324853924
400,0.1,3,3,0.9,0.05,2.0414787257342315,1.5782608386853254,5,1942,85,100,6,LADTransferTreeBoost,400,2.163567034992984,1.6747566826122422,2.212397836714378,1.7592406746323803
155,0.1,2,1,0.5,0.01,2.0513736057616847,1.6437468462766998,5,1795,85,100,6,LADTransferTreeBoost,400,1.85952444205134,1.4624919524711637,1.89055147066249,1.5052643950347748
200,0.1,2,2,0.5,0.01,2.059305674413429,1.6031258782666824,5,1822,85,100,6,LADTransferTreeBoost,400,2.101019104050616,1.623459095802671,2.1219226536874483,1.6711855389599868
