,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
275,0.1,3,1,0.1,0.01,1.3191579170958647,1.025733463714835,5,3816,85,300,9,LSTransferTreeBoost,400,1.2983684482033029,1.0354505847719926,1.305184025853312,1.0369750830452735
5,0.1,1,1,0.1,0.01,1.323476370607517,1.0256107640529688,5,3654,85,300,9,LSTransferTreeBoost,400,1.3004411510759393,1.0345551063396237,1.3013838874079482,1.0349515137875682
15,0.1,1,1,0.5,0.0,1.3240177611976534,1.0214828684942652,5,3648,85,300,9,LSTransferTreeBoost,400,1.3278626693551556,1.060298935120604,1.3358048944610852,1.060810644080397
285,0.1,3,1,0.5,0.0,1.326859411469059,1.0449696003860425,5,3810,85,300,9,LSTransferTreeBoost,400,1.308640804995305,1.0485537465531458,1.3090579182462363,1.0448064612918673
140,0.1,2,1,0.1,0.01,1.3285633004255017,1.0297083190596106,5,3735,85,300,9,LSTransferTreeBoost,400,1.300441151075939,1.0345551063396234,1.3013838874079482,1.0349515137875682
10,0.1,1,1,0.1,0.05,1.3341498780767151,1.0324343759315073,5,3663,85,300,9,LSTransferTreeBoost,400,1.4304656801282016,1.1449315395442887,1.44665145179485,1.1474875324254217
35,0.1,1,1,0.9,0.01,1.336257054497588,1.029110740674677,5,3660,85,300,9,LSTransferTreeBoost,400,1.3019234256830183,1.0379175810736891,1.3031595442963475,1.0349508117543185
270,0.1,3,1,0.1,0.0,1.3378994349547935,1.0412678327495744,5,3807,85,300,9,LSTransferTreeBoost,400,1.4254518866030144,1.1398095281237035,1.4479180865316963,1.1468472119091315
150,0.1,2,1,0.5,0.0,1.3411773382603465,1.0391052506498402,5,3729,85,300,9,LSTransferTreeBoost,400,1.3278626693551556,1.060298935120604,1.3358048944610852,1.060810644080397
305,0.1,3,1,0.9,0.01,1.341386980365788,1.0592172535595936,5,3822,85,300,9,LSTransferTreeBoost,400,1.3161588796990715,1.0544293597958474,1.31244376381075,1.0475217736953244
290,0.1,3,1,0.5,0.01,1.3464832096234627,1.063889305513944,5,3819,85,300,9,LSTransferTreeBoost,400,1.31066609768371,1.0493919359319823,1.3164049139217633,1.0490959989823858
0,0.1,1,1,0.1,0.0,1.3487080024769682,1.0414587848092436,5,3645,85,300,9,LSTransferTreeBoost,400,1.4254518866030144,1.139809528123704,1.447918086531696,1.1468472119091315
310,0.1,3,1,0.9,0.05,1.3499698841347616,1.0568884868274504,5,3831,85,300,9,LSTransferTreeBoost,400,1.3782224981196345,1.104291165590486,1.3969051761169562,1.108315644359828
350,0.1,3,2,0.9,0.01,1.3525122881722844,1.0748700590032798,5,3849,85,300,9,LSTransferTreeBoost,400,1.3743338710710602,1.0876126669486383,1.3811578915735487,1.109860299404252
