,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
375,0.1,3,3,0.5,0.0,1.4581902923219334,0.9756223255846163,5,2892,85,500,6,LSTransferTreeBoost,400,1.4322060797692515,0.9511306469815154,1.3903942205698467,0.9491490359379332
105,0.1,1,3,0.5,0.0,1.4722321726688237,0.9785284865405559,5,2730,85,500,6,LSTransferTreeBoost,400,1.3948205859126188,0.9317741043675244,1.4132253043436718,0.922988807370022
330,0.1,3,2,0.5,0.0,1.495889437886977,1.0516320794103098,5,2865,85,500,6,LSTransferTreeBoost,400,1.530431117139675,1.0941548998613306,1.4960796089522748,1.0704251036069408
240,0.1,2,3,0.5,0.0,1.5003225163441765,1.0044979801989204,5,2811,85,500,6,LSTransferTreeBoost,400,1.5404080446038553,0.9596930201878684,1.4222839163892242,0.966422695612512
195,0.1,2,2,0.5,0.0,1.5123195624844208,1.0862189849018526,5,2784,85,500,6,LSTransferTreeBoost,400,1.618371673273875,1.1588921891475326,1.592998811866546,1.1490727652148836
335,0.1,3,2,0.5,0.01,1.518056751634942,1.0622522273743982,5,2874,85,500,6,LSTransferTreeBoost,400,1.6123148723530305,1.1790369664315623,1.5893509095025184,1.1725717134647444
155,0.1,2,1,0.5,0.01,1.532758231482439,1.1232549303048178,5,2766,85,500,6,LSTransferTreeBoost,400,1.5881541882129888,1.230630707468983,1.6023544647157009,1.258039257236114
380,0.1,3,3,0.5,0.01,1.5361134403676262,1.0474953462434762,5,2901,85,500,6,LSTransferTreeBoost,400,1.5998439119516,1.1301409248373508,1.5452808095901598,1.0904497718673078
270,0.1,3,1,0.1,0.0,1.539811918900749,1.1091638589227668,5,2835,85,500,6,LSTransferTreeBoost,400,1.557923382305465,1.2007463734252557,1.5681326013706196,1.2301198318715296
110,0.1,1,3,0.5,0.01,1.5426975444864088,1.0656134004962976,5,2739,85,500,6,LSTransferTreeBoost,400,1.5650258179236378,1.1132683070448657,1.4826644332873966,1.0879287278558694
245,0.1,2,3,0.5,0.01,1.5433281168180386,1.0330691438629687,5,2820,85,500,6,LSTransferTreeBoost,400,1.706239763689925,1.144349376109186,1.6242935267672989,1.1194996461537907
60,0.1,1,2,0.5,0.0,1.5435583932554626,1.0877978402295805,5,2703,85,500,6,LSTransferTreeBoost,400,1.4363122604646432,1.0727670791515056,1.450277852736077,1.0576952086307423
200,0.1,2,2,0.5,0.01,1.55319036173705,1.1106856793657107,5,2793,85,500,6,LSTransferTreeBoost,400,1.501669911258784,1.1091482198638063,1.517162126332056,1.1059229430797255
275,0.1,3,1,0.1,0.01,1.5596194645199721,1.1304262027842245,5,2844,85,500,6,LSTransferTreeBoost,400,1.743370137232816,1.400063961730273,1.7549075363723554,1.4332127183717245
150,0.1,2,1,0.5,0.0,1.5618286124390652,1.1546158043009547,5,2757,85,500,6,LSTransferTreeBoost,400,1.582760152862814,1.2238438504376676,1.6045606932710914,1.2614800294719648
15,0.1,1,1,0.5,0.0,1.5699684856852199,1.1464346408815438,5,2676,85,500,6,LSTransferTreeBoost,400,1.5565840995963012,1.2030938845725443,1.5721200379589115,1.2319905830289717
285,0.1,3,1,0.5,0.0,1.5726142986441183,1.156309871641644,5,2838,85,500,6,LSTransferTreeBoost,400,1.5455888324904423,1.2036899348219847,1.566211018974175,1.2239086513322508
290,0.1,3,1,0.5,0.01,1.5733552635362678,1.1524075170224468,5,2847,85,500,6,LSTransferTreeBoost,400,1.5782670722956569,1.2456763507179094,1.5890067589306105,1.2649820317258875
280,0.1,3,1,0.1,0.05,1.5815414264557262,1.1229307092600946,5,2853,85,500,6,LSTransferTreeBoost,400,1.7775515104927768,1.374604386137641,1.833953564125947,1.438217530687385
65,0.1,1,2,0.5,0.01,1.5951540423069854,1.1339516288613913,5,2712,85,500,6,LSTransferTreeBoost,400,1.5121635416364867,1.1330562374035722,1.4990865050621631,1.1112629011516917
295,0.1,3,1,0.5,0.05,1.5979778629859358,1.19117150616723,5,2856,85,500,6,LSTransferTreeBoost,400,1.7964873483937394,1.4480907635086715,1.7969625267873794,1.4732949059547404
310,0.1,3,1,0.9,0.05,1.6118045304091155,1.1884611592565233,5,2859,85,500,6,LSTransferTreeBoost,400,2.0668290569174674,1.67905501403236,2.074856846791733,1.7233469665120995
225,0.1,2,3,0.1,0.0,1.648226466634534,1.1230551949026595,5,2808,85,500,6,LSTransferTreeBoost,400,1.487742024048195,1.054991927813545,1.5460923033053806,1.042000923290167
20,0.1,1,1,0.5,0.01,1.6492220687226073,1.2394773441173066,5,2685,85,500,6,LSTransferTreeBoost,400,1.6005133711469006,1.248722315878969,1.6046491571620245,1.2711679038306325
360,0.1,3,3,0.1,0.0,1.6678004739008876,1.1493229491351211,5,2889,85,500,6,LSTransferTreeBoost,400,1.5015967584904648,1.0587247809449591,1.5226292511854278,1.04276186791442
315,0.1,3,2,0.1,0.0,1.6792899866415258,1.178407324187963,5,2862,85,500,6,LSTransferTreeBoost,400,1.5696238117114192,1.1669042173336903,1.54305407074864,1.1387407513067898
160,0.1,2,1,0.5,0.05,1.6804481627036485,1.2912563777212336,5,2775,85,500,6,LSTransferTreeBoost,400,2.046379935752459,1.660650331492385,2.056554148650003,1.705199882150788
175,0.1,2,1,0.9,0.05,1.6957624808820568,1.2926947088330976,5,2778,85,500,6,LSTransferTreeBoost,400,2.226730537915925,1.8101556519919224,2.2400433793138324,1.8614517272543605
230,0.1,2,3,0.1,0.01,1.7360207934612994,1.1818484442880803,5,2817,85,500,6,LSTransferTreeBoost,400,1.4983796406645848,1.007887314229693,1.6071695236047483,1.0267194547235496
