,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
170,0.1,2,1,0.9,0.01,1.7231363576874117,1.3460182352979115,5,339,85,100,3,LSTransferTreeBoost,400,1.6582906874288967,1.305830984176796,1.7360241207564948,1.3757199386001535
150,0.1,2,1,0.5,0.0,1.7288713211310571,1.359345563721206,5,327,85,100,3,LSTransferTreeBoost,400,1.6397844632381111,1.2954182667931458,1.7032727055612282,1.347680192887944
15,0.1,1,1,0.5,0.0,1.7430605415187164,1.3680363610371935,5,246,85,100,3,LSTransferTreeBoost,400,1.6254800092957766,1.2718118357831676,1.7039913679844267,1.341778513427982
285,0.1,3,1,0.5,0.0,1.7563496398456035,1.3759868476426962,5,408,85,100,3,LSTransferTreeBoost,400,1.8169573818121756,1.421665752984366,1.9019445664815005,1.490069052063293
155,0.1,2,1,0.5,0.01,1.7696272381214606,1.3886487771040739,5,336,85,100,3,LSTransferTreeBoost,400,1.6503056896890165,1.3002648580500415,1.7368993722241952,1.3767428550136251
215,0.1,2,2,0.9,0.01,1.7779614578717304,1.3877297399465267,5,366,85,100,3,LSTransferTreeBoost,400,1.6948462149090329,1.337175823920515,1.7785026226665543,1.4004360391804969
290,0.1,3,1,0.5,0.01,1.7804608415155525,1.3943459826137654,5,417,85,100,3,LSTransferTreeBoost,400,1.6884668464628034,1.3291747803607878,1.782732409049599,1.413201407498395
35,0.1,1,1,0.9,0.01,1.7809705382448773,1.3924537624654854,5,258,85,100,3,LSTransferTreeBoost,400,1.6702031831793624,1.292245510603005,1.7403657034085371,1.361731766035578
305,0.1,3,1,0.9,0.01,1.7936824570478063,1.4004290532717831,5,420,85,100,3,LSTransferTreeBoost,400,1.992640061966384,1.5487669966534277,2.06314910931688,1.6105304455909504
350,0.1,3,2,0.9,0.01,1.801371318326338,1.380225895176129,5,447,85,100,3,LSTransferTreeBoost,400,1.6694940658511097,1.3295495910939674,1.7854465476873282,1.4123613802672443
80,0.1,1,2,0.9,0.01,1.8171316447531445,1.3936121506919519,5,285,85,100,3,LSTransferTreeBoost,400,1.6968286531064187,1.3138556523854008,1.7981161916993251,1.4094818474587285
60,0.1,1,2,0.5,0.0,1.8221130384347375,1.4033830553137587,5,273,85,100,3,LSTransferTreeBoost,400,1.7300159518693177,1.3456744546335644,1.8291968165455672,1.4400964529463638
135,0.1,2,1,0.1,0.0,1.823009362791098,1.422475301407585,5,324,85,100,3,LSTransferTreeBoost,400,1.68568791766008,1.3358982840312086,1.8300954338916595,1.449319595265215
195,0.1,2,2,0.5,0.0,1.8317198350553685,1.4180320901914134,5,354,85,100,3,LSTransferTreeBoost,400,1.6887225001733126,1.3410922307575444,1.7943728024411665,1.417186459940314
200,0.1,2,2,0.5,0.01,1.835428750272725,1.4205446684463103,5,363,85,100,3,LSTransferTreeBoost,400,1.6525662256552012,1.29158702636881,1.762932821200739,1.399674210376293
310,0.1,3,1,0.9,0.05,1.844137258132823,1.4485793612873894,5,429,85,100,3,LSTransferTreeBoost,400,1.731183062722017,1.3771427432738352,1.8528624206601911,1.481117350054907
20,0.1,1,1,0.5,0.01,1.8483702665296469,1.4437998808541035,5,255,85,100,3,LSTransferTreeBoost,400,1.692312680370721,1.3042538101542387,1.7801698461581328,1.3864591889316171
205,0.1,2,2,0.5,0.05,1.8554063446217177,1.4332408938654055,5,372,85,100,3,LSTransferTreeBoost,400,1.7216758152994365,1.3569179765747374,1.82136522131896,1.444904466094746
355,0.1,3,2,0.9,0.05,1.8568538659014358,1.4362316509123956,5,456,85,100,3,LSTransferTreeBoost,400,1.6853773746195349,1.3406641979369278,1.8044043396106928,1.429044934451423
