,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
195,0.1,2,2,0.5,0.0,1.1342723509680546,0.8983685394854234,5,2786,85,500,6,MTransferTreeBoost,400,1.173741101659611,0.9344866603899928,1.1650608863972105,0.9262874748565316
330,0.1,3,2,0.5,0.0,1.1432737699801274,0.9051226548047447,5,2867,85,500,6,MTransferTreeBoost,400,1.1965634003034695,0.9492928761406056,1.1861794544056634,0.951102447576194
335,0.1,3,2,0.5,0.01,1.1443199858021718,0.9100882870014333,5,2876,85,500,6,MTransferTreeBoost,400,1.1945600683265956,0.950406992631124,1.1751719784517851,0.9453896977539908
355,0.1,3,2,0.9,0.05,1.1492042695599713,0.9157771408745943,5,2888,85,500,6,MTransferTreeBoost,400,1.237857173018068,0.9854254521548256,1.2147137491244524,0.9626082015450228
215,0.1,2,2,0.9,0.01,1.1537733689844194,0.9160656062931117,5,2798,85,500,6,MTransferTreeBoost,400,1.190395778879565,0.9404038246736712,1.187878964492978,0.9430424560530796
60,0.1,1,2,0.5,0.0,1.158288818949254,0.9107625808239085,5,2705,85,500,6,MTransferTreeBoost,400,1.1842069974082383,0.940056082142028,1.1726121300974504,0.9306835838436252
350,0.1,3,2,0.9,0.01,1.1696872256153874,0.9212970011918934,5,2879,85,500,6,MTransferTreeBoost,400,1.20926372516644,0.9585928695140272,1.2032233756708643,0.9608249935991936
80,0.1,1,2,0.9,0.01,1.172050231756354,0.9255441934875641,5,2717,85,500,6,MTransferTreeBoost,400,1.2149058192491642,0.966601946439546,1.203852302863493,0.957903123070772
65,0.1,1,2,0.5,0.01,1.172094573980849,0.9207445230720293,5,2714,85,500,6,MTransferTreeBoost,400,1.2242477328295558,0.9747565877242638,1.211537559990265,0.9645708425012096
340,0.1,3,2,0.5,0.05,1.175659045880567,0.9277680361639954,5,2885,85,500,6,MTransferTreeBoost,400,1.220927388755512,0.9704263672088018,1.1951053959882825,0.9527241012485376
320,0.1,3,2,0.1,0.01,1.1769314089628464,0.9314495509842391,5,2873,85,500,6,MTransferTreeBoost,400,1.2411901082488876,0.982318694901155,1.2078936788289798,0.9559766923845956
395,0.1,3,3,0.9,0.01,1.176932001039553,0.9154753581492765,5,2906,85,500,6,MTransferTreeBoost,400,1.1901868303573206,0.9275414915142794,1.17320314406732,0.917122369151577
