,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
155,0.1,2,1,0.5,0.01,1.6140308540465917,1.3136459894716654,5,1796,85,100,6,MTransferTreeBoost,400,1.400379570943738,1.1021581205821025,1.3556947194428255,1.078537379970101
305,0.1,3,1,0.9,0.01,1.6197565924922919,1.3136504456737774,5,1880,85,100,6,MTransferTreeBoost,400,1.444943848936015,1.1349919512847335,1.417137508596522,1.1249107359125428
290,0.1,3,1,0.5,0.01,1.6216417914954548,1.3076178422474622,5,1877,85,100,6,MTransferTreeBoost,400,1.451560347013702,1.140930825848277,1.4312062354944777,1.1345135501677397
285,0.1,3,1,0.5,0.0,1.6286088795294567,1.3168371067347422,5,1868,85,100,6,MTransferTreeBoost,400,1.460630417292479,1.1503236965955872,1.4350986872497276,1.1461523355686878
170,0.1,2,1,0.9,0.01,1.6293422874796994,1.3180709739210195,5,1799,85,100,6,MTransferTreeBoost,400,1.459573798932592,1.144714025509521,1.4263947937563848,1.1307585186343558
270,0.1,3,1,0.1,0.0,1.6485677726870391,1.3347679673205959,5,1865,85,100,6,MTransferTreeBoost,400,1.3940551740866276,1.0994835440253488,1.3491161966287484,1.073787550007936
150,0.1,2,1,0.5,0.0,1.6508175945181585,1.3330533555602713,5,1787,85,100,6,MTransferTreeBoost,400,1.4542754452148294,1.1408718340925008,1.4205334274555614,1.1265489685818877
295,0.1,3,1,0.5,0.05,1.654603454738193,1.3383242448084902,5,1886,85,100,6,MTransferTreeBoost,400,1.4148255496194253,1.11400483307665,1.3727133732758778,1.0915455280019954
175,0.1,2,1,0.9,0.05,1.655983915880725,1.3551057163141953,5,1808,85,100,6,MTransferTreeBoost,400,1.488949881248659,1.1702460840625062,1.437984214659901,1.1422240027929542
275,0.1,3,1,0.1,0.01,1.6585063758771141,1.336449703216113,5,1874,85,100,6,MTransferTreeBoost,400,1.4126428836830625,1.1118336819167995,1.366555299739743,1.0857027686568208
140,0.1,2,1,0.1,0.01,1.6700109554973483,1.3479657169909605,5,1793,85,100,6,MTransferTreeBoost,400,1.43887385129591,1.132364252923839,1.3883724309920165,1.1032826506621578
310,0.1,3,1,0.9,0.05,1.6702839534110254,1.3538148962211676,5,1889,85,100,6,MTransferTreeBoost,400,1.4592962035640804,1.1480766273857543,1.4212168504584162,1.1281283367781725
160,0.1,2,1,0.5,0.05,1.6769676228521266,1.3594323836303608,5,1805,85,100,6,MTransferTreeBoost,400,1.4932890348439465,1.1751961917227076,1.4450031003917292,1.144215941530283
350,0.1,3,2,0.9,0.01,1.6828546113289957,1.3376942410361523,5,1907,85,100,6,MTransferTreeBoost,400,1.4394327158164342,1.1222003577663708,1.4435910210758274,1.1305495502652314
280,0.1,3,1,0.1,0.05,1.6949053900260307,1.3671409132149055,5,1883,85,100,6,MTransferTreeBoost,400,1.4077323996887383,1.107792429839711,1.3588393122227649,1.0829653745887404
135,0.1,2,1,0.1,0.0,1.696482912073997,1.36304271545607,5,1784,85,100,6,MTransferTreeBoost,400,1.4016450064077823,1.1039247439721949,1.3527751834868962,1.0762866743415953
215,0.1,2,2,0.9,0.01,1.704639791845168,1.348148658419827,5,1826,85,100,6,MTransferTreeBoost,400,1.4670904834340204,1.142924869954692,1.4426262108180707,1.1332971562991152
