,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
310,0.1,3,1,0.9,0.05,1.6012071503624796,1.26445460128626,5,1889,85,100,6,MTransferTreeBoost,400,1.5204819962404983,1.1930622537338336,1.6175650909948938,1.2711208366726072
290,0.1,3,1,0.5,0.01,1.6290361973366891,1.2860365697953449,5,1877,85,100,6,MTransferTreeBoost,400,1.6065336853272665,1.265889262141503,1.6887504515509475,1.326576061645624
295,0.1,3,1,0.5,0.05,1.630252182886012,1.2788423861598646,5,1886,85,100,6,MTransferTreeBoost,400,1.5546460814735463,1.2283376635430732,1.6418107393258954,1.3005345517836957
175,0.1,2,1,0.9,0.05,1.642525333133537,1.2992504273798455,5,1808,85,100,6,MTransferTreeBoost,400,1.5411409843726618,1.2085876505461557,1.642079136502758,1.2884738081005334
270,0.1,3,1,0.1,0.0,1.6466116608177515,1.2977029049505848,5,1865,85,100,6,MTransferTreeBoost,400,1.618117443416622,1.2756968234925492,1.699326663401851,1.337751310007954
280,0.1,3,1,0.1,0.05,1.6477485740610085,1.2987652233051339,5,1883,85,100,6,MTransferTreeBoost,400,1.5235545991292194,1.1933305282910625,1.616263291988852,1.2677084766547086
135,0.1,2,1,0.1,0.0,1.6479633843218848,1.3020971810230462,5,1784,85,100,6,MTransferTreeBoost,400,1.5751091512611757,1.242357873356926,1.6677612051012711,1.3083301791995732
170,0.1,2,1,0.9,0.01,1.6487740058757012,1.311811318545169,5,1799,85,100,6,MTransferTreeBoost,400,1.6749236401018843,1.3205079259389632,1.7694976753950322,1.389121837268736
35,0.1,1,1,0.9,0.01,1.6491425739863577,1.3009883181102642,5,1718,85,100,6,MTransferTreeBoost,400,1.5736146798327106,1.2264195504165043,1.6746675860938676,1.3093131035719636
155,0.1,2,1,0.5,0.01,1.6510799891920704,1.308977949109535,5,1796,85,100,6,MTransferTreeBoost,400,1.579593926021109,1.2411983680878338,1.669020761810395,1.3081848447652669
