,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
350,0.1,3,2,0.9,0.01,2.179196492076666,1.7208852438430207,5,1906,85,100,6,LADTransferTreeBoost,400,2.516472872883106,1.965412586451072,2.527981249247486,1.9893494646393155
330,0.1,3,2,0.5,0.0,2.188861625738431,1.7256019851070825,5,1894,85,100,6,LADTransferTreeBoost,400,2.403086784379636,1.8940189973758053,2.402898776186914,1.88645803480019
215,0.1,2,2,0.9,0.01,2.202825196852315,1.7235127627272473,5,1825,85,100,6,LADTransferTreeBoost,400,2.3147775024834574,1.813815663044664,2.297597299803622,1.819947584323339
335,0.1,3,2,0.5,0.01,2.210666163262773,1.7338996361544514,5,1903,85,100,6,LADTransferTreeBoost,400,2.352713603874969,1.8627167307583428,2.337989449152406,1.8626185751401596
380,0.1,3,3,0.5,0.01,2.221307716379619,1.755622106144631,5,1930,85,100,6,LADTransferTreeBoost,400,2.2911270135718267,1.7979970019042273,2.270384229210164,1.780029271128626
195,0.1,2,2,0.5,0.0,2.227693367593294,1.7473439459288769,5,1813,85,100,6,LADTransferTreeBoost,400,2.3581393533197383,1.839163664705052,2.370029935382403,1.8501877079852704
365,0.1,3,3,0.1,0.01,2.227797871304403,1.7301854264563374,5,1927,85,100,6,LADTransferTreeBoost,400,2.1394976534810337,1.6898467681002276,2.111701311590912,1.6722018563854135
375,0.1,3,3,0.5,0.0,2.237922857962743,1.7295484857078278,5,1921,85,100,6,LADTransferTreeBoost,400,2.3666351378377724,1.823729901328411,2.3788320155784453,1.8377829799438845
65,0.1,1,2,0.5,0.01,2.248774546111709,1.7669775501844414,5,1741,85,100,6,LADTransferTreeBoost,400,2.4072434132585263,1.8963750555238383,2.410897918179238,1.9052564852874707
200,0.1,2,2,0.5,0.01,2.2655251310524886,1.7756317445137078,5,1822,85,100,6,LADTransferTreeBoost,400,2.337641959070325,1.8507746466074355,2.3421334502491136,1.855995107808464
60,0.1,1,2,0.5,0.0,2.2667884909141334,1.76798357443815,5,1732,85,100,6,LADTransferTreeBoost,400,2.4006112175980805,1.8685476966422827,2.425479260257249,1.909849424444541
