,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
320,0.1,3,2,0.1,0.01,0.9036781959680216,0.7068408092485234,5,4330,85,500,9,LADTransferTreeBoost,400,0.9406244857898136,0.7430498425259013,0.9116879238352046,0.7216868564853112
195,0.1,2,2,0.5,0.0,0.9234348016855545,0.7315667582658147,5,4243,85,500,9,LADTransferTreeBoost,400,0.9417207294730344,0.7445873103762638,0.9076853113244016,0.7293414172603286
340,0.1,3,2,0.5,0.05,0.9341827839315157,0.7278401443164404,5,4342,85,500,9,LADTransferTreeBoost,400,0.9078111249346992,0.724574256822528,0.9064926660301388,0.724124229795701
60,0.1,1,2,0.5,0.0,0.9372714500163918,0.72912243737376,5,4162,85,500,9,LADTransferTreeBoost,400,0.9442142143917168,0.7462695772126883,0.9125616617235152,0.7341059501504597
330,0.1,3,2,0.5,0.0,0.9448971462277511,0.7431732626637938,5,4324,85,500,9,LADTransferTreeBoost,400,0.9530433528085558,0.7486956426677496,0.937252326020435,0.7511595695859361
125,0.1,1,3,0.9,0.01,0.9455771803063818,0.7328754893655942,5,4201,85,500,9,LADTransferTreeBoost,400,1.0234914268379838,0.7838087584283815,1.0044042718765835,0.795554535593516
315,0.1,3,2,0.1,0.0,0.9486821180468137,0.7481330273512603,5,4321,85,500,9,LADTransferTreeBoost,400,0.9751560416627202,0.7650893992923388,0.9405921892832592,0.7505398825277105
240,0.1,2,3,0.5,0.0,0.9549329435961011,0.7422906106696112,5,4270,85,500,9,LADTransferTreeBoost,400,0.9296931548193796,0.731398634074206,0.929291278692881,0.738285614817778
325,0.1,3,2,0.1,0.05,0.971044734707118,0.7684718168281762,5,4339,85,500,9,LADTransferTreeBoost,400,1.0185381060222964,0.8005581876645785,0.9772437565412752,0.7765796988377257
350,0.1,3,2,0.9,0.01,0.9728042314773319,0.7644979095943244,5,4336,85,500,9,LADTransferTreeBoost,400,0.9848645321888148,0.7647282406387642,0.955370768808909,0.7581443592607743
335,0.1,3,2,0.5,0.01,0.9738729516722635,0.7627349634332107,5,4333,85,500,9,LADTransferTreeBoost,400,1.0114695515109462,0.7932018271583194,0.9740062117127436,0.7777083823600985
105,0.1,1,3,0.5,0.0,0.9843557930424712,0.764835741691478,5,4189,85,500,9,LADTransferTreeBoost,400,0.9298359097073614,0.7316904443889112,0.9007027773854466,0.7100677468285622
65,0.1,1,2,0.5,0.01,0.9984938030720242,0.7782626691323487,5,4171,85,500,9,LADTransferTreeBoost,400,1.2660084788563657,0.988822964815177,1.2148689288526535,0.952941532315185
375,0.1,3,3,0.5,0.0,1.0121430418520736,0.7769928316738799,5,4351,85,500,9,LADTransferTreeBoost,400,0.9582890449338056,0.7531344998080042,0.9501958648794524,0.7594287658942881
45,0.1,1,2,0.1,0.0,1.016175925726857,0.7863574076542929,5,4159,85,500,9,LADTransferTreeBoost,400,1.16805266958649,0.9124122414021496,1.1233068042526246,0.8903967226180057
380,0.1,3,3,0.5,0.01,1.027745665611057,0.7943237871516978,5,4360,85,500,9,LADTransferTreeBoost,400,1.2040489972589072,0.94764997901905,1.183687433765708,0.9293965757746908
190,0.1,2,2,0.1,0.05,1.0517607077653057,0.8162038241149314,5,4258,85,500,9,LADTransferTreeBoost,400,1.2144787016434182,0.944536727422408,1.1576573057337096,0.9062572350903272
355,0.1,3,2,0.9,0.05,1.0556090758046115,0.833660835094016,5,4345,85,500,9,LADTransferTreeBoost,400,1.0120052076115678,0.8007139869898093,0.9722875135603596,0.7750222166013858
100,0.1,1,3,0.1,0.05,1.0580820931583346,0.823070667421808,5,4204,85,500,9,LADTransferTreeBoost,400,1.0018781776954786,0.7761958252278761,0.9742378542295396,0.7548864591190984
185,0.1,2,2,0.1,0.01,1.0744269675760383,0.8133200089584951,5,4249,85,500,9,LADTransferTreeBoost,400,1.4587175295685977,1.102768152819225,1.4395822824943487,1.1036309380595577
180,0.1,2,2,0.1,0.0,1.0799614562434487,0.8497588693425145,5,4240,85,500,9,LADTransferTreeBoost,400,1.1886401576934855,0.9214299589659064,1.1484564702703868,0.8993201193246496
200,0.1,2,2,0.5,0.01,1.0887479852755906,0.8639317564884967,5,4252,85,500,9,LADTransferTreeBoost,400,1.2660084788563657,0.988822964815177,1.2148689288526535,0.952941532315185
360,0.1,3,3,0.1,0.0,1.1217097781300827,0.8497659857340174,5,4348,85,500,9,LADTransferTreeBoost,400,1.1431013716443477,0.8704405323740738,1.1121240688019094,0.8641553972420618
70,0.1,1,2,0.5,0.05,1.1288958034534833,0.8791031692845209,5,4180,85,500,9,LADTransferTreeBoost,400,1.3787519237458816,1.0631040536780407,1.3549053513828628,1.0514752939712304
40,0.1,1,1,0.9,0.05,1.1307993049296585,0.8883985595348716,5,4156,85,500,9,LADTransferTreeBoost,400,1.0420328537164776,0.8175887851139179,1.018005627411591,0.814357939091665
25,0.1,1,1,0.5,0.05,1.138547158385553,0.8962289961257461,5,4153,85,500,9,LADTransferTreeBoost,400,1.0625854727984738,0.8294637129635105,1.0267016346082958,0.8225706770825275
85,0.1,1,2,0.9,0.05,1.1439508426844074,0.8900974695464455,5,4183,85,500,9,LADTransferTreeBoost,400,1.1818463478481365,0.9024699362399872,1.1484826928317604,0.8856828585146218
10,0.1,1,1,0.1,0.05,1.1511905135217653,0.9047755686819652,5,4150,85,500,9,LADTransferTreeBoost,400,1.0584532891736822,0.8335343167303683,1.0318860744507208,0.8275571026252528
5,0.1,1,1,0.1,0.01,1.1517893675826745,0.9071140970855215,5,4141,85,500,9,LADTransferTreeBoost,400,1.0666174894371725,0.8412452387107918,1.042233119419764,0.8375360056733846
110,0.1,1,3,0.5,0.01,1.1545941923267724,0.8905895983687208,5,4198,85,500,9,LADTransferTreeBoost,400,1.052056670624072,0.8237490187256452,1.038709320033082,0.8156893822681252
385,0.1,3,3,0.5,0.05,1.160517860365001,0.8889921320846362,5,4369,85,500,9,LADTransferTreeBoost,400,1.242983727851496,0.965539516194015,1.2091409135589442,0.9419264313331152
260,0.1,2,3,0.9,0.01,1.1630272108078914,0.9039248867103877,5,4282,85,500,9,LADTransferTreeBoost,400,1.0460756088233372,0.8017967743661643,1.0008218272678515,0.7822155523488353
230,0.1,2,3,0.1,0.01,1.1699577137260395,0.8948602989989165,5,4276,85,500,9,LADTransferTreeBoost,400,1.009528331992237,0.7852140130679026,1.009411349853243,0.7864208527999165
20,0.1,1,1,0.5,0.01,1.171766326371675,0.922104381557393,5,4144,85,500,9,LADTransferTreeBoost,400,1.0866184273786397,0.8494442329162806,1.0533595518840362,0.8404827303551532
290,0.1,3,1,0.5,0.01,1.1730013842180091,0.9304924793620891,5,4306,85,500,9,LADTransferTreeBoost,400,1.071735839407614,0.8415339128842143,1.0432616262698675,0.8326580983764292
0,0.1,1,1,0.1,0.0,1.1757541951522577,0.9251925927463688,5,4132,85,500,9,LADTransferTreeBoost,400,1.07470565389127,0.8409608284148742,1.043937416948846,0.8375782272806421
250,0.1,2,3,0.5,0.05,1.1848872939896968,0.8998669399643277,5,4288,85,500,9,LADTransferTreeBoost,400,1.0611650870166731,0.8323747918410245,1.040410457158397,0.8242713518860796
245,0.1,2,3,0.5,0.01,1.1966747220472949,0.9421089506586178,5,4279,85,500,9,LADTransferTreeBoost,400,1.2465204942884052,0.9664626349985898,1.2196413678068747,0.9465782122170602
115,0.1,1,3,0.5,0.05,1.2065442275716212,0.9423001439495167,5,4207,85,500,9,LADTransferTreeBoost,400,1.101393785496921,0.860510001285827,1.0734402664943,0.8480749047291729
50,0.1,1,2,0.1,0.01,1.2067268301624987,0.947133393497326,5,4168,85,500,9,LADTransferTreeBoost,400,1.4615216454801334,1.1040399897520228,1.4384189696123633,1.1023209863837828
365,0.1,3,3,0.1,0.01,1.2130051548745258,0.9697254269387063,5,4357,85,500,9,LADTransferTreeBoost,400,1.952491959549479,1.694657006897,1.9306965521312371,1.681920696867439
205,0.1,2,2,0.5,0.05,1.2205325543064176,0.9657588162632222,5,4261,85,500,9,LADTransferTreeBoost,400,1.051632025268451,0.831135911707821,1.0358935894891277,0.8190194207388065
220,0.1,2,2,0.9,0.05,1.2233778739452013,0.9363776861226073,5,4264,85,500,9,LADTransferTreeBoost,400,1.8749170590046451,1.434496338039346,1.8579399316561904,1.4184740147821018
95,0.1,1,3,0.1,0.01,1.2257617057052461,0.9272477812846297,5,4195,85,500,9,LADTransferTreeBoost,400,1.3195789790648216,1.002552871762951,1.3111089859618772,0.997877329152698
400,0.1,3,3,0.9,0.05,1.2328681899796745,0.9557901077941429,5,4372,85,500,9,LADTransferTreeBoost,400,1.4354583502865688,1.133499019093313,1.3972954222792675,1.1030497106498185
55,0.1,1,2,0.1,0.05,1.247479910922074,0.9685695010960516,5,4177,85,500,9,LADTransferTreeBoost,400,1.6661098467162536,1.2727655210807585,1.639575872040247,1.2593544521850415
370,0.1,3,3,0.1,0.05,1.2696246084746374,0.9637032344392902,5,4366,85,500,9,LADTransferTreeBoost,400,1.269853593643704,0.9811401747785486,1.267033114114943,0.9748403197406396
270,0.1,3,1,0.1,0.0,1.2735802491468806,1.0090141350541297,5,4294,85,500,9,LADTransferTreeBoost,400,1.089054511810703,0.863290988818796,1.058375821591415,0.849879586608984
150,0.1,2,1,0.5,0.0,1.286970069100759,1.0145131681617023,5,4216,85,500,9,LADTransferTreeBoost,400,1.2832877279280228,0.995003165482866,1.2610548862761004,1.0071760239592566
90,0.1,1,3,0.1,0.0,1.2913731262996158,0.972345476697092,5,4186,85,500,9,LADTransferTreeBoost,400,1.3469525001505809,1.031668799577693,1.331203178856205,1.019443896127285
155,0.1,2,1,0.5,0.01,1.2940653651925929,1.0203486327906486,5,4225,85,500,9,LADTransferTreeBoost,400,1.0866184209171517,0.8494440276791465,1.053359388900184,0.8404825251180191
285,0.1,3,1,0.5,0.0,1.3058642294548182,1.0285882385502352,5,4297,85,500,9,LADTransferTreeBoost,400,1.296805303520974,1.0055813664940516,1.2779436264267665,1.0192207452418565
15,0.1,1,1,0.5,0.0,1.3062007914813283,1.0291162177756896,5,4135,85,500,9,LADTransferTreeBoost,400,1.2828942915288446,0.9948247841876736,1.2599519676354332,1.0061977148052796
265,0.1,2,3,0.9,0.05,1.3184936338131394,1.0313369424099477,5,4291,85,500,9,LADTransferTreeBoost,400,1.4280873425152594,1.1006038357521737,1.4039044067854871,1.0853246543612596
130,0.1,1,3,0.9,0.05,1.3220390657601715,1.0355684907287648,5,4210,85,500,9,LADTransferTreeBoost,400,1.0773581300130626,0.8277503131312222,1.0406139593121355,0.8010625704871093
295,0.1,3,1,0.5,0.05,1.333032021126542,1.049435807904269,5,4315,85,500,9,LADTransferTreeBoost,400,1.0428814831148971,0.8251613740197898,1.0175805219263203,0.8150168439095449
225,0.1,2,3,0.1,0.0,1.3669849860653893,1.0768132109234823,5,4267,85,500,9,LADTransferTreeBoost,400,1.5185493363639422,1.170971251415576,1.492760661216751,1.1434796219151622
310,0.1,3,1,0.9,0.05,1.3681752541355778,1.0719850806214364,5,4318,85,500,9,LADTransferTreeBoost,400,1.0378243750538805,0.8179762043472147,1.014631394995957,0.8120295158600798
175,0.1,2,1,0.9,0.05,1.3719510345910277,1.0779964700558158,5,4237,85,500,9,LADTransferTreeBoost,400,1.059504221091725,0.8275717841896578,1.0319203492161928,0.824692086756995
235,0.1,2,3,0.1,0.05,1.413659231979885,1.0900517822988072,5,4285,85,500,9,LADTransferTreeBoost,400,1.6145623420199062,1.216941186462564,1.605406328595519,1.2170960116138216
135,0.1,2,1,0.1,0.0,1.419995271293488,1.1213568403402427,5,4213,85,500,9,LADTransferTreeBoost,400,1.0840452932194813,0.8455644586801911,1.05546118905188,0.8448631154817338
275,0.1,3,1,0.1,0.01,1.4959377005016699,1.1871607765375538,5,4303,85,500,9,LADTransferTreeBoost,400,1.0476378536199318,0.8306515530659392,1.014902477229289,0.8126891637831993
160,0.1,2,1,0.5,0.05,1.5253615458300236,1.2133107634356979,5,4234,85,500,9,LADTransferTreeBoost,400,1.0548636319534943,0.8251850960436559,1.018487263288586,0.8159273118837287
395,0.1,3,3,0.9,0.01,1.5618240125655958,1.3170742316036539,5,4363,85,500,9,LADTransferTreeBoost,400,0.9599363876224738,0.7429404119078513,0.9521558642533208,0.7545349232274977
215,0.1,2,2,0.9,0.01,1.593076097739885,1.2381938657569793,5,4255,85,500,9,LADTransferTreeBoost,400,1.0367354737881165,0.808132951321636,1.020759660789711,0.7952288363859188
140,0.1,2,1,0.1,0.01,1.6261719305199858,1.2947090952827742,5,4222,85,500,9,LADTransferTreeBoost,400,1.0580518126035483,0.8345810190995717,1.0312053576236586,0.8281667860970593
80,0.1,1,2,0.9,0.01,1.6645631512898333,1.3062531852042114,5,4174,85,500,9,LADTransferTreeBoost,400,1.2109830210143833,0.9454475910567842,1.1814651387854769,0.93575845902746
280,0.1,3,1,0.1,0.05,1.6783785027441858,1.3328998889124701,5,4312,85,500,9,LADTransferTreeBoost,400,1.0645830205678566,0.8463797625078353,1.0349151137511363,0.8304213289552577
305,0.1,3,1,0.9,0.01,1.7719775236198825,1.4215888835152304,5,4309,85,500,9,LADTransferTreeBoost,400,1.1037544034172788,0.8604678675677314,1.0716501083242087,0.854156518342702
35,0.1,1,1,0.9,0.01,1.7753186612993115,1.4218708707892582,5,4147,85,500,9,LADTransferTreeBoost,400,1.0982120987005963,0.8602659693168994,1.0726932717445437,0.8617220181944516
145,0.1,2,1,0.1,0.05,1.8340326088268522,1.455832956886739,5,4231,85,500,9,LADTransferTreeBoost,400,1.058034385537855,0.833156869707236,1.0306523715664269,0.8264925114749893
170,0.1,2,1,0.9,0.01,1.8475756350140746,1.4750843825450293,5,4228,85,500,9,LADTransferTreeBoost,400,1.1025903505234818,0.8605977070295037,1.0699262225607713,0.8556802887647282
30,0.1,1,1,0.9,0.0,2.8488413546809226,2.276571422423796,5,4138,85,500,9,LADTransferTreeBoost,400,2.550218345077914,2.018616523877107,2.51385008636736,2.0311229011585934
345,0.1,3,2,0.9,0.0,2.9377603474666065,2.349579096137282,5,4327,85,500,9,LADTransferTreeBoost,400,2.3886642738809885,1.8906694823676728,2.332768650570804,1.9164172987985613
255,0.1,2,3,0.9,0.0,2.99611753262979,2.367840418562159,5,4273,85,500,9,LADTransferTreeBoost,400,3.2915999427473333,2.614238243903399,3.216322943013536,2.610288796528574
390,0.1,3,3,0.9,0.0,3.0389622085782735,2.425344709606576,5,4354,85,500,9,LADTransferTreeBoost,400,3.274033043453673,2.594829800840312,3.201810209970107,2.598601159494148
210,0.1,2,2,0.9,0.0,3.4558110100683024,2.756957614971592,5,4246,85,500,9,LADTransferTreeBoost,400,3.5818413028142664,2.867491609993545,3.509842380308067,2.862678536860668
165,0.1,2,1,0.9,0.0,3.559284683775477,2.828423743345171,5,4219,85,500,9,LADTransferTreeBoost,400,2.549196430552413,2.016740429951724,2.514339239949544,2.030908712381091
120,0.1,1,3,0.9,0.0,3.5636623962113028,2.8353599474207836,5,4192,85,500,9,LADTransferTreeBoost,400,3.783486097718113,3.0376974568492003,3.699022821478388,3.007940246902008
75,0.1,1,2,0.9,0.0,3.5715876649698926,2.8631715584083515,5,4165,85,500,9,LADTransferTreeBoost,400,3.83887550187782,3.0768429452189534,3.757667058694506,3.056944396508057
300,0.1,3,1,0.9,0.0,3.672695044034408,2.9401392643677053,5,4300,85,500,9,LADTransferTreeBoost,400,4.072216784865892,3.268748740508809,3.9797751361199047,3.2212405275948224
