,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
340,0.1,3,2,0.5,0.05,0.9932670936997976,0.7899954224896552,5,2884,85,500,6,LADTransferTreeBoost,400,1.0815604579040934,0.8556780942038856,1.1129639698339862,0.8930517638691435
195,0.1,2,2,0.5,0.0,0.997858914838788,0.7797845315266272,5,2785,85,500,6,LADTransferTreeBoost,400,1.154461828225908,0.9086770760308664,1.1832697437020605,0.9475243701830872
205,0.1,2,2,0.5,0.05,1.001163501381513,0.7944330782473698,5,2803,85,500,6,LADTransferTreeBoost,400,1.1554117600932132,0.9061254903688624,1.1846484050248622,0.9380285885687556
60,0.1,1,2,0.5,0.0,1.003224689039119,0.7900185467928387,5,2704,85,500,6,LADTransferTreeBoost,400,1.139986005409499,0.897565155857895,1.1742227403784975,0.9303855051887624
320,0.1,3,2,0.1,0.01,1.00831092852408,0.7985152717015677,5,2872,85,500,6,LADTransferTreeBoost,400,1.1830713033078617,0.9128819421328176,1.2075125095843786,0.94546796997565
200,0.1,2,2,0.5,0.01,1.0173720803436177,0.8056003748401264,5,2794,85,500,6,LADTransferTreeBoost,400,1.161740989391198,0.906602881220282,1.1876650205539263,0.9327104039754642
215,0.1,2,2,0.9,0.01,1.0218999114905363,0.7988284180713177,5,2797,85,500,6,LADTransferTreeBoost,400,1.199599189196966,0.9497999726398192,1.245785364650635,0.9773976643622134
260,0.1,2,3,0.9,0.01,1.031415449832939,0.7916237610141558,5,2824,85,500,6,LADTransferTreeBoost,400,1.1451923983038927,0.9079406849487952,1.1918328411204546,0.9483058551456108
375,0.1,3,3,0.5,0.0,1.0409912803610941,0.8189081717817739,5,2893,85,500,6,LADTransferTreeBoost,400,1.1934216701949536,0.9427045580726988,1.247681666542737,1.0082698582574796
350,0.1,3,2,0.9,0.01,1.0480647313582043,0.8201512469849004,5,2878,85,500,6,LADTransferTreeBoost,400,1.2237967016187008,0.9601234677144176,1.2580875939728138,0.9840251589073288
