,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
195,0.1,2,2,0.5,0.0,1.1470140609825608,0.9066778125433821,5,4242,85,500,9,LSTransferTreeBoost,400,1.2278263827004867,0.9787402665796237,1.2034202625072077,0.9605741735998656
60,0.1,1,2,0.5,0.0,1.1474738727477098,0.9037760498058078,5,4161,85,500,9,LSTransferTreeBoost,400,1.2272009213842012,0.9783376458727674,1.2051762102825074,0.9618229077172812
330,0.1,3,2,0.5,0.0,1.1657498585773998,0.933603501479429,5,4323,85,500,9,LSTransferTreeBoost,400,1.171978162720407,0.9399599465675078,1.1536177510118335,0.9238722729539124
375,0.1,3,3,0.5,0.0,1.167263668835947,0.9202626337157682,5,4350,85,500,9,LSTransferTreeBoost,400,1.2180702610031546,0.9525185548033552,1.175752709168204,0.9192691523762624
315,0.1,3,2,0.1,0.0,1.1766920186474858,0.9246133055964917,5,4320,85,500,9,LSTransferTreeBoost,400,1.2089607822852848,0.9611532352233751,1.191837594450584,0.94801983663534
340,0.1,3,2,0.5,0.05,1.182169152719487,0.9366403517137968,5,4341,85,500,9,LSTransferTreeBoost,400,1.2532298319823891,0.9933737463692356,1.234433070178584,0.9741290388488766
380,0.1,3,3,0.5,0.01,1.1832376501993043,0.924120303688548,5,4359,85,500,9,LSTransferTreeBoost,400,1.2162079347409032,0.9485213170433578,1.1754374024203975,0.9135513107552692
215,0.1,2,2,0.9,0.01,1.185175171281778,0.9355221724000413,5,4254,85,500,9,LSTransferTreeBoost,400,1.2107713828057076,0.9627481858668556,1.1931096857151864,0.9418755695341514
105,0.1,1,3,0.5,0.0,1.18803902262897,0.9231965212945017,5,4188,85,500,9,LSTransferTreeBoost,400,1.2631339795549092,0.9912160262256888,1.2145421229319968,0.9541908172694772
335,0.1,3,2,0.5,0.01,1.1930177179818897,0.9511225067634683,5,4332,85,500,9,LSTransferTreeBoost,400,1.1634448152076258,0.9271820624098436,1.1444996612217424,0.9091088780724168
240,0.1,2,3,0.5,0.0,1.1945180351425388,0.9324413740877657,5,4269,85,500,9,LSTransferTreeBoost,400,1.2602516292103747,0.990208009766768,1.2146945502305773,0.9544648177722908
80,0.1,1,2,0.9,0.01,1.1953390154647743,0.9345524697411539,5,4173,85,500,9,LSTransferTreeBoost,400,1.2117259125107611,0.9638353236556728,1.1923850999586163,0.9416332526153056
320,0.1,3,2,0.1,0.01,1.195914719947638,0.9397588011132594,5,4329,85,500,9,LSTransferTreeBoost,400,1.2135141237584472,0.964256601908002,1.1929182176795896,0.949464387793239
350,0.1,3,2,0.9,0.01,1.1979515830348166,0.9564537768067242,5,4335,85,500,9,LSTransferTreeBoost,400,1.2023741768573788,0.954821021658453,1.184718629175424,0.942543035958091
125,0.1,1,3,0.9,0.01,1.19855588814111,0.9376336139556525,5,4200,85,500,9,LSTransferTreeBoost,400,1.264711231523293,0.990663655807627,1.2080258768288796,0.9484455579467096
395,0.1,3,3,0.9,0.01,1.2002876198059234,0.9435844588837788,5,4362,85,500,9,LSTransferTreeBoost,400,1.2387680907866452,0.9672109866726956,1.2028847666874127,0.9395733182448384
245,0.1,2,3,0.5,0.01,1.2013692664019555,0.9433767318270634,5,4278,85,500,9,LSTransferTreeBoost,400,1.256640990275592,0.9844849537774982,1.196645015536933,0.9439176432768802
260,0.1,2,3,0.9,0.01,1.2079833264268192,0.946793637542861,5,4281,85,500,9,LSTransferTreeBoost,400,1.2669410917021215,0.9917919276032758,1.2088964171081846,0.9484046953691244
65,0.1,1,2,0.5,0.01,1.2196062441931772,0.9557842031587512,5,4170,85,500,9,LSTransferTreeBoost,400,1.2461866042500276,0.986299313608689,1.2300543698102353,0.976069131842606
365,0.1,3,3,0.1,0.01,1.221557066770893,0.9628605612288439,5,4356,85,500,9,LSTransferTreeBoost,400,1.280206378388837,1.008651071567006,1.2415728802495394,0.9779393438334768
200,0.1,2,2,0.5,0.01,1.222393418343777,0.9576650935461011,5,4251,85,500,9,LSTransferTreeBoost,400,1.2454820227127643,0.9857603418108484,1.231260759816609,0.9771574384358254
355,0.1,3,2,0.9,0.05,1.2257792294324443,0.9670680018145706,5,4344,85,500,9,LSTransferTreeBoost,400,1.3325928592528535,1.0555993673469093,1.2988257920619717,1.0346006797050231
110,0.1,1,3,0.5,0.01,1.2267423550914038,0.9595399514906221,5,4197,85,500,9,LSTransferTreeBoost,400,1.2593938693897644,0.9853565152562888,1.2005766682549432,0.9475227230019322
360,0.1,3,3,0.1,0.0,1.2439416581332305,0.9833149253439986,5,4347,85,500,9,LSTransferTreeBoost,400,1.2831242299150756,1.017167861909904,1.240932381013378,0.9733305736508678
15,0.1,1,1,0.5,0.0,1.2654728755887183,0.9927542882325981,5,4134,85,500,9,LSTransferTreeBoost,400,1.2299352192380046,0.9670314972509474,1.2245436228046445,0.9678118692414456
400,0.1,3,3,0.9,0.05,1.2659999867715068,0.987610828868541,5,4371,85,500,9,LSTransferTreeBoost,400,1.303248505407017,1.0191947636811214,1.2632910087706255,0.9907237510554968
275,0.1,3,1,0.1,0.01,1.2689258778952044,0.9973098900787927,5,4302,85,500,9,LSTransferTreeBoost,400,1.4284219401054616,1.1117649935544451,1.436483779337726,1.1312833402631728
180,0.1,2,2,0.1,0.0,1.2704480925671864,0.9992629887649269,5,4239,85,500,9,LSTransferTreeBoost,400,1.4675643030334633,1.1667937581256165,1.4345274983814915,1.1398905938003796
385,0.1,3,3,0.5,0.05,1.271979699713134,1.009715802438358,5,4368,85,500,9,LSTransferTreeBoost,400,1.317323787482194,1.0302056431220463,1.2566381496067407,0.97230379768551
370,0.1,3,3,0.1,0.05,1.2733956102677002,1.0092100843910778,5,4365,85,500,9,LSTransferTreeBoost,400,1.2900927026080533,1.0100667027906354,1.20960418123571,0.9446693677075368
285,0.1,3,1,0.5,0.0,1.273459658243671,1.0106457468824561,5,4296,85,500,9,LSTransferTreeBoost,400,1.2291282797322178,0.9687272191519704,1.225687104901861,0.9658136921300218
150,0.1,2,1,0.5,0.0,1.2762966610100246,1.0029476693580208,5,4215,85,500,9,LSTransferTreeBoost,400,1.2299352192380044,0.9670314972509474,1.2245436228046445,0.9678118692414456
45,0.1,1,2,0.1,0.0,1.2763877111980153,1.006942060100759,5,4158,85,500,9,LSTransferTreeBoost,400,1.4683071993432917,1.1671888924727405,1.43474989195382,1.1404832953210648
