,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
375,0.1,3,3,0.5,0.0,1.4344533297472373,0.9237495677756268,5,1434,85,500,3,LSTransferTreeBoost,400,1.4470489368434385,0.9186855980089274,1.5178392252246926,0.9722860876433762
105,0.1,1,3,0.5,0.0,1.4516193620138507,0.9676902872058564,5,1272,85,500,3,LSTransferTreeBoost,400,1.3927151811537493,0.9123096349321584,1.3261392135172951,0.9210047042751184
380,0.1,3,3,0.5,0.01,1.479789204952334,0.9738826483828735,5,1443,85,500,3,LSTransferTreeBoost,400,1.5396029012027452,0.9681735627764684,1.4832528700113707,0.979449324070286
240,0.1,2,3,0.5,0.0,1.4861389037744481,0.9703851115944768,5,1353,85,500,3,LSTransferTreeBoost,400,1.4211236408291017,0.9207557468750244,1.4290814017773386,0.9447196923593012
195,0.1,2,2,0.5,0.0,1.4984958309212892,1.023862455547967,5,1326,85,500,3,LSTransferTreeBoost,400,1.3644793507338795,0.9965824167179576,1.4027873994856954,1.009011710245841
315,0.1,3,2,0.1,0.0,1.5101643345980302,1.0287453108662434,5,1404,85,500,3,LSTransferTreeBoost,400,1.414160855893967,1.0367654772363912,1.4081119625281853,1.0437062026040116
270,0.1,3,1,0.1,0.0,1.5124707826434247,1.0781858839968987,5,1377,85,500,3,LSTransferTreeBoost,400,1.6457978132682678,1.251841519053212,1.7064120705184886,1.309388393016096
15,0.1,1,1,0.5,0.0,1.5203519974609014,1.1014915651772863,5,1218,85,500,3,LSTransferTreeBoost,400,1.5357290177536689,1.1861518805192262,1.5230331775285126,1.1898944023127198
150,0.1,2,1,0.5,0.0,1.5319443099579209,1.1143164910315566,5,1299,85,500,3,LSTransferTreeBoost,400,1.5612781042501596,1.1982980791758628,1.627290492790609,1.2674571044690777
330,0.1,3,2,0.5,0.0,1.5333231410874177,0.9920949279386265,5,1407,85,500,3,LSTransferTreeBoost,400,1.4184971507593414,0.9277511554061092,1.695578061954792,1.0278634308649222
245,0.1,2,3,0.5,0.01,1.5340984304248757,1.02668346656294,5,1362,85,500,3,LSTransferTreeBoost,400,1.572441170570142,1.0590764578231917,1.5287138553256925,1.0542932296451546
60,0.1,1,2,0.5,0.0,1.5399522740082314,1.0960226820656893,5,1245,85,500,3,LSTransferTreeBoost,400,1.508585496174954,1.1225611489238714,1.4793122953103977,1.098691082073714
285,0.1,3,1,0.5,0.0,1.5405065930573174,1.1093938781780455,5,1380,85,500,3,LSTransferTreeBoost,400,1.6775707725282778,1.3069433270895374,1.7735041651740562,1.3904140788473358
155,0.1,2,1,0.5,0.01,1.5447717384879307,1.1101333837041896,5,1308,85,500,3,LSTransferTreeBoost,400,1.5354404307857088,1.1477048928070517,1.5829783859458713,1.2027165953126266
335,0.1,3,2,0.5,0.01,1.5617667219628728,1.0455486084907015,5,1416,85,500,3,LSTransferTreeBoost,400,1.440248336764609,1.0305134515338743,1.6413538574745985,1.0929749571816214
275,0.1,3,1,0.1,0.01,1.5671958512459998,1.1344417507246773,5,1386,85,500,3,LSTransferTreeBoost,400,1.676253906163437,1.303715088441664,1.7301670603538832,1.3580082885504812
20,0.1,1,1,0.5,0.01,1.572652501706157,1.1643556046931274,5,1227,85,500,3,LSTransferTreeBoost,400,1.5729012674302223,1.2245775173103566,1.5432515329046137,1.2146250035669517
290,0.1,3,1,0.5,0.01,1.591765212788729,1.1461397361108805,5,1389,85,500,3,LSTransferTreeBoost,400,1.623700100682256,1.2446761591011022,1.7087100215555089,1.3126737438362952
175,0.1,2,1,0.9,0.05,1.5968107024598193,1.199060786128721,5,1320,85,500,3,LSTransferTreeBoost,400,1.7365544618072966,1.3896316576283303,1.7529613549655274,1.432528628847412
110,0.1,1,3,0.5,0.01,1.5981172104884434,1.0926228474616992,5,1281,85,500,3,LSTransferTreeBoost,400,1.4830236604450078,1.0457691569163672,1.4724973273924231,1.0328519627378645
160,0.1,2,1,0.5,0.05,1.6048612529125308,1.1698568436092587,5,1317,85,500,3,LSTransferTreeBoost,400,1.6812462519477338,1.3372895965498617,1.6848127083758635,1.3710451468804208
200,0.1,2,2,0.5,0.01,1.6182207340718158,1.1226140543172374,5,1335,85,500,3,LSTransferTreeBoost,400,1.4893764794066715,1.055808661302414,1.4936119613369434,1.063130906765489
65,0.1,1,2,0.5,0.01,1.6203681163536099,1.1696608847548753,5,1254,85,500,3,LSTransferTreeBoost,400,1.489172588194089,1.0903833048112124,1.4621646678113636,1.067199865501711
400,0.1,3,3,0.9,0.05,1.621411531238183,1.1138821393824736,5,1455,85,500,3,LSTransferTreeBoost,400,1.5842637562804691,1.1008538835073556,1.5835095351085335,1.0941012659497489
355,0.1,3,2,0.9,0.05,1.6332380432732037,1.1615146773421152,5,1428,85,500,3,LSTransferTreeBoost,400,1.549817883575837,1.2130175337973896,1.6028034505868676,1.2130463095258737
385,0.1,3,3,0.5,0.05,1.6554164285445665,1.1302564668617578,5,1452,85,500,3,LSTransferTreeBoost,400,1.544338114672592,1.0446627056109867,1.5336180526944845,1.024592996577667
280,0.1,3,1,0.1,0.05,1.6631519506442356,1.216521099204986,5,1395,85,500,3,LSTransferTreeBoost,400,1.727416993589314,1.349645220295407,1.7743310630565554,1.4009492158703796
295,0.1,3,1,0.5,0.05,1.6667735488757447,1.22618890555288,5,1398,85,500,3,LSTransferTreeBoost,400,1.758360627102026,1.3741856437583897,1.8293313155168047,1.431033494930742
310,0.1,3,1,0.9,0.05,1.6722425085168684,1.2353005027369626,5,1401,85,500,3,LSTransferTreeBoost,400,1.626422095033765,1.2637814910253782,1.6802108724990676,1.3181107866759003
