,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
290,0.1,3,1,0.5,0.01,1.638178388621358,1.1170031369449742,5,903,85,300,3,LSTransferTreeBoost,400,1.6594326041147534,1.2052290639351213,1.8513235998426605,1.3068214473096618
285,0.1,3,1,0.5,0.0,1.6392994357107376,1.115484612100422,5,894,85,300,3,LSTransferTreeBoost,400,1.595761154795609,1.1548599191531708,1.8000224292521672,1.25562851214483
380,0.1,3,3,0.5,0.01,1.6637243101931496,1.0987104597351962,5,957,85,300,3,LSTransferTreeBoost,400,1.5738868042523249,1.1884529090133775,1.6103627635279274,1.2151361682816797
385,0.1,3,3,0.5,0.05,1.6682286067110923,1.1117436209492138,5,966,85,300,3,LSTransferTreeBoost,400,1.6483248218851594,1.240372860837761,1.6483956186789863,1.246744413876071
265,0.1,2,3,0.9,0.05,1.7007482094259179,1.1527267931491998,5,888,85,300,3,LSTransferTreeBoost,400,1.6313967198507324,1.229972906418617,1.6630661813632088,1.2694114886377754
400,0.1,3,3,0.9,0.05,1.7019166058329152,1.1137497031931605,5,969,85,300,3,LSTransferTreeBoost,400,1.6552289951228865,1.236916679516978,1.6621526789284504,1.2478210810288477
375,0.1,3,3,0.5,0.0,1.702722611789048,1.1171345800757249,5,948,85,300,3,LSTransferTreeBoost,400,1.596217378834969,1.1863610192710972,1.6296141392654515,1.212408882449119
110,0.1,1,3,0.5,0.01,1.7048843406498317,1.1212468964381668,5,795,85,300,3,LSTransferTreeBoost,400,1.617418919051141,1.2144300327285755,1.649153194363884,1.2264869809407593
105,0.1,1,3,0.5,0.0,1.7073430138581251,1.1374880123313105,5,786,85,300,3,LSTransferTreeBoost,400,1.6845622099613722,1.2654129051225953,1.7074944747879368,1.2588096672312057
360,0.1,3,3,0.1,0.0,1.7198869403021901,1.1429105023651103,5,945,85,300,3,LSTransferTreeBoost,400,1.6650790736233116,1.3020737371887248,1.719589098700031,1.340067869070659
245,0.1,2,3,0.5,0.01,1.7218139373357986,1.126475661647403,5,876,85,300,3,LSTransferTreeBoost,400,1.7921105605388687,1.280406841967323,1.7538276762791185,1.279158648798054
60,0.1,1,2,0.5,0.0,1.7280002890692885,1.150776803669932,5,759,85,300,3,LSTransferTreeBoost,400,1.6317796496157857,1.216871174322658,1.7062326948169728,1.256595650571553
335,0.1,3,2,0.5,0.01,1.7394239885126228,1.1615038675275784,5,930,85,300,3,LSTransferTreeBoost,400,1.6853091383134438,1.2087866343800928,1.8312751090430448,1.2816589841235746
340,0.1,3,2,0.5,0.05,1.753258375971002,1.1882973041134923,5,939,85,300,3,LSTransferTreeBoost,400,1.814911996948689,1.433813654278811,1.8547836668106543,1.4515438358991253
325,0.1,3,2,0.1,0.05,1.761195582234182,1.2164517184207206,5,936,85,300,3,LSTransferTreeBoost,400,1.6308256863843829,1.2759614883761468,1.691139250535043,1.3173329752013896
250,0.1,2,3,0.5,0.05,1.7639695440351488,1.1937672968965978,5,885,85,300,3,LSTransferTreeBoost,400,1.747231810352753,1.340407481681973,1.7555071167202432,1.3464020727395003
240,0.1,2,3,0.5,0.0,1.7728424604289366,1.1453959016549318,5,867,85,300,3,LSTransferTreeBoost,400,1.7030091813729018,1.2334553690313828,1.7278822042910722,1.253227120226115
65,0.1,1,2,0.5,0.01,1.7734052862542626,1.2133127571496076,5,768,85,300,3,LSTransferTreeBoost,400,1.8037324376243096,1.4133054583062912,1.8508437575382528,1.4354297187259084
320,0.1,3,2,0.1,0.01,1.7789670860563167,1.2241571800940192,5,927,85,300,3,LSTransferTreeBoost,400,1.6947093253548566,1.3364586856632534,1.7468508290140004,1.3650012204204345
355,0.1,3,2,0.9,0.05,1.7914347737281342,1.2364557129658293,5,942,85,300,3,LSTransferTreeBoost,400,1.6948978050815415,1.2664602997962404,1.8115227102072624,1.3491664863619706
