,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
355,0.1,3,2,0.9,0.05,1.1175781269091256,0.8643526470652118,5,1430,85,500,3,MTransferTreeBoost,400,1.1262174413375612,0.8812282588893999,1.1439881994745955,0.8907548571713717
215,0.1,2,2,0.9,0.01,1.1312175764362666,0.8814026936575761,5,1340,85,500,3,MTransferTreeBoost,400,1.1182584000539617,0.8815014422118737,1.14532568122835,0.8998052046500086
195,0.1,2,2,0.5,0.0,1.1354460849621604,0.8895527781125352,5,1328,85,500,3,MTransferTreeBoost,400,1.1131120327311486,0.886315990194375,1.1176294559127296,0.8897460830962886
335,0.1,3,2,0.5,0.01,1.142651870696361,0.885402879601112,5,1418,85,500,3,MTransferTreeBoost,400,1.122592187675299,0.8896745404408107,1.1342307687815782,0.8949922540464283
200,0.1,2,2,0.5,0.01,1.1440317001749567,0.8959973956069177,5,1337,85,500,3,MTransferTreeBoost,400,1.0933534086126728,0.8710872783723805,1.1071357945561775,0.8809136264957961
80,0.1,1,2,0.9,0.01,1.1462214491216272,0.9013367905907131,5,1259,85,500,3,MTransferTreeBoost,400,1.1930272616419428,0.930955435163896,1.1574310081038834,0.9206407710450826
60,0.1,1,2,0.5,0.0,1.1476629763326822,0.9094461030150649,5,1247,85,500,3,MTransferTreeBoost,400,1.2033182485074698,0.9546484995048692,1.1734764213834985,0.9324121489001932
340,0.1,3,2,0.5,0.05,1.156537568802407,0.9074071377590862,5,1427,85,500,3,MTransferTreeBoost,400,1.1596002629498166,0.9185946080295024,1.1600729413086672,0.9111756726378054
315,0.1,3,2,0.1,0.0,1.1633741231029382,0.9164839754738774,5,1406,85,500,3,MTransferTreeBoost,400,1.1548151731332066,0.9065324167588158,1.1288743123918323,0.8927848784927493
220,0.1,2,2,0.9,0.05,1.1638974253514274,0.9157657866129322,5,1349,85,500,3,MTransferTreeBoost,400,1.248797196791182,0.9832099468332774,1.2608371439284038,0.9885402001444497
330,0.1,3,2,0.5,0.0,1.1687159430077816,0.9059831816949275,5,1409,85,500,3,MTransferTreeBoost,400,1.178314380736475,0.9391112421020098,1.167623635675591,0.9066072590631622
350,0.1,3,2,0.9,0.01,1.1739404042961468,0.9109321299266139,5,1421,85,500,3,MTransferTreeBoost,400,1.1598878218233442,0.9090285531264944,1.15946453042358,0.8972838788800953
260,0.1,2,3,0.9,0.01,1.1747691765229917,0.9103469232939199,5,1367,85,500,3,MTransferTreeBoost,400,1.180064896056027,0.9164462448248952,1.1759638549015832,0.9133000020889172
65,0.1,1,2,0.5,0.01,1.1765397793864187,0.925009401428104,5,1256,85,500,3,MTransferTreeBoost,400,1.1582685664113823,0.9082417855823992,1.140626204810732,0.904733931306115
105,0.1,1,3,0.5,0.0,1.176651460412064,0.9198262988981878,5,1274,85,500,3,MTransferTreeBoost,400,1.213208957807504,0.950635163267324,1.153781578394657,0.9066613758623836
325,0.1,3,2,0.1,0.05,1.1801682938415383,0.9229540012275728,5,1424,85,500,3,MTransferTreeBoost,400,1.177688722708763,0.9372805561025384,1.1678511289375784,0.9283331092851236
