,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
350,0.1,3,2,0.9,0.01,0.7947134724348317,0.6216235570023985,5,4337,85,500,9,MTransferTreeBoost,400,0.8978822605089202,0.7005110962150989,0.9111733552419502,0.7368778693676556
355,0.1,3,2,0.9,0.05,0.8004878614027486,0.6258784844664864,5,4346,85,500,9,MTransferTreeBoost,400,0.91874618159664,0.7232836128038883,0.92371097181692,0.745560213424048
215,0.1,2,2,0.9,0.01,0.8023227510150809,0.6249488462226885,5,4256,85,500,9,MTransferTreeBoost,400,0.9206192554541206,0.7212086075341495,0.9265719766781604,0.7431074230044898
80,0.1,1,2,0.9,0.01,0.8172383169208135,0.6395101520788665,5,4175,85,500,9,MTransferTreeBoost,400,0.920380955940799,0.7211875838468583,0.9268860713076894,0.7435452892688806
330,0.1,3,2,0.5,0.0,0.8204394294103032,0.6441677566472963,5,4325,85,500,9,MTransferTreeBoost,400,0.9214931575003696,0.7200690123364502,0.9258994643184152,0.7385599502443602
65,0.1,1,2,0.5,0.01,0.8298811008429811,0.6532458914188476,5,4172,85,500,9,MTransferTreeBoost,400,0.9137547034800352,0.7183405167083196,0.914478500074149,0.7345520773609097
335,0.1,3,2,0.5,0.01,0.8303118054546992,0.651899375013339,5,4334,85,500,9,MTransferTreeBoost,400,0.941027757488158,0.739790080132278,0.935445798059858,0.7532111010026484
60,0.1,1,2,0.5,0.0,0.8430256442518648,0.6560374423301977,5,4163,85,500,9,MTransferTreeBoost,400,0.9027006037682016,0.7058925374232644,0.9044616085797598,0.723248635118922
195,0.1,2,2,0.5,0.0,0.8432574620341597,0.6564769140410724,5,4244,85,500,9,MTransferTreeBoost,400,0.9020998593362304,0.7059674591229887,0.9044397837629644,0.723248152145599
340,0.1,3,2,0.5,0.05,0.8491876494131873,0.6600268682164824,5,4343,85,500,9,MTransferTreeBoost,400,0.9128915279760692,0.7183441889007613,0.9130088817802424,0.7308386508837085
315,0.1,3,2,0.1,0.0,0.8500344723135468,0.6623521275929234,5,4322,85,500,9,MTransferTreeBoost,400,0.9169003843441236,0.7180977569743958,0.903165239924932,0.7298380648400508
180,0.1,2,2,0.1,0.0,0.8506639623744462,0.660574123275813,5,4241,85,500,9,MTransferTreeBoost,400,0.9493081501315072,0.7409166502197684,0.9311161811558276,0.7474967084113634
395,0.1,3,3,0.9,0.01,0.852929904782419,0.6698101834504815,5,4364,85,500,9,MTransferTreeBoost,400,1.0051056060423071,0.769129600421431,0.9903455151236804,0.7745626201082093
200,0.1,2,2,0.5,0.01,0.8547152527291255,0.6706960544833092,5,4253,85,500,9,MTransferTreeBoost,400,0.9135725579817092,0.7182884198913339,0.9143249855003324,0.7343954524934422
375,0.1,3,3,0.5,0.0,0.8609823912016508,0.6759950849784362,5,4352,85,500,9,MTransferTreeBoost,400,0.9847392655870582,0.7514870687408289,0.9659326001029536,0.7616632196447999
