,v,source_tree_size,target_tree_size,m_0,k,avg_rmse,avg_mae,n_seeds,Unnamed: 0,seed,target_instances,d,method,epochs,val_rmse,val_mae,rmse,mae
355,0.1,3,2,0.9,0.05,1.1641537784154263,0.9253415491989209,5,3860,85,300,9,MTransferTreeBoost,400,1.4217875915600773,1.13660156413451,1.4164765066357543,1.1348665287378488
80,0.1,1,2,0.9,0.01,1.171077020012284,0.9212451000514322,5,3689,85,300,9,MTransferTreeBoost,400,1.4386042371214112,1.1520077651918867,1.4473355471750622,1.1640788848994927
315,0.1,3,2,0.1,0.0,1.1791634087396257,0.9354149197072991,5,3836,85,300,9,MTransferTreeBoost,400,1.406787345395541,1.1244458424773738,1.4133000742484072,1.1377512413052209
180,0.1,2,2,0.1,0.0,1.1872074110759434,0.9361230653542428,5,3755,85,300,9,MTransferTreeBoost,400,1.4064757239735397,1.124137118183029,1.4084545071500634,1.136160366177261
330,0.1,3,2,0.5,0.0,1.1884341477097506,0.9172742847983546,5,3839,85,300,9,MTransferTreeBoost,400,1.413403340223222,1.1233281122216978,1.4372238174416254,1.1443260081143538
215,0.1,2,2,0.9,0.01,1.1886747071455128,0.9315295187235817,5,3770,85,300,9,MTransferTreeBoost,400,1.4400780323717923,1.1528974339694846,1.451818118529217,1.167738801640388
335,0.1,3,2,0.5,0.01,1.1887301594033421,0.9285687349922801,5,3848,85,300,9,MTransferTreeBoost,400,1.4539606912087009,1.162842099288639,1.4698369673245373,1.1763255883902113
195,0.1,2,2,0.5,0.0,1.1889129507127767,0.9255274733940502,5,3758,85,300,9,MTransferTreeBoost,400,1.4135824608342271,1.1224753961593938,1.441407321396294,1.1473105483078507
340,0.1,3,2,0.5,0.05,1.1890108478271744,0.9457613591343786,5,3857,85,300,9,MTransferTreeBoost,400,1.4487256906591504,1.1673148054592182,1.4393655751796617,1.161414716515411
350,0.1,3,2,0.9,0.01,1.191550490842727,0.9177422385852948,5,3851,85,300,9,MTransferTreeBoost,400,1.4396435653442845,1.1530590107200036,1.4514205973623555,1.165986183271155
190,0.1,2,2,0.1,0.05,1.1948016678785294,0.9416097104086854,5,3773,85,300,9,MTransferTreeBoost,400,1.4190844923481685,1.1368067411385676,1.4213529712545585,1.1425363780213416
60,0.1,1,2,0.5,0.0,1.1957037647972792,0.9271864600164891,5,3677,85,300,9,MTransferTreeBoost,400,1.413845529096251,1.1230909388481995,1.439867224268064,1.145543301715583
220,0.1,2,2,0.9,0.05,1.1970313195238824,0.9458236000718623,5,3779,85,300,9,MTransferTreeBoost,400,1.4245639975574,1.1378823419558102,1.4210698079605315,1.1406828238992273
205,0.1,2,2,0.5,0.05,1.2071497989305837,0.9581502375876207,5,3776,85,300,9,MTransferTreeBoost,400,1.4506544047620284,1.1681955447257673,1.4406815933040258,1.1643637902006516
200,0.1,2,2,0.5,0.01,1.208012163117004,0.945604088672184,5,3767,85,300,9,MTransferTreeBoost,400,1.4529387238028593,1.162406889519207,1.469101686862452,1.175493456636105
395,0.1,3,3,0.9,0.01,1.2100400795476745,0.9428860873648084,5,3878,85,300,9,MTransferTreeBoost,400,1.4040504921668877,1.135140140148206,1.4040522737627277,1.1309693872721007
320,0.1,3,2,0.1,0.01,1.2123966865904792,0.9669989361364217,5,3845,85,300,9,MTransferTreeBoost,400,1.4663576817655015,1.1749490692770996,1.4596598339774154,1.1772721886110853
